,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-24.894165,0.0,-24.894165,-24.637919,1.8313235e-09,-24.637919
0.0006244,2,-24.89418,3.3800325e-05,-24.894146,-24.637935,2.3868062e-05,-24.637911
0.0008759,3,-24.894185999999998,4.7371953000000005e-05,-24.894138,-24.637942000000002,3.3563581e-05,-24.637908
0.0012286,4,-24.894194,6.6667486e-05,-24.894126999999997,-24.637951,4.744698500000001e-05,-24.637903
0.0017234,5,-24.894205,9.4074361e-05,-24.894111,-24.637963,6.7349005e-05,-24.637895999999998
0.0024174,6,-24.894220999999998,0.00013284109,-24.894088,-24.637981,9.583845900000001e-05,-24.637885
0.0033909,7,-24.894243,0.00018743544,-24.894054999999998,-24.638005,0.00013657651,-24.637869
0.0047565,8,-24.894273000000002,0.00026385502,-24.894009,-24.638039000000003,0.00019470612,-24.637845000000002
0.006672,9,-24.894315,0.00037001638,-24.893945000000002,-24.638087,0.00027744516,-24.63781
0.0093589,10,-24.894373,0.0005160971,-24.893857,-24.638154,0.00039475001000000004,-24.637759
0.0131278,11,-24.894454999999997,0.00071472625,-24.89374,-24.638247,0.00056029176,-24.637687
0.0184145,12,-24.894571,0.0009808828300000001,-24.89359,-24.638379999999998,0.00079231243,-24.637588
0.0258302,13,-24.894735999999998,0.0013312201000000002,-24.893404999999998,-24.63857,0.0011141261999999999,-24.637456
0.0362323,14,-24.894978,0.0017827098999999998,-24.893196,-24.638845,0.0015542773,-24.637291
0.0508234,15,-24.895344,0.0023516885,-24.892992,-24.639251,0.0021454234,-24.637106
0.0712906,16,-24.895903,0.003097848,-24.892806,-24.639853,0.0029616799,-24.636891000000002
0.1,17,-24.896714000000003,0.0042239166,-24.89249,-24.640703,0.0042133176000000005,-24.63649
0.140271,18,-24.897807999999998,0.0060211286999999995,-24.891787,-24.641835999999998,0.006208318000000001,-24.635628
0.19676,19,-24.899241,0.008732211,-24.890508999999998,-24.643292000000002,0.0091745038,-24.634118
0.275997,20,-24.901045,0.012661482,-24.888382999999997,-24.64509,0.013241403,-24.631849
0.3871,21,-24.903171,0.018269313,-24.884902,-24.647166,0.018538151,-24.628628
0.5431,22,-24.905324,0.026364992,-24.878959,-24.649231,0.02566618,-24.623565
0.7617,23,-24.90622,0.03842498,-24.867795,-24.649985,0.036358879,-24.613626
1.0685,24,-24.902862,0.055774709000000006,-24.847087,-24.646376,0.05240613,-24.593970000000002
1.4988,25,-24.894742,0.075877168,-24.818865,-24.637956,0.07177993,-24.566176000000002
2.1024,26,-24.884595,0.095855361,-24.788739,-24.627304000000002,0.09167934400000001,-24.535625
2.949,27,-24.873417,0.116654,-24.756763,-24.615339000000002,0.11255444,-24.502784
4.1366,28,-24.8615,0.1391254,-24.722374,-24.602202,0.13572055,-24.466480999999998
5.8025,29,-24.849148,0.16398343,-24.685164999999998,-24.588059,0.16243383,-24.425625
8.1392,30,-24.836437,0.19216514,-24.644272,-24.572712,0.19350868,-24.379203
11.417,31,-24.823404,0.22426693,-24.599137,-24.556112,0.22748661,-24.328625
16.0147,32,-24.811123000000002,0.25991839,-24.551205,-24.539413,0.26160615,-24.277807
22.464,33,-24.802545000000002,0.29889591,-24.503649,-24.52615,0.29350711,-24.232643
31.5105,34,-24.800026000000003,0.34453139,-24.455494,-24.519276,0.32584339,-24.193433
44.2001,35,-24.804716,0.40184884,-24.402867,-24.520128,0.36721583,-24.152912
62.0,36,-24.822882999999997,0.47268358,-24.350199,-24.536013,0.4284077,-24.107605
85.775,37,-24.867199,0.55717113,-24.310028,-24.582017,0.51514392,-24.066873
109.55,38,-24.928895999999998,0.64095632,-24.28794,-24.649303,0.60746134,-24.041842000000003
