,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-24.866066,0.0,-24.866066,,,
1e-08,1,,,,-25.174808,1.7991163000000001e-06,-25.174806
0.0006244,2,-24.866085,4.7522942e-05,-24.866037,-25.174825,3.7621468e-05,-25.174788
0.0008759,3,-24.866092000000002,6.6609869e-05,-24.866026,-25.174832000000002,5.2151293e-05,-25.17478
0.0012286,4,-24.866101999999998,9.372313399999999e-05,-24.866009,-25.174842,7.2900406e-05,-25.174769
0.0017234,5,-24.866117000000003,0.0001321912,-24.865984,-25.174854999999997,0.00010255235999999999,-25.174753
0.0024174,6,-24.866135999999997,0.00018659122,-24.86595,-25.174874,0.00014487345,-25.174729
0.0033909,7,-24.866163,0.00026317779999999997,-24.8659,-25.1749,0.00020519436999999997,-25.174695
0.0047565,8,-24.866201,0.00037042843000000003,-24.86583,-25.174936,0.00029100099,-25.174645
0.006672,9,-24.866253,0.0005195638200000001,-24.865734,-25.174985999999997,0.00041270833,-25.174573000000002
0.0093589,10,-24.866326,0.00072513242,-24.865601,-25.175056,0.0005846742299999999,-25.174471
0.0131278,11,-24.866428,0.001005431,-24.865422,-25.175154,0.00082638391,-25.174328
0.0184145,12,-24.866572,0.0013825555,-24.865189,-25.175293,0.0011637065,-25.174129
0.0258302,13,-24.866777,0.0018818109,-24.864895,-25.17549,0.0016293857000000001,-25.173861
0.0362323,14,-24.867074,0.0025303159,-24.864544,-25.175776000000003,0.0022629113,-25.173513
0.0508234,15,-24.867520000000003,0.0033560469,-24.864164000000002,-25.176197,0.0031087638,-25.173088
0.0712906,16,-24.868192999999998,0.0044442581,-24.863749,-25.176814999999998,0.0042608041,-25.172554
0.1,17,-24.869152,0.0060640487,-24.863088,-25.177677,0.005969590899999999,-25.171707
0.140271,18,-24.870424,0.008599668100000001,-24.861825,-25.178796,0.0085739703,-25.170222
0.19676,19,-24.872053,0.012389068999999999,-24.859663,-25.180191,0.012296773,-25.167894
0.275997,20,-24.874044,0.017879969,-24.856164,-25.181841,0.017306257,-25.164535
0.3871,21,-24.876286999999998,0.025781961000000003,-24.850505,-25.183618,0.023972884,-25.159645
0.5431,22,-24.87836,0.037328697,-24.841031,-25.185121,0.033457365,-25.151664
0.7617,23,-24.878715,0.054582717999999995,-24.824132000000002,-25.184955,0.048211091,-25.136744
1.0685,24,-24.873967999999998,0.079314703,-24.794653,-25.180184,0.070583372,-25.1096
1.4988,25,-24.863469,0.10861492,-24.754855,-25.170309,0.098508766,-25.0718
2.1024,26,-24.850189999999998,0.1391136,-24.711076000000002,-25.157697,0.12865924,-25.029038
2.949,27,-24.835224,0.17212286,-24.663101,-25.1432,0.16171777,-24.981482
4.1366,28,-24.818919,0.20906451,-24.609854000000002,-25.126938,0.20024638,-24.926691
5.8025,29,-24.801679,0.25112518,-24.550554,-25.10913,0.24674749,-24.862382999999998
8.1392,30,-24.783665,0.29986003,-24.483805,-25.089655,0.30303614,-24.786619
11.417,31,-24.765059,0.35668809,-24.408371,-25.068642999999998,0.36779245,-24.70085
16.0147,32,-24.747524,0.42200845,-24.325515,-25.04779,0.43791696,-24.609873
22.464,33,-24.735326999999998,0.49663376,-24.238692999999998,-25.031857000000002,0.51098031,-24.520876
31.5105,34,-24.732014000000003,0.58649937,-24.145514000000002,-25.024983,0.5917997,-24.433183
44.2001,35,-24.739676,0.70032972,-24.039346,-25.029441000000002,0.69379689,-24.335644
62.0,36,-24.767654,0.8425306,-23.925123000000003,-25.055321,0.83434604,-24.220975
85.775,37,-24.833648999999998,1.0120844999999998,-23.821565,-25.122062,1.0206539000000001,-24.101408
109.55,38,-24.923254999999997,1.1752316999999999,-23.748023,-25.215201,1.2066084,-24.008592999999998
