,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.39318392,1,0.25086779
0.00075015,2,0.39215028,2,0.25495739
0.00105225,3,0.40369829,3,0.2659129
0.001476,4,0.41449975,4,0.27744719
0.0020704,5,0.42326766,5,0.28847497
0.00290415,6,0.42875932,6,0.2988882
0.0040737,7,0.43049086,7,0.30803136
0.00571425,8,0.42705903,8,0.31553844
0.00801545,9,0.41719918,9,0.32029555
0.01124335,10,0.39961362,10,0.32142892
0.01577115,11,0.37270425,11,0.31710015
0.02212235,12,0.33492346,12,0.30494624
0.03103125,13,0.28453969,13,0.28223262
0.04352785,14,0.21973301,14,0.24588033
0.061057,15,0.17143771,15,0.22013566
0.0856453,16,0.19425019,16,0.24918217
0.1201355,17,0.26484706,17,0.31126809
0.1685155,18,0.32297589,18,0.34783644
0.2363785,19,0.37287124,19,0.3578649
0.3315485,20,0.42996464,20,0.37145616
0.4651,21,0.5126696,21,0.43179388
0.6524,22,0.6525973,22,0.57603686
0.9151,23,0.81115354,23,0.74660282
1.28365,24,0.78078522,24,0.74139804
1.8006,25,0.61228066,25,0.59791247
2.5257,26,0.47838089,26,0.4740788
3.5428,27,0.37849773,27,0.38935526
4.96955,28,0.3005024,28,0.32579997
6.97085,29,0.24114536,29,0.27365427
9.7781,30,0.19427839,30,0.2208627
13.71585,31,0.15213234,31,0.16698635
19.23935,32,0.1136467,32,0.11645405
26.98725,33,0.086951006,33,0.081808404
37.8553,34,0.070629395,34,0.064855426
53.10005,35,0.054171897000000004,35,0.054382425
73.8875,36,0.0367709,36,0.042426621
97.6625,37,0.026112762999999997,37,0.032940409
121.4375,38,0.020571175,38,0.026023416
145.2125,39,0.010850739,39,0.014095021000000001
168.9875,40,0.00054472357,40,0.0019631028
192.7625,41,0.0043986693,41,0.0046765187
216.5375,42,0.025884177999999997,42,0.024841598
240.3125,43,0.051966742,43,0.049383185
264.0875,44,0.080337932,44,0.075664972
287.8625,45,0.1090292,45,0.1013042
311.6375,46,0.12729377,46,0.11870646
335.4125,47,0.14326874,47,0.1343757
359.1875,48,0.16052304,48,0.14893906
382.9625,49,0.17851655,49,0.16266521
406.7375,50,0.19683097,50,0.17782667
430.5125,51,0.21503855,51,0.19573163
454.2875,52,0.23013853,52,0.21250581
478.0625,53,0.24382064,53,0.22775304
501.8375,54,0.25726494,54,0.24131784
525.6125,55,0.27029875,55,0.25405402
549.3875,56,0.28275999,56,0.26627593
573.1625,57,0.29469602,57,0.27884946
596.9375,58,0.31498733,58,0.3002642
620.7125,59,0.33214442,59,0.31997277
644.4875,60,0.34372689,60,0.33529507
668.2625,61,0.34993297,61,0.34532528
692.0375,62,0.35081019,62,0.34931338
715.8125,63,0.34701368,63,0.34899141
739.5875,64,0.33928794,64,0.34556212
763.3625,65,0.32846255,65,0.33989553
787.1375,66,0.31553514,66,0.33267168
810.9125,67,0.30084444,67,0.32313179
834.6875,68,0.28323199,68,0.30857088
858.4625,69,0.26101949,69,0.28719974
882.2375,70,0.23475113,70,0.25925922
906.0125,71,0.20768359,71,0.22921552
929.7875,72,0.18316291,72,0.20143805
953.5625,73,0.16337719,73,0.17859008
977.3375,74,0.15137516,74,0.16501182
1001.1125,75,0.17152717,75,0.18262128
