,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-29.581934296,0.0,-29.581934296,-25.175148999999998,4.4152891e-08,-25.175148999999998
0.0006244,2,-29.581951589000003,4.59414429778e-05,-29.581905474,-25.175166,3.5859239e-05,-25.17513
0.0008759,3,-29.581958434,6.43856821746e-05,-29.581894015000003,-25.175173,5.0387465e-05,-25.175123000000003
0.0012286,4,-29.581967932000005,9.058943868260001e-05,-29.581877318,-25.175182999999997,7.1133394e-05,-25.175112
0.0017234,5,-29.581981058,0.000127766013393,-29.581853292,-25.175196,0.00010078200999999999,-25.175095000000002
0.0024174,6,-29.581999205000002,0.00018033249029400001,-29.581818928,-25.175214999999998,0.00014309589,-25.175072
0.0033909,7,-29.582024534000002,0.00025431572564099995,-29.581770123000002,-25.175241,0.00020340995,-25.175037
0.0047565,8,-29.582059354000002,0.00035787000378600004,-29.581701495,-25.175276999999998,0.00028920068,-25.174986999999998
0.006672,9,-29.582107898,0.0005017575967890001,-29.581606093,-25.175327,0.00041089431000000004,-25.174916
0.0093589,10,-29.582175528,0.000699875657232,-29.581475681,-25.175397,0.00058282599,-25.174814
0.0131278,11,-29.582270158,0.00096959686106,-29.581300683,-25.175495,0.0008245088,-25.174670000000003
0.0184145,12,-29.582403944000003,0.00133171822185,-29.58107247,-25.175634,0.0011617975,-25.174472
0.0258302,13,-29.582595275,0.0018097105322,-29.58078579,-25.175831,0.0016274229,-25.174204
0.0362323,14,-29.582874101,0.0024281077981099996,-29.580446400000003,-25.176117,0.0022608958,-25.173856
0.0508234,15,-29.583294685,0.00321121898898,-29.5800829394,-25.176538,0.0031066475,-25.173431
0.0712906,16,-29.583931959999997,0.004237647180169999,-29.5796939758,-25.177156,0.0042586314,-25.172897
0.1,17,-29.584848535,0.0057622116414999995,-29.579086357,-25.178017,0.0059673426,-25.17205
0.140271,18,-29.586077671,0.008145392305500002,-29.577933229499997,-25.179136,0.0085713957,-25.170565
0.19676,19,-29.587672430999998,0.011690978997499999,-29.5759813845,-25.180531,0.012294141000000001,-25.168237
0.275997,20,-29.589659700000002,0.0167934042678,-29.572866519599998,-25.182181,0.017303475,-25.164878
0.3871,21,-29.591969376,0.024079517724,-29.567890318699998,-25.183957,0.02396912,-25.159988000000002
0.5431,22,-29.594254394000004,0.034654462775,-29.559600084000003,-25.185461,0.033452373,-25.152008
0.7617,23,-29.595105512,0.050389680724,-29.544715670000002,-25.185294,0.04820348,-25.13709
1.0685,24,-29.591320799000002,0.07283374721,-29.51848749767,-25.180525,0.070570501,-25.109954000000002
1.4988,25,-29.582270406,0.09905477793,-29.483215161700002,-25.170651,0.09849140099999999,-25.07216
2.1024,26,-29.570761376999997,0.12581952348,-29.444941846699997,-25.158041,0.1286369,-25.029404
2.949,27,-29.557826234000004,0.15443937543,-29.4033863896,-25.143546,0.16168998,-24.981856
4.1366,28,-29.543780321,0.18624351087,-29.3575369704,-25.127287,0.20021096,-24.927076
5.8025,29,-29.528985867000003,0.22224650367,-29.306738780099998,-25.109481,0.24670456,-24.862776
8.1392,30,-29.513547373999998,0.26370578383,-29.2498417701,-25.090007,0.30298539,-24.787021
11.417,31,-29.497520495999996,0.3116179353,-29.185902747100002,-25.068991,0.36773488,-24.701256
16.0147,32,-29.482220806,0.36591255139999995,-29.11630843798,-25.048144,0.43784313,-24.610301
22.464,33,-29.471270089999997,0.4268545473,-29.0444162295,-25.032217000000003,0.5108926,-24.521325
31.5105,34,-29.4675309832,0.49944301210000003,-28.9680884555,-25.025348,0.59169957,-24.433648
44.2001,35,-29.472291223999996,0.5911340931,-28.88115715403,-25.029822,0.69367288,-24.336149
