,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-24.866066,0.0,-24.866066,,,
1e-08,1,,,,-21.93809,2.1071578e-07,-21.93809
0.0006244,2,-24.866085,4.7522942e-05,-24.866037,-21.939915,0.010307397,-21.929607999999998
0.0008759,3,-24.866092000000002,6.6609869e-05,-24.866026,-21.944232,0.034209324,-21.910022
0.0012286,4,-24.866101999999998,9.372313399999999e-05,-24.866009,-21.950046,0.066001807,-21.884044
0.0017234,5,-24.866117000000003,0.0001321912,-24.865984,-21.957856,0.10761348,-21.850243
0.0024174,6,-24.866135999999997,0.00018659122,-24.86595,-21.96836,0.16111733,-21.807243
0.0033909,7,-24.866163,0.00026317779999999997,-24.8659,-21.982513,0.22877844,-21.753733999999998
0.0047565,8,-24.866201,0.00037042843000000003,-24.86583,-22.00163,0.31326486,-21.688365
0.006672,9,-24.866253,0.0005195638200000001,-24.865734,-22.027551000000003,0.41804144,-21.60951
0.0093589,10,-24.866326,0.00072513242,-24.865601,-22.062862,0.5478479,-21.515014
0.0131278,11,-24.866428,0.001005431,-24.865422,-22.111306,0.70878569,-21.402520000000003
0.0184145,12,-24.866572,0.0013825555,-24.865189,-22.178385000000002,0.90752493,-21.27086
0.0258302,13,-24.866777,0.0018818109,-24.864895,-22.272645,1.1495809,-21.123064000000003
0.0362323,14,-24.867074,0.0025303159,-24.864544,-22.40841,1.438772,-20.969638
0.0508234,15,-24.867520000000003,0.0033560469,-24.864164000000002,-22.615517999999998,1.7801076,-20.83541
0.0712906,16,-24.868192999999998,0.0044442581,-24.863749,-22.934088,2.2059995999999997,-20.728088
0.1,17,-24.869152,0.0060640487,-24.863088,-23.368534,2.8088602000000003,-20.559673999999998
0.140271,18,-24.870424,0.008599668100000001,-24.861825,-23.89835,3.6780817999999997,-20.220268
0.19676,19,-24.872053,0.012389068999999999,-24.859663,-24.526152,4.8552833,-19.670868
0.275997,20,-24.874044,0.017879969,-24.856164,-25.247768,6.394902,-18.852866
0.3871,21,-24.876286999999998,0.025781961000000003,-24.850505,-26.038656,8.3643745,-17.674282
0.5431,22,-24.87836,0.037328697,-24.841031,-26.829061,10.867001,-15.962060000000001
0.7617,23,-24.878715,0.054582717999999995,-24.824132000000002,-27.336526,14.008873000000001,-13.327653
1.0685,24,-24.873967999999998,0.079314703,-24.794653,-26.966047999999997,17.617942000000003,-9.348106699999999
1.4988,25,-24.863469,0.10861492,-24.754855,-25.711476,20.720164999999998,-4.9913106
2.1024,26,-24.850189999999998,0.1391136,-24.711076000000002,-24.174073,22.551463000000002,-1.62261
2.949,27,-24.835224,0.17212286,-24.663101,-22.58049,23.216596,0.63610574
4.1366,28,-24.818919,0.20906451,-24.609854000000002,-21.014235,22.863120000000002,1.8488851000000002
5.8025,29,-24.801679,0.25112518,-24.550554,-19.546146,21.719846,2.1737002
8.1392,30,-24.783665,0.29986003,-24.483805,-18.175798999999998,20.169201,1.9934026000000002
11.417,31,-24.765059,0.35668809,-24.408371,-16.852660999999998,18.560045000000002,1.7073839
16.0147,32,-24.747524,0.42200845,-24.325515,-15.600199,17.036873999999997,1.4366752
22.464,33,-24.735326999999998,0.49663376,-24.238692999999998,-14.597631,15.66571,1.0680789
31.5105,34,-24.732014000000003,0.58649937,-24.145514000000002,-13.876576000000002,14.613368,0.73679177
44.2001,35,-24.739676,0.70032972,-24.039346,-13.246903,13.879295,0.63239172
62.0,36,-24.767654,0.8425306,-23.925123000000003,-12.704935,13.247233,0.54229833
85.775,37,-24.833648999999998,1.0120844999999998,-23.821565,-12.463727,12.704952,0.24122485
109.55,38,-24.923254999999997,1.1752316999999999,-23.748023,-12.455464,12.463727,0.0082636306
