,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-24.866066,0.0,-24.866066,,,
1e-08,1,,,,-15.541766,1.7991173000000001e-06,-15.541764
0.0006244,2,-24.866085,4.7522942e-05,-24.866037,-15.541898999999999,3.9420601e-05,-15.541859
0.0008759,3,-24.866092000000002,6.6609869e-05,-24.866026,-15.541947,9.1571741e-05,-15.541854999999998
0.0012286,4,-24.866101999999998,9.372313399999999e-05,-24.866009,-15.542007,0.0001644716,-15.541843
0.0017234,5,-24.866117000000003,0.0001321912,-24.865984,-15.542082,0.00026702252,-15.541815
0.0024174,6,-24.866135999999997,0.00018659122,-24.86595,-15.542174,0.00041189266000000004,-15.541762
0.0033909,7,-24.866163,0.00026317779999999997,-24.8659,-15.542284,0.0006170798,-15.541667000000002
0.0047565,8,-24.866201,0.00037042843000000003,-24.86583,-15.542411999999999,0.00090806549,-15.541504000000002
0.006672,9,-24.866253,0.0005195638200000001,-24.865734,-15.542557,0.0013207421,-15.541235999999998
0.0093589,10,-24.866326,0.00072513242,-24.865601,-15.542713000000001,0.0019053514000000001,-15.540807000000001
0.0131278,11,-24.866428,0.001005431,-24.865422,-15.542866,0.0027316040000000003,-15.540134
0.0184145,12,-24.866572,0.0013825555,-24.865189,-15.542992000000002,0.0038950484,-15.539097
0.0258302,13,-24.866777,0.0018818109,-24.864895,-15.543049,0.0055239155000000005,-15.537525
0.0362323,14,-24.867074,0.0025303159,-24.864544,-15.542963,0.0077858148,-15.535177
0.0508234,15,-24.867520000000003,0.0033560469,-24.864164000000002,-15.542614000000002,0.010892638999999999,-15.531721
0.0712906,16,-24.868192999999998,0.0044442581,-24.863749,-15.541778,0.01514979,-15.526628
0.1,17,-24.869152,0.0060640487,-24.863088,-15.540016,0.021112582,-15.518904000000001
0.140271,18,-24.870424,0.008599668100000001,-24.861825,-15.536629000000001,0.029674055,-15.506955
0.19676,19,-24.872053,0.012389068999999999,-24.859663,-15.530706,0.041948292000000005,-15.488757000000001
0.275997,20,-24.874044,0.017879969,-24.856164,-15.520975,0.059214834,-15.46176
0.3871,21,-24.876286999999998,0.025781961000000003,-24.850505,-15.505684,0.08311872299999999,-15.422564999999999
0.5431,22,-24.87836,0.037328697,-24.841031,-15.482391,0.11645483,-15.365935999999998
0.7617,23,-24.878715,0.054582717999999995,-24.824132000000002,-15.447885999999999,0.16444421,-15.283441
1.0685,24,-24.873967999999998,0.079314703,-24.794653,-15.400414000000001,0.23460481,-15.165809
1.4988,25,-24.863469,0.10861492,-24.754855,-15.344319,0.33229984,-15.012020000000001
2.1024,26,-24.850189999999998,0.1391136,-24.711076000000002,-15.285932,0.45942954,-14.826503
2.949,27,-24.835224,0.17212286,-24.663101,-15.228292999999999,0.61836631,-14.609926999999999
4.1366,28,-24.818919,0.20906451,-24.609854000000002,-15.173276000000001,0.8136815,-14.359594
5.8025,29,-24.801679,0.25112518,-24.550554,-15.123607999999999,1.0518361,-14.071772
8.1392,30,-24.783665,0.29986003,-24.483805,-15.082864,1.3401225,-13.742741
11.417,31,-24.765059,0.35668809,-24.408371,-15.057345999999999,1.6831744999999998,-13.374170999999999
16.0147,32,-24.747524,0.42200845,-24.325515,-15.056687,2.0808793999999997,-12.975808
22.464,33,-24.735326999999998,0.49663376,-24.238692999999998,-15.093225,2.528839,-12.564386
31.5105,34,-24.732014000000003,0.58649937,-24.145514000000002,-15.180878,3.0250475,-12.15583
44.2001,35,-24.739676,0.70032972,-24.039346,-15.340342999999999,3.5763762999999997,-11.763967
62.0,36,-24.767654,0.8425306,-23.925123000000003,-15.610221,4.1972535,-11.412967
85.775,37,-24.833648999999998,1.0120844999999998,-23.821565,-16.038842000000002,4.8968016,-11.142041
