,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,0.39318392,,
0.000312205,,,1.0,0.25097273
0.00075015,2.0,0.39215028,2.0,0.25496907
0.00105225,3.0,0.40369829,3.0,0.26596886
0.001476,4.0,0.41449975,4.0,0.27746382
0.0020704,5.0,0.42326766,5.0,0.28855259
0.00290415,6.0,0.42875932,6.0,0.29890903
0.0040737,7.0,0.43049086,7.0,0.30812952
0.00571425,8.0,0.42705903,8.0,0.31556152
0.00801545,9.0,0.41719918,9.0,0.32041424
0.01124335,10.0,0.39961362,10.0,0.32145437
0.01577115,11.0,0.37270425,11.0,0.31711767
0.02212235,12.0,0.33492346,12.0,0.30498033
0.03103125,13.0,0.28453969,13.0,0.28223361
0.04352785,14.0,0.21973301,14.0,0.24591931
0.061057,15.0,0.17143771,15.0,0.22010782
0.0856453,16.0,0.19425019,16.0,0.24914907
0.1201355,17.0,0.26484706,17.0,0.31134012
0.1685155,18.0,0.32297589,18.0,0.34780228
0.2363785,19.0,0.37287124,19.0,0.35782995
0.3315485,20.0,0.42996464,20.0,0.37153742
0.4651,21.0,0.5126696,21.0,0.43185269
0.6524,22.0,0.6525973,22.0,0.57612173
0.9151,23.0,0.81115354,23.0,0.74679476
1.28365,24.0,0.78078522,24.0,0.74151395
1.8006,25.0,0.61228066,25.0,0.59800652
2.5257,26.0,0.47838089,26.0,0.47415013
3.5428,27.0,0.37849773,27.0,0.38943049
4.96955,28.0,0.3005024,28.0,0.32584759
6.97085,29.0,0.24114536,29.0,0.27368635
9.7781,30.0,0.19427839,30.0,0.22087233
13.71585,31.0,0.15213234,31.0,0.16702586
19.23935,32.0,0.1136467,32.0,0.1164812
26.98725,33.0,0.086951006,33.0,0.081823826
37.8553,34.0,0.070629395,34.0,0.064882251
53.10005,35.0,0.054171897000000004,35.0,0.054377808
73.8875,36.0,0.0367709,36.0,0.042450499
97.6625,37.0,0.026112762999999997,37.0,0.032952938
121.4375,38.0,0.020571175,38.0,0.02603206
145.2125,39.0,0.010850739,39.0,0.014109864
168.9875,40.0,0.00054472357,40.0,0.0019520115
192.7625,41.0,0.0043986693,41.0,0.0046659795
216.5375,42.0,0.025884177999999997,42.0,0.024865682000000004
240.3125,43.0,0.051966742,43.0,0.049376221
264.0875,44.0,0.080337932,44.0,0.075662286
287.8625,45.0,0.1090292,45.0,0.10129109
311.6375,46.0,0.12729377,46.0,0.11876947
335.4125,47.0,0.14326874,47.0,0.13436022
359.1875,48.0,0.16052304,48.0,0.14893902
382.9625,49.0,0.17851655,49.0,0.16267519
406.7375,50.0,0.19683097,50.0,0.17782249
430.5125,51.0,0.21503855,51.0,0.19572044
454.2875,52.0,0.23013853,52.0,0.21254983
478.0625,53.0,0.24382064,53.0,0.22773798
501.8375,54.0,0.25726494,54.0,0.24130507
525.6125,55.0,0.27029875,55.0,0.25405491
549.3875,56.0,0.28275999,56.0,0.26629322
573.1625,57.0,0.29469602,57.0,0.27886795
596.9375,58.0,0.31498733,58.0,0.30026769
620.7125,59.0,0.33214442,59.0,0.31994382
644.4875,60.0,0.34372689,60.0,0.33527031
668.2625,61.0,0.34993297,61.0,0.34527396
692.0375,62.0,0.35081019,62.0,0.3493947
715.8125,63.0,0.34701368,63.0,0.34893275
739.5875,64.0,0.33928794,64.0,0.34551813
763.3625,65.0,0.32846255,65.0,0.33990606
787.1375,66.0,0.31553514,66.0,0.3326184
810.9125,67.0,0.30084444,67.0,0.32305505
834.6875,68.0,0.28323199,68.0,0.30872734
858.4625,69.0,0.26101949,69.0,0.28710787
882.2375,70.0,0.23475113,70.0,0.25921981
906.0125,71.0,0.20768359,71.0,0.22917453
929.7875,72.0,0.18316291,72.0,0.20132052
953.5625,73.0,0.16337719,73.0,0.17876129
977.3375,74.0,0.15137516,74.0,0.16504804
1001.1125,75.0,0.17152717,75.0,0.18259379
