,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-24.866066,0.0,-24.866066,,,
1e-08,1,,,,-36.235409999999995,0.0,-36.235409999999995
0.0006244,2,-24.866085,4.7522942e-05,-24.866037,-36.235409999999995,0.0,-36.235409999999995
0.0008759,3,-24.866092000000002,6.6609869e-05,-24.866026,-36.235409999999995,0.0,-36.235409999999995
0.0012286,4,-24.866101999999998,9.372313399999999e-05,-24.866009,-36.235409999999995,0.0,-36.235409999999995
0.0017234,5,-24.866117000000003,0.0001321912,-24.865984,-36.235409999999995,0.0,-36.235409999999995
0.0024174,6,-24.866135999999997,0.00018659122,-24.86595,-36.235409999999995,0.0,-36.235409999999995
0.0033909,7,-24.866163,0.00026317779999999997,-24.8659,-36.235409999999995,0.0,-36.235409999999995
0.0047565,8,-24.866201,0.00037042843000000003,-24.86583,-36.235409999999995,0.0,-36.235409999999995
0.006672,9,-24.866253,0.0005195638200000001,-24.865734,-36.235409999999995,0.0,-36.235409999999995
0.0093589,10,-24.866326,0.00072513242,-24.865601,-36.235409999999995,0.0,-36.235409999999995
0.0131278,11,-24.866428,0.001005431,-24.865422,-36.235409999999995,0.0,-36.235409999999995
0.0184145,12,-24.866572,0.0013825555,-24.865189,-36.235409999999995,0.0,-36.235409999999995
0.0258302,13,-24.866777,0.0018818109,-24.864895,-36.235409999999995,0.0,-36.235409999999995
0.0362323,14,-24.867074,0.0025303159,-24.864544,-36.235409999999995,0.0,-36.235409999999995
0.0508234,15,-24.867520000000003,0.0033560469,-24.864164000000002,-36.235409999999995,0.0,-36.235409999999995
0.0712906,16,-24.868192999999998,0.0044442581,-24.863749,-36.235409999999995,0.0,-36.235409999999995
0.1,17,-24.869152,0.0060640487,-24.863088,-36.235409999999995,0.0,-36.235409999999995
0.140271,18,-24.870424,0.008599668100000001,-24.861825,-36.235409999999995,0.0,-36.235409999999995
0.19676,19,-24.872053,0.012389068999999999,-24.859663,-36.235409999999995,0.0,-36.235409999999995
0.275997,20,-24.874044,0.017879969,-24.856164,-36.235409999999995,0.0,-36.235409999999995
0.3871,21,-24.876286999999998,0.025781961000000003,-24.850505,-36.235409999999995,0.0,-36.235409999999995
0.5431,22,-24.87836,0.037328697,-24.841031,-36.235409999999995,0.0,-36.235409999999995
0.7617,23,-24.878715,0.054582717999999995,-24.824132000000002,-36.235409999999995,0.0,-36.235409999999995
1.0685,24,-24.873967999999998,0.079314703,-24.794653,-36.235409999999995,0.0,-36.235409999999995
1.4988,25,-24.863469,0.10861492,-24.754855,-36.235409999999995,0.0,-36.235409999999995
2.1024,26,-24.850189999999998,0.1391136,-24.711076000000002,-36.235409999999995,0.0,-36.235409999999995
2.949,27,-24.835224,0.17212286,-24.663101,-36.235409999999995,0.0,-36.235409999999995
4.1366,28,-24.818919,0.20906451,-24.609854000000002,-36.235409999999995,0.0,-36.235409999999995
5.8025,29,-24.801679,0.25112518,-24.550554,-36.235409999999995,0.0,-36.235409999999995
8.1392,30,-24.783665,0.29986003,-24.483805,-36.235409999999995,0.0,-36.235409999999995
11.417,31,-24.765059,0.35668809,-24.408371,-36.235409999999995,0.0,-36.235409999999995
16.0147,32,-24.747524,0.42200845,-24.325515,-36.235409999999995,0.0,-36.235409999999995
22.464,33,-24.735326999999998,0.49663376,-24.238692999999998,-36.235409999999995,0.0,-36.235409999999995
31.5105,34,-24.732014000000003,0.58649937,-24.145514000000002,-36.235409999999995,0.0,-36.235409999999995
44.2001,35,-24.739676,0.70032972,-24.039346,-36.235409999999995,0.0,-36.235409999999995
62.0,36,-24.767654,0.8425306,-23.925123000000003,-36.235409999999995,0.0,-36.235409999999995
