,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-24.866066,0.0,-24.866066,,,
1e-08,1,,,,-25.174807,1.7991173000000001e-06,-25.174805
0.0006244,2,-24.866085,4.7522942e-05,-24.866037,-25.174823999999997,3.762149e-05,-25.174785999999997
0.0008759,3,-24.866092000000002,6.6609869e-05,-24.866026,-25.174831,5.2151323e-05,-25.174779
0.0012286,4,-24.866101999999998,9.372313399999999e-05,-24.866009,-25.174841,7.2900449e-05,-25.174768
0.0017234,5,-24.866117000000003,0.0001321912,-24.865984,-25.174854,0.00010255242,-25.174751
0.0024174,6,-24.866135999999997,0.00018659122,-24.86595,-25.174873,0.00014487353,-25.174727999999998
0.0033909,7,-24.866163,0.00026317779999999997,-24.8659,-25.174898000000002,0.00020519449,-25.174692999999998
0.0047565,8,-24.866201,0.00037042843000000003,-24.86583,-25.174934,0.00029100115000000004,-25.174643
0.006672,9,-24.866253,0.0005195638200000001,-24.865734,-25.174985,0.00041270855000000005,-25.174572
0.0093589,10,-24.866326,0.00072513242,-24.865601,-25.175054,0.0005846745400000001,-25.17447
0.0131278,11,-24.866428,0.001005431,-24.865422,-25.175152999999998,0.0008263841900000001,-25.174326
0.0184145,12,-24.866572,0.0013825555,-24.865189,-25.175291,0.0011637074,-25.174128
0.0258302,13,-24.866777,0.0018818109,-24.864895,-25.175489000000002,0.0016293867999999999,-25.17386
0.0362323,14,-24.867074,0.0025303159,-24.864544,-25.175775,0.0022629124,-25.173512
0.0508234,15,-24.867520000000003,0.0033560469,-24.864164000000002,-25.176196,0.0031087651,-25.173087
0.0712906,16,-24.868192999999998,0.0044442581,-24.863749,-25.176814,0.004260805,-25.172553
0.1,17,-24.869152,0.0060640487,-24.863088,-25.177675,0.0059695908,-25.171706
0.140271,18,-24.870424,0.008599668100000001,-24.861825,-25.178794,0.0085739718,-25.17022
0.19676,19,-24.872053,0.012389068999999999,-24.859663,-25.18019,0.012296775,-25.167893
0.275997,20,-24.874044,0.017879969,-24.856164,-25.18184,0.017306258999999997,-25.164534
0.3871,21,-24.876286999999998,0.025781961000000003,-24.850505,-25.183616,0.023972882999999997,-25.159644
0.5431,22,-24.87836,0.037328697,-24.841031,-25.18512,0.033457366,-25.151661999999998
0.7617,23,-24.878715,0.054582717999999995,-24.824132000000002,-25.184953,0.048211093,-25.136742
1.0685,24,-24.873967999999998,0.079314703,-24.794653,-25.180182000000002,0.070583377,-25.109599
1.4988,25,-24.863469,0.10861492,-24.754855,-25.170307,0.09850877699999999,-25.071799
2.1024,26,-24.850189999999998,0.1391136,-24.711076000000002,-25.157695,0.12865924,-25.029035999999998
2.949,27,-24.835224,0.17212286,-24.663101,-25.143199,0.16171777,-24.981481
4.1366,28,-24.818919,0.20906451,-24.609854000000002,-25.126936999999998,0.20024636,-24.92669
5.8025,29,-24.801679,0.25112518,-24.550554,-25.109129,0.24674747,-24.862381
8.1392,30,-24.783665,0.29986003,-24.483805,-25.089654,0.30303614,-24.786618
11.417,31,-24.765059,0.35668809,-24.408371,-25.068641,0.36779245,-24.700848999999998
16.0147,32,-24.747524,0.42200845,-24.325515,-25.047789,0.43791699,-24.609872
22.464,33,-24.735326999999998,0.49663376,-24.238692999999998,-25.031855,0.51098031,-24.520875
31.5105,34,-24.732014000000003,0.58649937,-24.145514000000002,-25.024982,0.59179971,-24.433182000000002
44.2001,35,-24.739676,0.70032972,-24.039346,-25.029439,0.69379701,-24.335642
62.0,36,-24.767654,0.8425306,-23.925123000000003,-25.055320000000002,0.83434601,-24.220974
85.775,37,-24.833648999999998,1.0120844999999998,-23.821565,-25.122061,1.0206539000000001,-24.101407000000002
