,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.39318392,1,-1.3094728
0.00075015,2,0.39215028,2,0.073793947
0.00105225,3,0.40369829,3,0.25566277
0.001476,4,0.41449975,4,0.44025402
0.0020704,5,0.42326766,5,0.62657037
0.00290415,6,0.42875932,6,0.81192484
0.0040737,7,0.43049086,7,0.99442047
0.00571425,8,0.42705903,8,1.1720707000000001
0.00801545,9,0.41719918,9,1.3425068000000002
0.01124335,10,0.39961362,10,1.5036824
0.01577115,11,0.37270425,11,1.6534886999999998
0.02212235,12,0.33492346,12,1.7880287
0.03103125,13,0.28453969,13,1.9037694
0.04352785,14,0.21973301,14,1.9986717
0.061057,15,0.17143771,15,2.0998965
0.0856453,16,0.19425019,16,2.2708958
0.1201355,17,0.26484706,17,2.5043687
0.1685155,18,0.32297589,18,2.7191625
0.2363785,19,0.37287124,19,2.8759438
0.3315485,20,0.42996464,20,2.9778013
0.4651,21,0.5126696,21,3.0641354
0.6524,22,0.6525973,22,3.1854442
0.9151,23,0.81115354,23,3.2364226
1.28365,24,0.78078522,24,3.0168181
1.8006,25,0.61228066,25,2.5943481
2.5257,26,0.47838089,26,2.159361
3.5428,27,0.37849773,27,1.7792716
4.96955,28,0.3005024,28,1.4583778
6.97085,29,0.24114536,29,1.1885776000000001
9.7781,30,0.19427839,30,0.94914335
13.71585,31,0.15213234,31,0.73136432
19.23935,32,0.1136467,32,0.53847917
26.98725,33,0.086951006,33,0.38121161
37.8553,34,0.070629395,34,0.26066447
53.10005,35,0.054171897000000004,35,0.1664502
73.8875,36,0.0367709,36,0.096189539
97.6625,37,0.026112762999999997,37,0.085215463
121.4375,38,0.020571175,38,0.070388565
145.2125,39,0.010850739,39,0.052331337
168.9875,40,0.00054472357,40,0.037652701000000004
192.7625,41,0.0043986693,41,0.037625837999999995
216.5375,42,0.025884177999999997,42,0.05226291
240.3125,43,0.051966742,43,0.078709185
264.0875,44,0.080337932,44,0.11124552
287.8625,45,0.1090292,45,0.14351653
311.6375,46,0.12729377,46,0.17541506
335.4125,47,0.14326874,47,0.20079213
359.1875,48,0.16052304,48,0.21627862
382.9625,49,0.17851655,49,0.22210565
406.7375,50,0.19683097,50,0.21956207
430.5125,51,0.21503855,51,0.21004816
454.2875,52,0.23013853,52,0.19582836
478.0625,53,0.24382064,53,0.17816921
501.8375,54,0.25726494,54,0.15878351
525.6125,55,0.27029875,55,0.13979698
549.3875,56,0.28275999,56,0.12297684
573.1625,57,0.29469602,57,0.10971457
596.9375,58,0.31498733,58,0.09787310699999999
620.7125,59,0.33214442,59,0.088091136
644.4875,60,0.34372689,60,0.079460317
668.2625,61,0.34993297,61,0.071460172
692.0375,62,0.35081019,62,0.064240563
715.8125,63,0.34701368,63,0.058204110999999996
739.5875,64,0.33928794,64,0.053982884
763.3625,65,0.32846255,65,0.052027529
787.1375,66,0.31553514,66,0.052782398
810.9125,67,0.30084444,67,0.054947355999999996
834.6875,68,0.28323199,68,0.05569125
858.4625,69,0.26101949,69,0.05154102
882.2375,70,0.23475113,70,0.042385291
906.0125,71,0.20768359,71,0.031853615
929.7875,72,0.18316291,72,0.024154665
953.5625,73,0.16337719,73,0.023577507
977.3375,74,0.15137516,74,0.03913797
1001.1125,75,0.17152717,75,0.082307678
