,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-22.50621,0.0,-22.50621,-22.123075,-5.3232267e-08,-22.123075
0.0006244,2,-22.506215,1.4615756999999998e-06,-22.506213,-22.123078,9.797291300000001e-07,-22.123077
0.0008759,3,-22.506217000000003,2.1260009e-06,-22.506215,-22.123079,1.4491008e-06,-22.123078
0.0012286,4,-22.506220000000003,3.2758713e-06,-22.506217000000003,-22.123082,2.2614885e-06,-22.123079999999998
0.0017234,5,-22.506225,5.2090459e-06,-22.506220000000003,-22.123085999999997,3.6288416e-06,-22.123082
0.0024174,6,-22.506234,8.3868075e-06,-22.506226,-22.123093,5.8780084e-06,-22.123086999999998
0.0033909,7,-22.506248,1.3524884999999999e-05,-22.506235,-22.123103,9.5182214e-06,-22.123094000000002
0.0047565,8,-22.50627,2.1723136e-05,-22.506248,-22.12312,1.5329204e-05,-22.123104
0.006672,9,-22.506303,3.4664182000000003e-05,-22.506268,-22.123145,2.4509981e-05,-22.123120999999998
0.0093589,10,-22.506354,5.4913455000000006e-05,-22.506299,-22.123184,3.8879767e-05,-22.123145
0.0131278,11,-22.506431,8.635592e-05,-22.506345,-22.123243,6.1216929e-05,-22.123182
0.0184145,12,-22.506547,0.00013480916000000001,-22.506412,-22.123332,9.571908299999999e-05,-22.123236
0.0258302,13,-22.506721,0.00020900631999999997,-22.506512,-22.123465,0.00014870309999999998,-22.123316
0.0362323,14,-22.506982,0.00032193211,-22.50666,-22.123664,0.00022970465,-22.123434
0.0508234,15,-22.507369,0.00049297732,-22.506876000000002,-22.123959,0.0003530993,-22.123606
0.0712906,16,-22.507953,0.00076825259,-22.507185,-22.124404000000002,0.00055341298,-22.123851000000002
0.1,17,-22.508902,0.0013160428,-22.507586,-22.12513,0.0009571508099999999,-22.124172
0.140271,18,-22.510436,0.002517982,-22.507918,-22.126306,0.0018587589000000002,-22.124447
0.19676,19,-22.512709,0.0050169201,-22.507692000000002,-22.128044,0.0037772091999999998,-22.124267
0.275997,20,-22.515773,0.0099766128,-22.505796,-22.13035,0.0076917139,-22.122657999999998
0.3871,21,-22.519338,0.019437374,-22.499901,-22.13291,0.015401396999999999,-22.117509
0.5431,22,-22.52225,0.036852078999999996,-22.485398,-22.134619,0.030111567000000002,-22.104507
0.7617,23,-22.521227,0.067749965,-22.453477,-22.132564000000002,0.057179974,-22.075384
1.0685,24,-22.509968,0.12024079,-22.389727,-22.12136,0.10503718,-22.016323
1.4988,25,-22.484641,0.19768826,-22.286953,-22.097487,0.17951117,-21.917976
2.1024,26,-22.448713,0.2910532,-22.157659,-22.063416,0.27383282,-21.789583
2.949,27,-22.404814000000002,0.39255476,-22.012259,-22.021247,0.3765905,-21.644657000000002
4.1366,28,-22.358259,0.4968854,-21.861373999999998,-21.975975,0.48091807,-21.495057
5.8025,29,-22.317253,0.60455996,-21.712692999999998,-21.93563,0.59084275,-21.344787
8.1392,30,-22.289358,0.72343732,-21.565921,-21.90749,0.71811373,-21.189376
11.417,31,-22.285775,0.85960841,-21.426167,-21.902476999999998,0.8703476,-21.032129
16.0147,32,-22.329393,1.0052428,-21.32415,-21.943727,1.0357972,-20.907929
22.464,33,-22.453901000000002,1.1440190000000001,-21.309882,-22.065877,1.1905451,-20.875332
31.5105,34,-22.694494,1.2779041000000002,-21.41659,-22.308159,1.3339041999999999,-20.974254000000002
44.2001,35,-23.105432999999998,1.4145685,-21.690864,-22.734735999999998,1.4732566999999999,-21.261479
62.0,36,-23.757392000000003,1.5351143999999999,-22.222278,-23.441445,1.5938001,-21.847645
85.775,37,-24.614535,1.6190562,-22.995479,-24.412755999999998,1.6787888,-22.733967
