,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.039601762,,
0.000312205,,,1.0,-0.03105505
0.00075015,2.0,-0.043982325999999995,2.0,-0.034513859
0.00105225,3.0,-0.052428594,3.0,-0.0412506
0.001476,4.0,-0.060530692000000004,4.0,-0.047741795
0.0020704,5.0,-0.068301002,5.0,-0.054005124
0.00290415,6.0,-0.075751225,6.0,-0.060053869
0.0040737,7.0,-0.082859059,7.0,-0.065858923
0.00571425,8.0,-0.089619109,8.0,-0.071427066
0.00801545,9.0,-0.096038065,9.0,-0.076736517
0.01124335,10.0,-0.10213876,10.0,-0.081811384
0.01577115,11.0,-0.10806606,11.0,-0.086629925
0.02212235,12.0,-0.11383735,12.0,-0.09122559400000001
0.03103125,13.0,-0.11961642,13.0,-0.095609305
0.04352785,14.0,-0.12534788,14.0,-0.09966427300000001
0.061057,15.0,-0.12727317,15.0,-0.10094148
0.0856453,16.0,-0.1179893,16.0,-0.0945714
0.1201355,17.0,-0.069533891,17.0,-0.057461986
0.1685155,18.0,0.03367677,18.0,0.026894658
0.2363785,19.0,0.20203887,19.0,0.1713258
0.3315485,20.0,0.44792567,20.0,0.391371
0.4651,21.0,0.78481335,21.0,0.70353455
0.6524,22.0,1.2327128,22.0,1.1245513
0.9151,23.0,1.7541467,23.0,1.625225
1.28365,24.0,2.016286,24.0,1.9291842000000001
1.8006,25.0,1.8082796000000003,25.0,1.7954523
2.5257,26.0,1.4498571000000002,26.0,1.4449153000000001
3.5428,27.0,1.0725464,27.0,1.0634046
4.96955,28.0,0.75343238,28.0,0.76133939
6.97085,29.0,0.53024978,29.0,0.56133349
9.7781,30.0,0.35993138,30.0,0.40478966
13.71585,31.0,0.18731415,31.0,0.22825041
19.23935,32.0,0.018676476,32.0,0.042805746
26.98725,33.0,-0.099575753,33.0,-0.09224022300000001
37.8553,34.0,-0.18246384,34.0,-0.19095961
53.10005,35.0,-0.25203095,35.0,-0.27805986
73.8875,36.0,-0.27454327,36.0,-0.31461272
97.6625,37.0,-0.2436096,37.0,-0.28362588
121.4375,38.0,-0.21123828,38.0,-0.24418132
145.2125,39.0,-0.19661569,39.0,-0.22142229
168.9875,40.0,-0.17607911,40.0,-0.19199044
192.7625,41.0,-0.14117688,41.0,-0.15030257
216.5375,42.0,-0.11204049,42.0,-0.11771952
240.3125,43.0,-0.09208521,43.0,-0.095667056
264.0875,44.0,-0.07367463099999999,44.0,-0.07571892200000001
287.8625,45.0,-0.059101024,45.0,-0.060194483
311.6375,46.0,-0.04931803,46.0,-0.049837929
335.4125,47.0,-0.040926028999999996,47.0,-0.041026648
359.1875,48.0,-0.033095125,48.0,-0.032939218
382.9625,49.0,-0.026274909,49.0,-0.025988215
406.7375,50.0,-0.020321902,50.0,-0.019974307
430.5125,51.0,-0.014773538999999999,51.0,-0.01441217
454.2875,52.0,-0.0096219195,52.0,-0.0092871895
478.0625,53.0,-0.0048425132,53.0,-0.0045527455
501.8375,54.0,-0.000418862,54.0,-0.00017592667
525.6125,55.0,0.00380588,55.0,0.0039792447
549.3875,56.0,0.007950298100000001,56.0,0.0080513051
573.1625,57.0,0.012094741,57.0,0.012124728000000001
596.9375,58.0,0.016554483000000002,58.0,0.016495961
620.7125,59.0,0.021188578,59.0,0.021058462000000003
644.4875,60.0,0.025999953,60.0,0.025772647000000003
668.2625,61.0,0.03102003,61.0,0.030666212999999998
692.0375,62.0,0.036228348,62.0,0.035769954
715.8125,63.0,0.041684802,63.0,0.041173632
739.5875,64.0,0.047431115,64.0,0.046971307999999996
763.3625,65.0,0.053435399,65.0,0.053168333
787.1375,66.0,0.059655395,66.0,0.059789317
810.9125,67.0,0.066092281,67.0,0.066787901
834.6875,68.0,0.072527313,68.0,0.074043577
858.4625,69.0,0.07856197,69.0,0.08118777
882.2375,70.0,0.08407159,70.0,0.088061165
906.0125,71.0,0.089242122,71.0,0.09475807300000001
929.7875,72.0,0.094376498,72.0,0.10147498
953.5625,73.0,0.099696309,73.0,0.1083401
977.3375,74.0,0.10544853,74.0,0.11551533
1001.1125,75.0,0.1120966,75.0,0.12322388
