,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-22.50621,0.0,-22.50621,,,
1e-08,1,,,,-22.123351,1.8474578e-06,-22.123348999999997
0.0006244,2,-22.506215,1.4615756999999998e-06,-22.506213,-22.123354,2.8807878e-06,-22.123351
0.0008759,3,-22.506217000000003,2.1260009e-06,-22.506215,-22.123356,3.3501672e-06,-22.123353
0.0012286,4,-22.506220000000003,3.2758713e-06,-22.506217000000003,-22.123358,4.1626657e-06,-22.123354
0.0017234,5,-22.506225,5.2090459e-06,-22.506220000000003,-22.123363,5.5299911e-06,-22.123357000000002
0.0024174,6,-22.506234,8.3868075e-06,-22.506226,-22.123369,7.779610800000001e-06,-22.123361
0.0033909,7,-22.506248,1.3524884999999999e-05,-22.506235,-22.123379999999997,1.1419739e-05,-22.123368
0.0047565,8,-22.50627,2.1723136e-05,-22.506248,-22.123396,1.7232262e-05,-22.123379
0.006672,9,-22.506303,3.4664182000000003e-05,-22.506268,-22.123422,2.6412813999999997e-05,-22.123395000000002
0.0093589,10,-22.506354,5.4913455000000006e-05,-22.506299,-22.12346,4.0787309e-05,-22.12342
0.0131278,11,-22.506431,8.635592e-05,-22.506345,-22.123519,6.3124198e-05,-22.123456
0.0184145,12,-22.506547,0.00013480916000000001,-22.506412,-22.123607999999997,9.7625476e-05,-22.12351
0.0258302,13,-22.506721,0.00020900631999999997,-22.506512,-22.123741,0.00015061251,-22.123591
0.0362323,14,-22.506982,0.00032193211,-22.50666,-22.12394,0.00023161208,-22.123707999999997
0.0508234,15,-22.507369,0.00049297732,-22.506876000000002,-22.124236,0.00035502566,-22.123881
0.0712906,16,-22.507953,0.00076825259,-22.507185,-22.124681,0.00055533477,-22.124125
0.1,17,-22.508902,0.0013160428,-22.507586,-22.125405999999998,0.0009590648199999999,-22.124447
0.140271,18,-22.510436,0.002517982,-22.507918,-22.126582,0.0018608671,-22.124720999999997
0.19676,19,-22.512709,0.0050169201,-22.507692000000002,-22.128321,0.0037792923999999998,-22.124541
0.275997,20,-22.515773,0.0099766128,-22.505796,-22.130627,0.0076937574,-22.122933
0.3871,21,-22.519338,0.019437374,-22.499901,-22.133186,0.015404418000000001,-22.117782000000002
0.5431,22,-22.52225,0.036852078999999996,-22.485398,-22.134894,0.03011496,-22.104779999999998
0.7617,23,-22.521227,0.067749965,-22.453477,-22.132839999999998,0.057183324,-22.075657
1.0685,24,-22.509968,0.12024079,-22.389727,-22.121631,0.10504564,-22.016585
1.4988,25,-22.484641,0.19768826,-22.286953,-22.097759,0.17951829,-21.918241000000002
2.1024,26,-22.448713,0.2910532,-22.157659,-22.06369,0.27383835,-21.789851000000002
2.949,27,-22.404814000000002,0.39255476,-22.012259,-22.021526,0.37659462,-21.644932
4.1366,28,-22.358259,0.4968854,-21.861373999999998,-21.976248000000002,0.48093126,-21.495317
5.8025,29,-22.317253,0.60455996,-21.712692999999998,-21.935910999999997,0.59085059,-21.34506
8.1392,30,-22.289358,0.72343732,-21.565921,-21.907788,0.71811979,-21.189668
11.417,31,-22.285775,0.85960841,-21.426167,-21.902832999999998,0.87035277,-21.03248
16.0147,32,-22.329393,1.0052428,-21.32415,-21.944055,1.035899,-20.908155999999998
22.464,33,-22.453901000000002,1.1440190000000001,-21.309882,-22.06616,1.1907098,-20.87545
31.5105,34,-22.694494,1.2779041000000002,-21.41659,-22.308408,1.3341009,-20.974307
44.2001,35,-23.105432999999998,1.4145685,-21.690864,-22.734885000000002,1.4735029,-21.261382
62.0,36,-23.757392000000003,1.5351143999999999,-22.222278,-23.441686999999998,1.5939481000000002,-21.847739
85.775,37,-24.614535,1.6190562,-22.995479,-24.41292,1.6790397000000001,-22.73388
