,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.18008439,1,0.42873868
0.00075015,2,0.015081823000000001,2,0.04490625
0.00105225,3,0.013385808999999999,3,0.0051768382
0.001476,4,0.0081436676,4,-0.011778611999999999
0.0020704,5,0.00224338,5,-0.021385951
0.00290415,6,-0.0036438625,6,-0.021001966
0.0040737,7,-0.0096134202,7,-0.021947532000000002
0.00571425,8,-0.015744955,8,-0.019496604
0.00801545,9,-0.022025267999999997,9,-0.020057879
0.01124335,10,-0.028381554,10,-0.020047541999999998
0.01577115,11,-0.03480363,11,-0.022592431
0.02212235,12,-0.041502974,12,-0.028197447999999996
0.03103125,13,-0.049329530999999996,13,-0.037423141
0.04352785,14,-0.062630459,14,-0.055807995
0.061057,15,-0.078515656,15,-0.075392897
0.0856453,16,-0.08425097699999999,16,-0.075916167
0.1201355,17,-0.07914101700000001,17,-0.05778553
0.1685155,18,-0.072538525,18,-0.041231616
0.2363785,19,-0.057886522999999995,19,-0.028758781
0.3315485,20,-0.028319501,20,-0.012270765
0.4651,21,0.028157174,21,0.028794342999999997
0.6524,22,0.15788506,22,0.14938954
0.9151,23,0.36464516,23,0.34914327
1.28365,24,0.3647313,24,0.37856512
1.8006,25,0.2049006,25,0.25930398
2.5257,26,0.11015232,26,0.15276988
3.5428,27,0.05890770099999999,27,0.066919777
4.96955,28,0.029409138999999997,28,0.015770403
6.97085,29,0.013909952,29,0.006836556800000001
9.7781,30,0.00581986,30,0.011585531999999999
13.71585,31,0.00090578645,31,0.0082615286
19.23935,32,-0.0016902147,32,0.0013511093
26.98725,33,-0.0016268704,33,-0.0022510054
37.8553,34,-0.0008984881199999999,34,-0.0016921184
53.10005,35,-0.0010140715,35,-0.0011226831
73.8875,36,-0.0015099372000000001,36,-0.0015554191
97.6625,37,-0.0017326058,37,-0.0017881664999999998
121.4375,38,-0.0017929708,38,-0.0018812059
145.2125,39,-0.0023146634,39,-0.0025104557000000002
168.9875,40,-0.0031974142,40,-0.0035136098
192.7625,41,-0.0036641243,41,-0.0040331472
216.5375,42,-0.0034355718,42,-0.0038842199
240.3125,43,-0.0033371686,43,-0.0038649086
264.0875,44,-0.0033552507,44,-0.0039970816
287.8625,45,-0.0034219276,45,-0.0039956713
311.6375,46,-0.0034285786,46,-0.0038547285999999997
335.4125,47,-0.003280452,47,-0.0035050787
359.1875,48,-0.0029676321999999996,48,-0.0032563196000000003
382.9625,49,-0.0024837746,49,-0.0029631809000000005
406.7375,50,-0.0018225444,50,-0.0025551142000000003
430.5125,51,-0.0010112,51,-0.0019174937
454.2875,52,-0.00010358545,52,-0.0011427886
478.0625,53,0.00090488648,53,0.00013105961999999998
501.8375,54,0.0020352656,54,0.0014957569
525.6125,55,0.0033147942,55,0.0031037835
549.3875,56,0.0047813845,56,0.0048947133
573.1625,57,0.0064894379000000006,57,0.006832029399999999
596.9375,58,0.0087141617,58,0.0091195145
620.7125,59,0.010994071000000001,59,0.011200363999999999
644.4875,60,0.013256522,60,0.012853695
668.2625,61,0.015539355,61,0.0141228
692.0375,62,0.017865365,62,0.014723696000000001
715.8125,63,0.02028947,63,0.015979858
739.5875,64,0.022880419,64,0.017625624
763.3625,65,0.025732295,65,0.01975295
787.1375,66,0.028974652000000004,66,0.023546291
810.9125,67,0.032553869,67,0.027839682999999997
834.6875,68,0.035899653999999996,68,0.031996167
858.4625,69,0.038137755,69,0.036358777
882.2375,70,0.039025327,70,0.038613733
906.0125,71,0.039294487999999995,71,0.040417676
929.7875,72,0.039826401000000004,72,0.042615447
953.5625,73,0.04120373,73,0.044261203
977.3375,74,0.044250982,74,0.048435254000000004
1001.1125,75,0.059321814,75,0.064073682
