,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-23.337989,0.0,-23.337989,-22.92877,2.2141391e-09,-22.92877
0.0006244,2,-23.338009,6.6906397e-05,-23.337942,-22.928791,4.7655795e-05,-22.928743
0.0008759,3,-23.338017,9.3463729e-05,-23.337923999999997,-22.928798999999998,6.6971227e-05,-22.928732
0.0012286,4,-23.338028,0.00013098042,-23.337897,-22.928811,9.4587721e-05,-22.928716
0.0017234,5,-23.338043,0.00018383443,-23.33786,-22.928827,0.00013409132,-22.928693
0.0024174,6,-23.338064000000003,0.00025782634,-23.337806,-22.928849,0.00019046828999999999,-22.928659
0.0033909,7,-23.338092,0.00036064474,-23.337732,-22.92888,0.00027073735,-22.928608999999998
0.0047565,8,-23.338131,0.00050215816,-23.337629,-22.928923,0.00038457845999999995,-22.928538
0.006672,9,-23.338184,0.00069460616,-23.33749,-22.928981,0.00054522641,-22.928435999999998
0.0093589,10,-23.338258,0.0009524994400000001,-23.337304999999997,-22.929063,0.0007702362400000001,-22.928293
0.0131278,11,-23.33836,0.001291935,-23.337068,-22.929178,0.001082385,-22.928096
0.0184145,12,-23.338504999999998,0.0017292228,-23.336775,-22.929341,0.0015094960000000001,-22.927832000000002
0.0258302,13,-23.338712,0.0022787782,-23.336433,-22.929577,0.0020822899,-22.927494
0.0362323,14,-23.339018,0.0029507337,-23.336067,-22.929925,0.0028298795,-22.927095
0.0508234,15,-23.339495,0.0037511127000000003,-23.335743,-22.930459,0.0037713903999999996,-22.926688000000002
0.0712906,16,-23.340253,0.0047571592,-23.335496,-22.931281,0.004974269,-22.926307
0.1,17,-23.34137,0.006263171,-23.335107,-22.932463000000002,0.0066926565000000006,-22.92577
0.140271,18,-23.342874,0.0086496622,-23.334225,-22.934029000000002,0.009246251,-22.924782999999998
0.19676,19,-23.344838,0.012182499,-23.332655,-22.93604,0.012754973000000001,-22.923285
0.275997,20,-23.347307999999998,0.017265865,-23.330043,-22.938527,0.017395406000000002,-22.921131
0.3871,21,-23.350217,0.024645922,-23.325572,-22.941403,0.023867512999999996,-22.917535
0.5431,22,-23.353148,0.035769996,-23.317378,-22.944226999999998,0.033871227999999996,-22.910356
0.7617,23,-23.354245000000002,0.053240604000000004,-23.301004000000002,-22.945106,0.050431287000000005,-22.894675
1.0685,24,-23.349179,0.079356417,-23.269822,-22.939871,0.075975436,-22.863896
1.4988,25,-23.337125,0.11013007,-23.226995000000002,-22.927815,0.10649849,-22.821316
2.1024,26,-23.321960999999998,0.14039774,-23.181563,-22.91249,0.13691943,-22.775571
2.949,27,-23.305106,0.17097453,-23.134132,-22.895217000000002,0.16818944,-22.727028
4.1366,28,-23.28698,0.20312298,-23.083857000000002,-22.876226000000003,0.20190597,-22.67432
5.8025,29,-23.268012,0.23779768,-23.030214,-22.85585,0.23776281,-22.618088
8.1392,30,-23.248264000000002,0.2761448,-22.972119,-22.833876999999998,0.27552624,-22.55835
11.417,31,-23.2277,0.3189066,-22.908794,-22.810195,0.31455227,-22.495642
16.0147,32,-23.207769,0.36557041,-22.842198,-22.786294,0.35292244,-22.433370999999998
22.464,33,-23.192560999999998,0.41621099,-22.77635,-22.767055,0.38886491,-22.37819
31.5105,34,-23.185062,0.47626636,-22.708795000000002,-22.756118,0.43371047,-22.322408
44.2001,35,-23.186272,0.55350981,-22.632762,-22.754585000000002,0.50503723,-22.249548
62.0,36,-23.204193,0.65111391,-22.553079,-22.771375,0.60807642,-22.163299
85.775,37,-23.255751,0.76929288,-22.486458,-22.825204,0.73862394,-22.086579999999998
109.55,38,-23.33077,0.88671633,-22.444054,-22.905874,0.86646804,-22.039406
133.325,39,-23.424070999999998,1.0096401,-22.414431,-23.0082,0.99706061,-22.011139
