,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.90962658,1,0.63722896
0.00075015,2,0.89422481,2,0.64350062
0.00105225,3,0.91080913,3,0.6648525
0.001476,4,0.92356936,4,0.68668282
0.0020704,5,0.9292895,5,0.70644027
0.00290415,6,0.9258473,6,0.72347417
0.0040737,7,0.91083811,7,0.73589427
0.00571425,8,0.88213059,8,0.74219116
0.00801545,9,0.83741324,9,0.7391555
0.01124335,10,0.7748509,10,0.72385027
0.01577115,11,0.6934187,11,0.69130507
0.02212235,12,0.59289592,12,0.63569713
0.03103125,13,0.47349739,13,0.55115144
0.04352785,14,0.33400987,14,0.43220594
0.061057,15,0.2286472,15,0.32605148
0.0856453,16,0.24704203,16,0.31323012
0.1201355,17,0.34053372,17,0.35559117
0.1685155,18,0.41359785,18,0.37439899
0.2363785,19,0.48607515,19,0.40670932
0.3315485,20,0.58304238,20,0.49851393
0.4651,21,0.72380894,21,0.66120313
0.6524,22,0.94549966,22,0.9051025
0.9151,23,1.1892893,23,1.1401343000000002
1.28365,24,1.1526018,24,1.1012813
1.8006,25,0.90399663,25,0.87910346
2.5257,26,0.70056714,26,0.70553488
3.5428,27,0.54806942,27,0.57930534
4.96955,28,0.42995632,28,0.46559729
6.97085,29,0.34142094,29,0.36908236
9.7781,30,0.27305805,30,0.28742306
13.71585,31,0.21297528,31,0.21547142
19.23935,32,0.159243,32,0.15108236
26.98725,33,0.12296685,33,0.11575337
37.8553,34,0.10141326,34,0.10402595
53.10005,35,0.079307045,35,0.08812849
73.8875,36,0.05542756099999999,36,0.06359563900000001
97.6625,37,0.040579842000000005,37,0.045273078
121.4375,38,0.032646042,38,0.034705109
145.2125,39,0.018537681,39,0.018598879
168.9875,40,0.0032809158,40,0.0019189914999999998
192.7625,41,0.0075165188,41,0.0058091685
216.5375,42,0.034314727,42,0.032271233999999996
240.3125,43,0.064090387,43,0.060616069
264.0875,44,0.094162497,44,0.088316571
287.8625,45,0.12315592,45,0.11459666
311.6375,46,0.14134989,46,0.13285174
335.4125,47,0.15668921,47,0.14932843
359.1875,48,0.1726351,48,0.16437364
382.9625,49,0.18876921,49,0.17806094
406.7375,50,0.20473117,50,0.19219679
430.5125,51,0.22010946,51,0.20773343
454.2875,52,0.23212606,52,0.22113875
478.0625,53,0.24236741,53,0.2322753
501.8375,54,0.2520045,54,0.24114355
525.6125,55,0.26100253,55,0.24869092
549.3875,56,0.26933052,56,0.25557233
573.1625,57,0.27711997,57,0.26274476
596.9375,58,0.29228241,58,0.27753594
620.7125,59,0.30448306,59,0.29090912
644.4875,60,0.31168643,60,0.30069383
668.2625,61,0.31422048,61,0.30628314
692.0375,62,0.31227311,62,0.30710132
715.8125,63,0.30654702,63,0.30478027
739.5875,64,0.29779567,64,0.30025176
763.3625,65,0.2868401,65,0.29423628
787.1375,66,0.27463515,66,0.28743737
810.9125,67,0.26141074,67,0.27898255
834.6875,68,0.2458138,68,0.26625398
858.4625,69,0.22593125,69,0.24742755
882.2375,70,0.20217263,70,0.22251298
906.0125,71,0.17778112,71,0.19585654
929.7875,72,0.15601866,72,0.17159
953.5625,73,0.13892626,73,0.15206163
977.3375,74,0.12946956,74,0.14141807
1001.1125,75,0.15410386,75,0.16333892
