,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-23.740829,0.0,-23.740829,-23.933988,4.4717522000000004e-08,-23.933988
0.0006244,2,-23.740855,9.340434e-05,-23.740762,-23.934012,7.0933586e-05,-23.933941
0.0008759,3,-23.740866,0.00013051727,-23.740735,-23.934020999999998,9.962091000000001e-05,-23.933920999999998
0.0012286,4,-23.740879999999997,0.00018293782,-23.740697,-23.934034,0.00014052103000000002,-23.933894
0.0017234,5,-23.7409,0.00025675578,-23.740643,-23.934051999999998,0.00019884142,-23.933853
0.0024174,6,-23.740927,0.00036012694,-23.740566,-23.934077,0.00028180843999999996,-23.933795
0.0033909,7,-23.740964,0.00050387992,-23.740460000000002,-23.934110999999998,0.00039953072999999995,-23.933712
0.0047565,8,-23.741014,0.0007020224000000001,-23.740312,-23.934159,0.00056589745,-23.933593
0.006672,9,-23.741084,0.0009721373699999999,-23.740112,-23.934224,0.00079973402,-23.933424
0.0093589,10,-23.741181,0.0013354195000000002,-23.739846,-23.934314999999998,0.0011258553,-23.933189000000002
0.0131278,11,-23.741316,0.0018160028,-23.7395,-23.934442,0.0015760184,-23.932866
0.0184145,12,-23.741505,0.0024395108,-23.739066,-23.934621,0.0021884848,-23.932433
0.0258302,13,-23.741775,0.0032304922,-23.738545000000002,-23.934879000000002,0.0030046441,-23.931874
0.0362323,14,-23.742171,0.0042096434,-23.737961,-23.935257999999997,0.0040624417,-23.931195000000002
0.0508234,15,-23.742778,0.005394283000000001,-23.737384,-23.935834,0.0053855532,-23.930448000000002
0.0712906,16,-23.743724,0.0068944824,-23.736829999999998,-23.936711,0.0070531324,-23.929658
0.1,17,-23.74509,0.0091006158,-23.735989,-23.93795,0.0093574208,-23.928592000000002
0.140271,18,-23.746894,0.01252946,-23.734365,-23.939554,0.012658215,-23.926896
0.19676,19,-23.749197,0.017599844,-23.731597,-23.941554,0.017163463,-23.92439
0.275997,20,-23.752011,0.024976145,-23.727035,-23.943929,0.023356881,-23.920572
0.3871,21,-23.755185,0.035823243,-23.719362,-23.946499,0.032488685,-23.914011
0.5431,22,-23.758126,0.052140002000000005,-23.705986,-23.948667999999998,0.046876679000000004,-23.901791
0.7617,23,-23.758612,0.077109648,-23.681503,-23.948396,0.070045031,-23.878351000000002
1.0685,24,-23.751732,0.11345176,-23.638281,-23.941526,0.10461485,-23.836910999999997
1.4988,25,-23.736432,0.15690181,-23.57953,-23.927197,0.14642623,-23.780770999999998
2.1024,26,-23.716927,0.20203326,-23.514894,-23.908785,0.19087699,-23.717907999999998
2.949,27,-23.694775,0.25013792,-23.444637,-23.887539999999998,0.24039493,-23.647145000000002
4.1366,28,-23.670445,0.30291,-23.367535,-23.863649,0.2980082,-23.56564
5.8025,29,-23.644477,0.36178924,-23.282688,-23.837505,0.36375399,-23.473751
8.1392,30,-23.616999,0.42881601,-23.188183,-23.808961,0.43738236,-23.371579
11.417,31,-23.588078,0.50591719,-23.082160000000002,-23.778087,0.51812029,-23.259967
16.0147,32,-23.559838,0.59367016,-22.966168,-23.747052,0.60444952,-23.142603
22.464,33,-23.53804,0.69352887,-22.844511999999998,-23.722378,0.69520855,-23.027169
31.5105,34,-23.527061,0.81432386,-22.712738,-23.709270999999998,0.80615909,-22.903112
44.2001,35,-23.528709,0.96841298,-22.560295999999997,-23.70995,0.96322314,-22.746727
62.0,36,-23.554579,1.1615043999999999,-22.393075,-23.737012,1.1761252,-22.560887
85.775,37,-23.628277,1.3913033000000001,-22.236973000000003,-23.815503,1.4337399,-22.381763
109.55,38,-23.733797,1.6111095,-22.122688,-23.928204,1.6739581000000001,-22.254246
133.325,39,-23.862725,1.831979,-22.030746,-24.066244,1.9097485,-22.156495
