,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.040203111,1,-0.031193144
0.00075015,2,-0.044581552,2,-0.034636584
0.00105225,3,-0.053023147,3,-0.041365509
0.001476,4,-0.061119884000000006,4,-0.047836197000000004
0.0020704,5,-0.068884023,5,-0.054096609000000004
0.00290415,6,-0.076327308,6,-0.060117018
0.0040737,7,-0.083427365,7,-0.065926214
0.00571425,8,-0.090178947,8,-0.071455876
0.00801545,9,-0.096588774,9,-0.07677898
0.01124335,10,-0.10267964,10,-0.08180419400000001
0.01577115,11,-0.10859659,11,-0.086602266
0.02212235,12,-0.11435672,12,-0.09118766199999999
0.03103125,13,-0.12012414,13,-0.095540054
0.04352785,14,-0.12584207,14,-0.09959708699999999
0.061057,15,-0.12772967,15,-0.10078348
0.0856453,16,-0.1182738,16,-0.09418261900000001
0.1201355,17,-0.06935904,17,-0.056648965999999995
0.1685155,18,0.034706721,18,0.028635932000000003
0.2363785,19,0.20451267,19,0.17437608
0.3315485,20,0.45270634,20,0.39623879
0.4651,21,0.79311431,21,0.7114833
0.6524,22,1.2461981000000002,22,1.1372581
0.9151,23,1.7731801,23,1.6427444
1.28365,24,2.0352826,24,1.9475523000000001
1.8006,25,1.8222307,25,1.8101398000000002
2.5257,26,1.4593993,26,1.4560276
3.5428,27,1.0791621999999998,27,1.071612
4.96955,28,0.75823788,28,0.76773589
6.97085,29,0.5340843,29,0.5664483
9.7781,30,0.36334836,30,0.40926236
13.71585,31,0.19053805,31,0.2319234
19.23935,32,0.021715819,32,0.046253685999999995
26.98725,33,-0.096629873,33,-0.08881207099999999
37.8553,34,-0.17944343,34,-0.18738108
53.10005,35,-0.24901103,35,-0.27412711
73.8875,36,-0.27186527,36,-0.31117724
97.6625,37,-0.24149414,37,-0.2809532
121.4375,38,-0.20956224,38,-0.24218005
145.2125,39,-0.19519664,39,-0.2198303
168.9875,40,-0.17496544,40,-0.19083234
192.7625,41,-0.14047304,41,-0.14969187
216.5375,42,-0.11164402,42,-0.11759698
240.3125,43,-0.09188452800000001,43,-0.095851006
264.0875,44,-0.073657165,44,-0.076175421
287.8625,45,-0.059203853,45,-0.060828709
311.6375,46,-0.04944168400000001,46,-0.050550364
335.4125,47,-0.041021321,47,-0.04169508
359.1875,48,-0.033124666000000004,48,-0.033536658
382.9625,49,-0.026186991,49,-0.02645376
406.7375,50,-0.020065235,50,-0.020233038999999998
430.5125,51,-0.01431106,51,-0.014409275
454.2875,52,-0.008920785300000001,52,-0.0089850824
478.0625,53,-0.0038728940000000004,53,-0.0038914354999999997
501.8375,54,0.00085218689,54,0.0008867165199999998
525.6125,55,0.0054099976,55,0.0054745702
549.3875,56,0.0099173782,56,0.010021208
573.1625,57,0.014456209,57,0.014616932
596.9375,58,0.019337688000000002,58,0.019555968
620.7125,59,0.02442125,59,0.024730502999999997
644.4875,60,0.029710097,60,0.030077367
668.2625,61,0.035234732000000005,61,0.035627619
692.0375,62,0.040975804,62,0.041411745
715.8125,63,0.046993393,63,0.047555405
739.5875,64,0.053328155,64,0.054112247
763.3625,65,0.059946782000000004,65,0.061086826
787.1375,66,0.066799384,66,0.068510751
810.9125,67,0.07386321,67,0.076271146
834.6875,68,0.08087931799999999,68,0.08420083699999999
858.4625,69,0.08741161900000001,69,0.09197546699999999
882.2375,70,0.093327571,70,0.09934650099999999
906.0125,71,0.098843105,71,0.10646241
929.7875,72,0.10430199,72,0.11355627
953.5625,73,0.10995678,73,0.12073951
977.3375,74,0.11607532,74,0.12828829
1001.1125,75,0.12314439,75,0.13638463
