,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-22.302118,0.0,-22.302118,-21.900354,-5.3231931000000004e-08,-21.900354
0.0006244,2,-22.302122,1.4887458999999999e-06,-22.302121,-21.900357999999997,1.0006789000000001e-06,-21.900357
0.0008759,3,-22.302124,2.1643184e-06,-22.302122,-21.900358999999998,1.4786441000000002e-06,-21.900357999999997
0.0012286,4,-22.302128,3.3304435999999997e-06,-22.302124,-21.900362,2.3035438e-06,-21.900358999999998
0.0017234,5,-22.302132999999998,5.2873805e-06,-22.302128,-21.900366,3.6891586e-06,-21.900362
0.0024174,6,-22.302142,8.4998687e-06,-22.302134,-21.900373000000002,5.9649511e-06,-21.900367000000003
0.0033909,7,-22.302156,1.3688695e-05,-22.302142,-21.900382999999998,9.6439879e-06,-21.900374
0.0047565,8,-22.302178,2.1961102e-05,-22.302156,-21.9004,1.5511531e-05,-21.900384
0.006672,9,-22.302211,3.5010483e-05,-22.302176,-21.900425,2.4774708999999996e-05,-21.900401000000002
0.0093589,10,-22.302263,5.5418013e-05,-22.302207,-21.900464000000003,3.9264432000000004e-05,-21.900425
0.0131278,11,-22.30234,8.7091624e-05,-22.302253,-21.900523,6.177659800000001e-05,-21.900461
0.0184145,12,-22.302457,0.00013588243,-22.302321,-21.900612,9.6535022e-05,-21.900516
0.0258302,13,-22.302632,0.00021057252,-22.302421,-21.900745999999998,0.00014989341,-21.900596
0.0362323,14,-22.302894000000002,0.000324218,-22.302569000000002,-21.900945,0.00023144122999999998,-21.900714
0.0508234,15,-22.303283,0.00049631658,-22.302787,-21.901241,0.00035563288999999995,-21.900886
0.0712906,16,-22.30387,0.00077325867,-22.303097,-21.901687,0.00055720598,-21.90113
0.1,17,-22.304823000000003,0.0013242785,-22.303499,-21.902414,0.0009633717100000001,-21.90145
0.140271,18,-22.306363,0.0025332711999999998,-22.303829999999998,-21.903591,0.0018702414,-21.901721
0.19676,19,-22.308645000000002,0.0050474914000000004,-22.303598,-21.905329000000002,0.0037999901,-21.901529
0.275997,20,-22.311718,0.010039693,-22.301678,-21.907631,0.0077383566,-21.899892
0.3871,21,-22.315288,0.019568201,-22.295720000000003,-21.910173999999998,0.015497621000000001,-21.894676999999998
0.5431,22,-22.318185,0.037120965,-22.281064,-21.911838,0.030310333999999998,-21.881528
0.7617,23,-22.317086,0.068291796,-22.248794,-21.909670000000002,0.057594499,-21.852076
1.0685,24,-22.305616,0.12126482,-22.184352,-21.898225,0.10585731,-21.792368
1.4988,25,-22.279942000000002,0.19933258,-22.080609,-21.873986,0.18089892,-21.693087
2.1024,26,-22.243601,0.29328262,-21.950318,-21.839482999999998,0.27583594,-21.563647
2.949,27,-22.199233,0.39527188,-21.803960999999997,-21.796818,0.37920494,-21.417613
4.1366,28,-22.152129000000002,0.49998385,-21.652145,-21.750958999999998,0.48411533,-21.266842999999998
5.8025,29,-22.11046,0.60794436,-21.502516,-21.709904,0.59457992,-21.115323999999998
8.1392,30,-22.081718,0.7270353,-21.354682,-21.680854,0.72233747,-20.958516
11.417,31,-22.076971,0.8633696,-21.213601999999998,-21.674582,0.87499073,-20.799592
16.0147,32,-22.118961,1.0091324000000002,-21.109829,-21.714041,1.0407743,-20.673266
22.464,33,-22.241260999999998,1.1480216,-21.093239,-21.833699,1.1957723,-20.637926
31.5105,34,-22.478831,1.282041,-21.19679,-22.072441,1.3393321000000002,-20.733109
44.2001,35,-22.885423,1.4188992,-21.466524,-22.493689,1.4788847999999999,-21.014805
62.0,36,-23.531289,1.5397186,-21.99157,-23.192543,1.5996751,-21.592868
85.775,37,-24.381261,1.6240322,-22.757229000000002,-24.154345000000003,1.6850121,-22.469333
