,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.039931138,1,-0.011984906000000002
0.00075015,2,-0.039678933,2,-0.011834447
0.00105225,3,-0.039109582999999996,3,-0.011466833000000001
0.001476,4,-0.03849646,4,-0.011082835
0.0020704,5,-0.037875866,5,-0.01070926
0.00290415,6,-0.037260421,6,-0.01031221
0.0040737,7,-0.036674595,7,-0.009923815899999999
0.00571425,8,-0.036095742,8,-0.009511224799999999
0.00801545,9,-0.035556904,9,-0.0091089464
0.01124335,10,-0.035064087,10,-0.008682158399999999
0.01577115,11,-0.034641862,11,-0.008254000899999999
0.02212235,12,-0.034325962,12,-0.007828326600000001
0.03103125,13,-0.034163786,13,-0.0073900578000000005
0.04352785,14,-0.034170346000000004,14,-0.0069343405
0.061057,15,-0.032778187,15,-0.0054561114
0.0856453,16,-0.026665062000000003,16,-0.0009375831599999999
0.1201355,17,-0.015455911999999999,17,0.0069010274
0.1685155,18,-0.0011264595,18,0.017074209
0.2363785,19,0.016691328000000002,19,0.029898616
0.3315485,20,0.038743504,20,0.045953968
0.4651,21,0.065972726,21,0.065981785
0.6524,22,0.09968091,22,0.090668717
0.9151,23,0.13071779,23,0.11387398
1.28365,24,0.12759606,24,0.11549877
1.8006,25,0.09462503900000001,25,0.096174434
2.5257,26,0.063201343,26,0.07410504700000001
3.5428,27,0.040389445,27,0.054376928
4.96955,28,0.025535241,28,0.037980451
6.97085,29,0.016883895,29,0.025234927
9.7781,30,0.011843238999999998,30,0.015649657
13.71585,31,0.008113184,31,0.0083313311
19.23935,32,0.0048212815999999995,32,0.0029165234999999996
26.98725,33,0.0024498053,33,-0.0005657791700000001
37.8553,34,0.00066513737,34,-0.0030282996
53.10005,35,-0.0017297235999999998,35,-0.0059391585
73.8875,36,-0.0048777457,36,-0.009624119
97.6625,37,-0.0076799623,37,-0.01297065
121.4375,38,-0.010062651,38,-0.015710455
145.2125,39,-0.013015565,39,-0.018431534
168.9875,40,-0.015923461,40,-0.020631813
192.7625,41,-0.016836173,41,-0.021096577000000002
216.5375,42,-0.014859329,42,-0.019231974
240.3125,43,-0.010952461,43,-0.01547762
264.0875,44,-0.0057211726,44,-0.010078746999999999
287.8625,45,0.00036251134,45,-0.0027764955
311.6375,46,0.0053930335999999995,46,0.0022352126999999997
335.4125,47,0.011258681999999999,47,0.007321769200000001
359.1875,48,0.018639243,48,0.014648428
382.9625,49,0.027267167000000002,49,0.023988644
406.7375,50,0.036910198,50,0.034032442
430.5125,51,0.047206937000000004,51,0.043819127
454.2875,52,0.056929955,52,0.052302095
478.0625,53,0.06661253,53,0.061409403
501.8375,54,0.07661173,54,0.07175411799999999
525.6125,55,0.08680991800000001,55,0.083484277
549.3875,56,0.097174982,56,0.095802612
573.1625,57,0.10789116,57,0.10806744
596.9375,58,0.12268527,58,0.12353438
620.7125,59,0.13570441,59,0.13622136
644.4875,60,0.14599774,60,0.14552842
668.2625,61,0.15395733,61,0.15278122
692.0375,62,0.15986912,62,0.15872181
715.8125,63,0.16429027,63,0.16589364
739.5875,64,0.16777166,64,0.1734491
763.3625,65,0.17087177,65,0.18044546
787.1375,66,0.17420114,66,0.1876889
810.9125,67,0.1776933,67,0.19303242
834.6875,68,0.17967193,68,0.19498972
858.4625,69,0.17770779,69,0.19367728
882.2375,70,0.17151968,70,0.18682397
906.0125,71,0.16381384,71,0.17902074
929.7875,72,0.15753567,72,0.17364151
953.5625,73,0.15452933,73,0.1709471
977.3375,74,0.1574087,74,0.17658488
1001.1125,75,0.19581319,75,0.21448128
