,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-14.443847,0.0,-14.443847,-14.715174,8.918965199999999e-08,-14.715174
0.0006244,2,-14.443851,1.0440769e-06,-14.44385,-14.715176000000001,6.8641419e-07,-14.715175
0.0008759,3,-14.443852,1.469023e-06,-14.443851,-14.715176000000001,9.306011399999999e-07,-14.715175
0.0012286,4,-14.443855,2.0782668e-06,-14.443853,-14.715176999999999,1.2811715e-06,-14.715176000000001
0.0017234,5,-14.443857999999999,2.9531311e-06,-14.443855,-14.715178,1.7841796000000001e-06,-14.715176000000001
0.0024174,6,-14.443862,4.2090961e-06,-14.443857999999999,-14.715179999999998,2.5051764e-06,-14.715176999999999
0.0033909,7,-14.443868,6.0118687e-06,-14.443862,-14.715182,3.5399327999999997e-06,-14.715178
0.0047565,8,-14.443876999999999,8.5944865e-06,-14.443868,-14.715185,5.0239167e-06,-14.715179999999998
0.006672,9,-14.443889000000002,1.2292815000000001e-05,-14.443876000000001,-14.715189,7.1540982e-06,-14.715182
0.0093589,10,-14.443904999999999,1.758362e-05,-14.443888000000001,-14.715195000000001,1.0209121e-05,-14.715185
0.0131278,11,-14.443928,2.5143355e-05,-14.443903,-14.715204,1.459471e-05,-14.715189
0.0184145,12,-14.443960999999998,3.5927696e-05,-14.443925,-14.715214999999999,2.0887921e-05,-14.715194
0.0258302,13,-14.444006,5.1282073e-05,-14.443954999999999,-14.715231,2.9913305e-05,-14.715201
0.0362323,14,-14.444070000000002,7.3088508e-05,-14.443997,-14.715253,4.2860882e-05,-14.71521
0.0508234,15,-14.44416,0.00010400954,-14.444056,-14.715284,6.1448777e-05,-14.715222
0.0712906,16,-14.444285999999998,0.00014989618999999998,-14.444135999999999,-14.715325,8.943094199999999e-05,-14.715235
0.1,17,-14.444453,0.00022663926,-14.444227,-14.715375,0.00013675643999999998,-14.715238000000001
0.140271,18,-14.444664999999999,0.00036431933,-14.4443,-14.715428,0.00022260548999999998,-14.715206
0.19676,19,-14.444917000000002,0.00060956246,-14.444308,-14.715469,0.00037814625,-14.715091000000001
0.275997,20,-14.445192,0.0010411211,-14.444151000000002,-14.715468,0.0006578280800000001,-14.714811
0.3871,21,-14.445432,0.001790715,-14.443641,-14.715361999999999,0.0011567081,-14.714205999999999
0.5431,22,-14.445499,0.0030766232,-14.442422,-14.715028,0.0020416518,-14.712985999999999
0.7617,23,-14.445085,0.005244616999999999,-14.439841,-14.714232999999998,0.0035949653000000004,-14.710638000000001
1.0685,24,-14.443736,0.0086457431,-14.435089999999999,-14.712670999999999,0.0061715889,-14.706498999999999
1.4988,25,-14.441492000000002,0.01290588,-14.428586,-14.710369,0.0097577111,-14.700612
2.1024,26,-14.438920999999999,0.017100673,-14.421821,-14.707698,0.013963459,-14.693734
2.949,27,-14.436283,0.020800421,-14.415482,-14.704851000000001,0.018548731000000002,-14.686302
4.1366,28,-14.4337,0.023899431000000002,-14.4098,-14.701956,0.023305153,-14.678651
5.8025,29,-14.431279,0.026517272,-14.404760999999999,-14.699151,0.027995297000000002,-14.671156
8.1392,30,-14.429086999999999,0.028999537000000002,-14.400088,-14.696584,0.032414074,-14.66417
11.417,31,-14.427244,0.0317549,-14.395489000000001,-14.694512,0.036418977000000005,-14.658093
16.0147,32,-14.426142,0.035071282999999995,-14.391070999999998,-14.693532999999999,0.039978063,-14.653554999999999
22.464,33,-14.426596,0.039208955,-14.387388,-14.694716,0.04338917,-14.651326000000001
31.5105,34,-14.429595,0.044833218,-14.384762,-14.699603,0.047670064000000005,-14.651932999999998
44.2001,35,-14.436584,0.052821234,-14.383761999999999,-14.710735000000001,0.054249491,-14.656485
