,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.039931138,,
0.000312205,,,1.0,-0.011982703
0.00075015,2.0,-0.039678933,2.0,-0.011845786
0.00105225,3.0,-0.039109582999999996,3.0,-0.011469186000000001
0.001476,4.0,-0.03849646,4.0,-0.011092293000000001
0.0020704,5.0,-0.037875866,5.0,-0.010709845
0.00290415,6.0,-0.037260421,6.0,-0.01032113
0.0040737,7.0,-0.036674595,7.0,-0.009922358499999999
0.00571425,8.0,-0.036095742,8.0,-0.0095196847
0.00801545,9.0,-0.035556904,9.0,-0.0091051577
0.01124335,10.0,-0.035064087,10.0,-0.0086896731
0.01577115,11.0,-0.034641862,11.0,-0.0082616901
0.02212235,12.0,-0.034325962,12.0,-0.007833074399999999
0.03103125,13.0,-0.034163786,13.0,-0.0073975525
0.04352785,14.0,-0.034170346000000004,14.0,-0.006935323100000001
0.061057,15.0,-0.032778187,15.0,-0.0054631243
0.0856453,16.0,-0.026665062000000003,16.0,-0.00094349636
0.1201355,17.0,-0.015455911999999999,17.0,0.0069108775
0.1685155,18.0,-0.0011264595,18.0,0.017072641
0.2363785,19.0,0.016691328000000002,19.0,0.029900054
0.3315485,20.0,0.038743504,20.0,0.045975983
0.4651,21.0,0.065972726,21.0,0.065996745
0.6524,22.0,0.09968091,22.0,0.090684956
0.9151,23.0,0.13071779,23.0,0.11391881
1.28365,24.0,0.12759606,24.0,0.11551889
1.8006,25.0,0.09462503900000001,25.0,0.096189914
2.5257,26.0,0.063201343,26.0,0.07411521900000001
3.5428,27.0,0.040389445,27.0,0.054388118
4.96955,28.0,0.025535241,28.0,0.037981971
6.97085,29.0,0.016883895,29.0,0.025233613999999998
9.7781,30.0,0.011843238999999998,30.0,0.015646418
13.71585,31.0,0.008113184,31.0,0.0083403902
19.23935,32.0,0.0048212815999999995,32.0,0.0029236807
26.98725,33.0,0.0024498053,33.0,-0.0005612010900000001
37.8553,34.0,0.00066513737,34.0,-0.0030229244
53.10005,35.0,-0.0017297235999999998,35.0,-0.005942025
73.8875,36.0,-0.0048777457,36.0,-0.0096193185
97.6625,37.0,-0.0076799623,37.0,-0.012967793
121.4375,38.0,-0.010062651,38.0,-0.015708903
145.2125,39.0,-0.013015565,39.0,-0.018429833
168.9875,40.0,-0.015923461,40.0,-0.020637294
192.7625,41.0,-0.016836173,41.0,-0.021102516
216.5375,42.0,-0.014859329,42.0,-0.019227604
240.3125,43.0,-0.010952461,43.0,-0.015484776
264.0875,44.0,-0.0057211726,44.0,-0.010086155
287.8625,45.0,0.00036251134,45.0,-0.0027922606
311.6375,46.0,0.0053930335999999995,46.0,0.0022910682
335.4125,47.0,0.011258681999999999,47.0,0.0073009309
359.1875,48.0,0.018639243,48.0,0.014641224
382.9625,49.0,0.027267167000000002,49.0,0.023993732
406.7375,50.0,0.036910198,50.0,0.034018074
430.5125,51.0,0.047206937000000004,51.0,0.043791232
454.2875,52.0,0.056929955,52.0,0.052374277999999996
478.0625,53.0,0.06661253,53.0,0.061375059
501.8375,54.0,0.07661173,54.0,0.071723201
525.6125,55.0,0.08680991800000001,55.0,0.08348222
549.3875,56.0,0.097174982,56.0,0.09584956
573.1625,57.0,0.10789116,57.0,0.10812407
596.9375,58.0,0.12268527,58.0,0.12356465
620.7125,59.0,0.13570441,59.0,0.13616615
644.4875,60.0,0.14599774,60.0,0.14549128
668.2625,61.0,0.15395733,61.0,0.15266363
692.0375,62.0,0.15986912,62.0,0.15902908
715.8125,63.0,0.16429027,63.0,0.16576078
739.5875,64.0,0.16777166,64.0,0.17336341
763.3625,65.0,0.17087177,65.0,0.18055112
787.1375,66.0,0.17420114,66.0,0.18757115
810.9125,67.0,0.1776933,67.0,0.19280699
834.6875,68.0,0.17967193,68.0,0.19565158
858.4625,69.0,0.17770779,69.0,0.19338578
882.2375,70.0,0.17151968,70.0,0.18674951
906.0125,71.0,0.16381384,71.0,0.17893699
929.7875,72.0,0.15753567,72.0,0.17321779
953.5625,73.0,0.15452933,73.0,0.17167614
977.3375,74.0,0.1574087,74.0,0.17676042
1001.1125,75.0,0.19581319,75.0,0.21440592
