,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-14.443847,0.0,-14.443847,,,
1e-08,1,,,,-14.715276999999999,8.9426643e-08,-14.715276999999999
0.0006244,2,-14.443851,1.0440769e-06,-14.44385,-14.715279,6.8718649e-07,-14.715278
0.0008759,3,-14.443852,1.469023e-06,-14.443851,-14.715279,9.3138094e-07,-14.715279
0.0012286,4,-14.443855,2.0782668e-06,-14.443853,-14.715279999999998,1.2821706e-06,-14.715279
0.0017234,5,-14.443857999999999,2.9531311e-06,-14.443855,-14.715281,1.7852835e-06,-14.715279999999998
0.0024174,6,-14.443862,4.2090961e-06,-14.443857999999999,-14.715283,2.506785e-06,-14.715281
0.0033909,7,-14.443868,6.0118687e-06,-14.443862,-14.715285,3.5417748e-06,-14.715282
0.0047565,8,-14.443876999999999,8.5944865e-06,-14.443868,-14.715288000000001,5.0269179e-06,-14.715283
0.006672,9,-14.443889000000002,1.2292815000000001e-05,-14.443876000000001,-14.715292999999999,7.1576073e-06,-14.715285
0.0093589,10,-14.443904999999999,1.758362e-05,-14.443888000000001,-14.715299,1.0215285000000001e-05,-14.715288000000001
0.0131278,11,-14.443928,2.5143355e-05,-14.443903,-14.715307000000001,1.4602044e-05,-14.715292000000002
0.0184145,12,-14.443960999999998,3.5927696e-05,-14.443925,-14.715318,2.0896891999999998e-05,-14.715297
0.0258302,13,-14.444006,5.1282073e-05,-14.443954999999999,-14.715334,2.9925856e-05,-14.715304000000001
0.0362323,14,-14.444070000000002,7.3088508e-05,-14.443997,-14.715356,4.2876777e-05,-14.715313
0.0508234,15,-14.44416,0.00010400954,-14.444056,-14.715387,6.1474996e-05,-14.715325
0.0712906,16,-14.444285999999998,0.00014989618999999998,-14.444135999999999,-14.715428,8.9464353e-05,-14.715339000000002
0.1,17,-14.444453,0.00022663926,-14.444227,-14.715479,0.00013680197,-14.715342000000001
0.140271,18,-14.444664999999999,0.00036431933,-14.4443,-14.715532000000001,0.00022270569999999998,-14.715309
0.19676,19,-14.444917000000002,0.00060956246,-14.444308,-14.715573000000001,0.00037828515,-14.715195000000001
0.275997,20,-14.445192,0.0010411211,-14.444151000000002,-14.715572,0.0006580356500000001,-14.714914000000002
0.3871,21,-14.445432,0.001790715,-14.443641,-14.715466000000001,0.0011571468,-14.714309
0.5431,22,-14.445499,0.0030766232,-14.442422,-14.715131,0.0020423473,-14.713089000000002
0.7617,23,-14.445085,0.005244616999999999,-14.439841,-14.714336999999999,0.0035960320000000003,-14.710741
1.0685,24,-14.443736,0.0086457431,-14.435089999999999,-14.712774,0.0061736759,-14.7066
1.4988,25,-14.441492000000002,0.01290588,-14.428586,-14.710472,0.0097605577,-14.700710999999998
2.1024,26,-14.438920999999999,0.017100673,-14.421821,-14.7078,0.013967143000000001,-14.693832999999998
2.949,27,-14.436283,0.020800421,-14.415482,-14.704953,0.018553228999999997,-14.686399
4.1366,28,-14.4337,0.023899431000000002,-14.4098,-14.702058,0.023310731,-14.678747
5.8025,29,-14.431279,0.026517272,-14.404760999999999,-14.699253,0.028001283,-14.671251000000002
8.1392,30,-14.429086999999999,0.028999537000000002,-14.400088,-14.696685999999998,0.032420144,-14.664266
11.417,31,-14.427244,0.0317549,-14.395489000000001,-14.694614999999999,0.03642481,-14.65819
16.0147,32,-14.426142,0.035071282999999995,-14.391070999999998,-14.693634,0.039986792,-14.653647
22.464,33,-14.426596,0.039208955,-14.387388,-14.694814000000001,0.043400905,-14.651413
31.5105,34,-14.429595,0.044833218,-14.384762,-14.699698999999999,0.047684650999999995,-14.652014999999999
44.2001,35,-14.436584,0.052821234,-14.383761999999999,-14.710828,0.054268912,-14.656559
