,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-12.500557,0.0,-12.500557,-12.517396000000002,8.921779699999998e-08,-12.517396000000002
0.0006244,2,-12.500571,3.7116609999999995e-06,-12.500567,-12.517403999999999,2.4427643999999998e-06,-12.517402
0.0008759,3,-12.500577,5.2220476e-06,-12.500572,-12.517407,3.4020285999999998e-06,-12.517403999999999
0.0012286,4,-12.500585000000001,7.3866089e-06,-12.500577,-12.517412,4.7770252e-06,-12.517407
0.0017234,5,-12.500596,1.0493269e-05,-12.500585000000001,-12.517418,6.750800799999999e-06,-12.517411
0.0024174,6,-12.500611,1.4949866e-05,-12.500596,-12.517425999999999,9.5813307e-06,-12.517417
0.0033909,7,-12.500633,2.1339319e-05,-12.500611,-12.517438,1.3643934e-05,-12.517425
0.0047565,8,-12.500663000000001,3.0488308000000003e-05,-12.500632000000001,-12.517455,1.9470066e-05,-12.517436
0.006672,9,-12.500705,4.357815e-05,-12.500661000000001,-12.517478,2.7830801e-05,-12.51745
0.0093589,10,-12.500763000000001,6.2285627e-05,-12.500701,-12.517510000000001,3.9816979000000004e-05,-12.517471
0.0131278,11,-12.500845,8.8985276e-05,-12.500755999999999,-12.517555,5.7013268e-05,-12.517498
0.0184145,12,-12.500960000000001,0.00012702179,-12.500833,-12.517617999999999,8.1672084e-05,-12.517536
0.0258302,13,-12.50112,0.00018108745,-12.500939,-12.517705,0.00011700635000000001,-12.517588
0.0362323,14,-12.501345,0.00025772971000000003,-12.501087,-12.517826,0.00016763968999999998,-12.517658
0.0508234,15,-12.501662,0.00036614829,-12.501296,-12.517994,0.00024022354,-12.517754
0.0712906,16,-12.502104,0.00052647122,-12.501578,-12.518225,0.000349174,-12.517876
0.1,17,-12.502691,0.00079296384,-12.501897999999999,-12.51852,0.0005323725,-12.517987
0.140271,18,-12.503428,0.0012670832,-12.502161,-12.518865,0.00086196609,-12.518003
0.19676,19,-12.504304,0.0021030048999999998,-12.502201,-12.519224000000001,0.0014532885999999998,-12.517771
0.275997,20,-12.505253,0.0035560665000000003,-12.501697,-12.519507,0.00250428,-12.517003
0.3871,21,-12.506086999999999,0.0060445025,-12.500042,-12.519517,0.0043535360999999995,-12.515163000000001
0.5431,22,-12.506361,0.01024631,-12.496115,-12.518848,0.0075796363,-12.511269
0.7617,23,-12.505092,0.017205283000000002,-12.487886999999999,-12.516719,0.013124343,-12.503594999999999
1.0685,24,-12.500836,0.027924376,-12.472911999999999,-12.512083,0.022101961,-12.489981
1.4988,25,-12.493714,0.041123757999999996,-12.452589999999999,-12.505033000000001,0.034239498,-12.470794
2.1024,26,-12.485476,0.053800929000000004,-12.431675,-12.496825999999999,0.047835317,-12.448991
2.949,27,-12.476915,0.064478881,-12.412436999999999,-12.488085,0.061578021,-12.426507
4.1366,28,-12.468386,0.072725737,-12.395661,-12.479159,0.074221186,-12.404938000000001
5.8025,29,-12.460157,0.078865857,-12.381291000000001,-12.470350999999999,0.084564377,-12.385786999999999
8.1392,30,-12.4523,0.083972536,-12.368328,-12.461847,0.09201774900000001,-12.369829
11.417,31,-12.444908999999999,0.089314188,-12.355594,-12.453933000000001,0.09695424300000001,-12.356978999999999
16.0147,32,-12.438722,0.095797621,-12.342924,-12.447625,0.10078925,-12.346836
22.464,33,-12.435496,0.10426822,-12.331228,-12.444967,0.10598784,-12.338979
31.5105,34,-12.437007000000001,0.11666256,-12.320344,-12.44844,0.11629657,-12.332142999999999
44.2001,35,-12.445435,0.1351993,-12.310235,-12.461795,0.13499757,-12.326797000000001
62.0,36,-12.467319,0.16047301,-12.306846,-12.494116,0.16307394,-12.331042
85.775,37,-12.514159,0.19194514,-12.322213,-12.559672,0.19946967,-12.360202000000001
