,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.14137129,,
0.000312205,,,1.0,-0.07481866200000001
0.00075015,2.0,-0.14043443,2.0,-0.074217011
0.00105225,3.0,-0.1382904,3.0,-0.072826244
0.001476,4.0,-0.1360011,4.0,-0.071354635
0.0020704,5.0,-0.13370584,5.0,-0.069857219
0.00290415,6.0,-0.13145002,6.0,-0.068339133
0.0040737,7.0,-0.12927145,7.0,-0.066789001
0.00571425,8.0,-0.12716596,8.0,-0.065230862
0.00801545,9.0,-0.1252018,9.0,-0.063638825
0.01124335,10.0,-0.12344057,10.0,-0.062055185
0.01577115,11.0,-0.1219813,11.0,-0.060442869
0.02212235,12.0,-0.12094686,12.0,-0.058857245
0.03103125,13.0,-0.12052887,13.0,-0.057283179000000004
0.04352785,14.0,-0.12082332,14.0,-0.055649889
0.061057,15.0,-0.11608333,15.0,-0.050146003
0.0856453,16.0,-0.09435353,16.0,-0.032944149
0.1201355,17.0,-0.055043443,17.0,-0.0032280086
0.1685155,18.0,-0.0059308176,18.0,0.034684734
0.2363785,19.0,0.05369163,19.0,0.081794383
0.3315485,20.0,0.12570374,20.0,0.13986868
0.4651,21.0,0.21254851,21.0,0.21085799
0.6524,22.0,0.31772867,22.0,0.29646877
0.9151,23.0,0.41205742,23.0,0.37486648
1.28365,24.0,0.3986913,24.0,0.37659101
1.8006,25.0,0.29251559,25.0,0.30505146
2.5257,26.0,0.19183258,26.0,0.22425186
3.5428,27.0,0.11925018,27.0,0.1533571
4.96955,28.0,0.072815625,28.0,0.09703768199999999
6.97085,29.0,0.046833097000000004,29.0,0.057627124
9.7781,30.0,0.032794751000000004,30.0,0.033070982
13.71585,31.0,0.023264125,31.0,0.01865474
19.23935,32.0,0.015309348,32.0,0.010311635
26.98725,33.0,0.01015633,33.0,0.006399722900000001
37.8553,34.0,0.0067251175,34.0,0.0035819071999999997
53.10005,35.0,0.0016077222,35.0,-0.002018639
73.8875,36.0,-0.005456734499999999,36.0,-0.010332362
97.6625,37.0,-0.01146024,37.0,-0.017886992
121.4375,38.0,-0.016365432,38.0,-0.024259252999999998
145.2125,39.0,-0.023236398,39.0,-0.031811806
168.9875,40.0,-0.030591122000000002,40.0,-0.03894639
192.7625,41.0,-0.0328037,41.0,-0.040966972000000004
216.5375,42.0,-0.0285455,42.0,-0.037026512000000004
240.3125,43.0,-0.022238769,43.0,-0.030726281
264.0875,44.0,-0.014977893999999999,44.0,-0.023114527000000003
287.8625,45.0,-0.0070574942,45.0,-0.013968983
311.6375,46.0,-0.00029936024,46.0,-0.006951393199999999
335.4125,47.0,0.0070856025,47.0,-0.00012424295
359.1875,48.0,0.015722784,48.0,0.008674609100000001
382.9625,49.0,0.02532413,49.0,0.0191319
406.7375,50.0,0.035620373,50.0,0.030005992000000002
430.5125,51.0,0.046190153,51.0,0.040427152
454.2875,52.0,0.055881507999999996,52.0,0.049490547
478.0625,53.0,0.065169007,53.0,0.058613194
501.8375,54.0,0.07438692400000001,54.0,0.068557035
525.6125,55.0,0.08349248,55.0,0.079467007
549.3875,56.0,0.09253644400000001,56.0,0.090732681
573.1625,57.0,0.1017649,57.0,0.10184401
596.9375,58.0,0.11415492,58.0,0.115414
620.7125,59.0,0.12467146,59.0,0.12629531
644.4875,60.0,0.13265762,60.0,0.13426805
668.2625,61.0,0.13857662,61.0,0.1402834
692.0375,62.0,0.14278408,62.0,0.14548116
715.8125,63.0,0.14584628,63.0,0.15089676
739.5875,64.0,0.14831869,64.0,0.15712405
763.3625,65.0,0.1507681,65.0,0.16306806
787.1375,66.0,0.15378776,66.0,0.16925947
810.9125,67.0,0.15722956,67.0,0.17408969
834.6875,68.0,0.15925578,68.0,0.17688319
858.4625,69.0,0.15726795,69.0,0.1746434
882.2375,70.0,0.15097777,70.0,0.16796458
906.0125,71.0,0.1432419,71.0,0.16004668
929.7875,72.0,0.13713993,72.0,0.15421498
953.5625,73.0,0.13459623,73.0,0.15262747
977.3375,74.0,0.13836663,74.0,0.15790391
1001.1125,75.0,0.17895316,75.0,0.19659638
