,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-12.500557,0.0,-12.500557,,,
1e-08,1,,,,-12.516697,8.9454817e-08,-12.516697
0.0006244,2,-12.500571,3.7116609999999995e-06,-12.500567,-12.516705,2.4463075e-06,-12.516702
0.0008759,3,-12.500577,5.2220476e-06,-12.500572,-12.516708,3.4062541e-06,-12.516703999999999
0.0012286,4,-12.500585000000001,7.3866089e-06,-12.500577,-12.516712,4.7827337e-06,-12.516707
0.0017234,5,-12.500596,1.0493269e-05,-12.500585000000001,-12.516718,6.7580021e-06,-12.516712
0.0024174,6,-12.500611,1.4949866e-05,-12.500596,-12.516727000000001,9.5918455e-06,-12.516717
0.0033909,7,-12.500633,2.1339319e-05,-12.500611,-12.516739,1.3657539e-05,-12.516725
0.0047565,8,-12.500663000000001,3.0488308000000003e-05,-12.500632000000001,-12.516755999999999,1.9491043e-05,-12.516736
0.006672,9,-12.500705,4.357815e-05,-12.500661000000001,-12.516779,2.7858159999999998e-05,-12.516751
0.0093589,10,-12.500763000000001,6.2285627e-05,-12.500701,-12.516811,3.9860668e-05,-12.516771
0.0131278,11,-12.500845,8.8985276e-05,-12.500755999999999,-12.516856,5.7070438000000006e-05,-12.516799
0.0184145,12,-12.500960000000001,0.00012702179,-12.500833,-12.516917999999999,8.1748168e-05,-12.516836999999999
0.0258302,13,-12.50112,0.00018108745,-12.500939,-12.517006,0.0001171143,-12.516888
0.0362323,14,-12.501345,0.00025772971000000003,-12.501087,-12.517127,0.00016778633000000002,-12.516959
0.0508234,15,-12.501662,0.00036614829,-12.501296,-12.517296,0.000240447,-12.517055000000001
0.0712906,16,-12.502104,0.00052647122,-12.501578,-12.517526,0.00034948016,-12.517177
0.1,17,-12.502691,0.00079296384,-12.501897999999999,-12.517822,0.0005328171900000001,-12.517289
0.140271,18,-12.503428,0.0012670832,-12.502161,-12.518167,0.0008627858,-12.517304
0.19676,19,-12.504304,0.0021030048999999998,-12.502201,-12.518527,0.0014545483999999999,-12.517072
0.275997,20,-12.505253,0.0035560665000000003,-12.501697,-12.518811,0.0025063142,-12.516304
0.3871,21,-12.506086999999999,0.0060445025,-12.500042,-12.518821,0.0043573293,-12.514463000000001
0.5431,22,-12.506361,0.01024631,-12.496115,-12.518152,0.0075858999,-12.510566
0.7617,23,-12.505092,0.017205283000000002,-12.487886999999999,-12.516022999999999,0.013134488,-12.502889
1.0685,24,-12.500836,0.027924376,-12.472911999999999,-12.511383,0.022119673,-12.489264
1.4988,25,-12.493714,0.041123757999999996,-12.452589999999999,-12.504331,0.034264574,-12.470066000000001
2.1024,26,-12.485476,0.053800929000000004,-12.431675,-12.49612,0.047867394,-12.448252
2.949,27,-12.476915,0.064478881,-12.412436999999999,-12.487376,0.06161513,-12.425761
4.1366,28,-12.468386,0.072725737,-12.395661,-12.478446,0.074261439,-12.404183999999999
5.8025,29,-12.460157,0.078865857,-12.381291000000001,-12.469635,0.084602184,-12.385033
8.1392,30,-12.4523,0.083972536,-12.368328,-12.461131,0.09205026300000001,-12.36908
11.417,31,-12.444908999999999,0.089314188,-12.355594,-12.45322,0.096981414,-12.356238000000001
16.0147,32,-12.438722,0.095797621,-12.342924,-12.446903,0.10082593,-12.346077000000001
22.464,33,-12.435496,0.10426822,-12.331228,-12.444236,0.10603703,-12.338199000000001
31.5105,34,-12.437007000000001,0.11666256,-12.320344,-12.4477,0.1163604,-12.331339999999999
44.2001,35,-12.445435,0.1351993,-12.310235,-12.461039,0.13508389,-12.325955
62.0,36,-12.467319,0.16047301,-12.306846,-12.493375,0.16316274,-12.330212
85.775,37,-12.514159,0.19194514,-12.322213,-12.558916,0.19960171,-12.359314
