,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-11.813551,0.0,-11.813551,-11.765664,8.924594300000001e-08,-11.765664
0.0006244,2,-11.813574000000001,6.3792399e-06,-11.813566999999999,-11.765680999999999,4.1989035e-06,-11.765677
0.0008759,3,-11.813583,8.9747541e-06,-11.813574000000001,-11.765688,5.8730404999999995e-06,-11.765682
0.0012286,4,-11.813596,1.2692803e-05,-11.813583,-11.765697,8.2720583e-06,-11.765689
0.0017234,5,-11.813613,1.8023284e-05,-11.813595,-11.76571,1.1715796e-05,-11.765698
0.0024174,6,-11.813638000000001,2.5658152e-05,-11.813612,-11.765728,1.6654251e-05,-11.765711999999999
0.0033909,7,-11.813673,3.6585287e-05,-11.813636,-11.765754,2.3741485e-05,-11.76573
0.0047565,8,-11.813721000000001,5.2204093999999994e-05,-11.813669,-11.765789,3.3903317000000004e-05,-11.765756
0.006672,9,-11.813788,7.450086599999999e-05,-11.813714,-11.765839,4.8481674e-05,-11.765791
0.0093589,10,-11.813883,0.00010627493999999999,-11.813775999999999,-11.765908,6.9373049e-05,-11.765839
0.0131278,11,-11.814014,0.00015145325000000002,-11.813863000000001,-11.766005,9.9327922e-05,-11.765906
0.0184145,12,-11.814199,0.00021552321,-11.813984,-11.76614,0.00014224771,-11.765998
0.0258302,13,-11.814459,0.00030606252,-11.814153,-11.766328,0.00020368085,-11.766124000000001
0.0362323,14,-11.814824,0.00043345227,-11.814391,-11.766591,0.00029157874,-11.7663
0.0508234,15,-11.815342999999999,0.00061199353,-11.814731,-11.766959,0.00041731437999999995,-11.766542
0.0712906,16,-11.816072,0.0008734736900000001,-11.815197999999999,-11.767467,0.00060552863,-11.766861
0.1,17,-11.817052,0.0013051337,-11.815746,-11.768133,0.0009210433099999999,-11.767211999999999
0.140271,18,-11.818302000000001,0.0020678309,-11.816234,-11.768956,0.001486555,-11.767469
0.19676,19,-11.81983,0.0033980107,-11.816432,-11.769906,0.0024956544,-11.76741
0.275997,20,-11.821572,0.0056768138000000004,-11.815895,-11.770877,0.0042755332,-11.766601
0.3871,21,-11.823294,0.0095101647,-11.813784,-11.771600999999999,0.0073745355,-11.764225999999999
0.5431,22,-11.824388,0.015848471,-11.808539,-11.771481,0.01270384,-11.758777
0.7617,23,-11.823396,0.026098273999999998,-11.797297,-11.769287,0.021686962999999997,-11.7476
1.0685,24,-11.818042,0.041390137,-11.776652,-11.763307000000001,0.035822778,-11.727484
1.4988,25,-11.808457,0.059127485,-11.749329,-11.753692,0.053947687,-11.699744
2.1024,26,-11.797339,0.07450570599999999,-11.722833,-11.742521,0.072310689,-11.67021
2.949,27,-11.785855,0.08594607300000001,-11.699908,-11.730775,0.08807565099999999,-11.6427
4.1366,28,-11.774464,0.09378048800000001,-11.680684,-11.718933,0.099336671,-11.619597
5.8025,29,-11.763488,0.09927210300000001,-11.664214999999999,-11.707361,0.10565463,-11.601706
8.1392,30,-11.752930000000001,0.10427752,-11.648653,-11.69616,0.10890071,-11.587259
11.417,31,-11.742764999999999,0.11044378,-11.632321000000001,-11.685441,0.11234439,-11.573097
16.0147,32,-11.733787,0.11868513,-11.615102,-11.6762,0.11881781,-11.557382
22.464,33,-11.728117999999998,0.12977292,-11.598345,-11.670786,0.13009531,-11.540691
31.5105,34,-11.727736,0.14591211,-11.581824000000001,-11.671771000000001,0.14843968,-11.523330999999999
44.2001,35,-11.734733,0.1696338,-11.565099,-11.682648,0.17587992,-11.506768
62.0,36,-11.756343,0.20127302,-11.555069999999999,-11.712905000000001,0.21287871,-11.500026
85.775,37,-11.806025,0.23984158,-11.566183,-11.778493,0.25874198,-11.519751
109.55,38,-11.875589999999999,0.27833097,-11.597259,-11.867817,0.30418689,-11.56363
