,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.17047984,1,-0.10027964
0.00075015,2,-0.16932739,2,-0.099482925
0.00105225,3,-0.16666441,3,-0.097805499
0.001476,4,-0.16383279,4,-0.09596914599999999
0.0020704,5,-0.16105829,5,-0.094161916
0.00290415,6,-0.15833671,6,-0.092260699
0.0040737,7,-0.15569949,7,-0.090400652
0.00571425,8,-0.15321585,8,-0.088443486
0.00801545,9,-0.15095126,9,-0.08654707
0.01124335,10,-0.14900381,10,-0.08455561
0.01577115,11,-0.14752014,11,-0.082582061
0.02212235,12,-0.14668626,12,-0.08066175
0.03103125,13,-0.14678797,13,-0.07873801400000001
0.04352785,14,-0.14802063,14,-0.07679773299999999
0.061057,15,-0.14331822,15,-0.07005168099999999
0.0856453,16,-0.11792412,16,-0.048980317
0.1201355,17,-0.071304294,17,-0.012650121
0.1685155,18,-0.013414966,18,0.033796388
0.2363785,19,0.056368694000000004,19,0.091357695
0.3315485,20,0.14016151,20,0.16214765
0.4651,21,0.24090861,21,0.24872414
0.6524,22,0.36335645,22,0.35298074
0.9151,23,0.47315755,23,0.44809151
1.28365,24,0.4542378,24,0.44947844
1.8006,25,0.32714266,25,0.3611093
2.5257,26,0.21121275,26,0.26162185
3.5428,27,0.13098132,27,0.17481636
4.96955,28,0.081375871,28,0.10682589
6.97085,29,0.05420485,29,0.060628695999999996
9.7781,30,0.039359911000000004,30,0.033549561
13.71585,31,0.02869306,31,0.019287915
19.23935,32,0.019345611000000002,32,0.012238407
26.98725,33,0.013179495,33,0.0097370155
37.8553,34,0.0091567046,34,0.0075607424
53.10005,35,0.0033129708,35,0.0012991323
73.8875,36,-0.0046863587,36,-0.0087553489
97.6625,37,-0.011359491999999999,37,-0.017995136000000002
121.4375,38,-0.016720416000000002,38,-0.025834201
145.2125,39,-0.024510208999999998,39,-0.035165997000000004
168.9875,40,-0.033060163999999996,40,-0.044009194
192.7625,41,-0.035616646,41,-0.046649887
216.5375,42,-0.030670283,42,-0.042174308
240.3125,43,-0.023710544,43,-0.03505728
264.0875,44,-0.01595283,44,-0.026733635
287.8625,45,-0.0076288993,45,-0.016953057
311.6375,46,-0.0005170625299999999,46,-0.0094085373
335.4125,47,0.0071709614,47,-0.0018143972
359.1875,48,0.016047265,48,0.007488177800000001
382.9625,49,0.025816746,49,0.018326651
406.7375,50,0.036199035,50,0.029530486
430.5125,51,0.046754587,51,0.040181403
454.2875,52,0.056343555,52,0.049247365
478.0625,53,0.065422562,53,0.058499567999999995
501.8375,54,0.074322098,54,0.0682308
525.6125,55,0.08302095,55,0.078710621
549.3875,56,0.09159076699999999,56,0.08941334199999999
573.1625,57,0.10029156,57,0.09997525199999999
596.9375,58,0.11191138,58,0.11279024
620.7125,59,0.1216091,59,0.12302979
644.4875,60,0.12879816,60,0.13036065
668.2625,61,0.13396255,61,0.13590485
692.0375,62,0.13748558,62,0.14008612
715.8125,63,0.13994981,63,0.14541001
739.5875,64,0.14192565,64,0.15101158
763.3625,65,0.14399717,65,0.1562417
787.1375,66,0.14676341,66,0.16233153
810.9125,67,0.15005898,67,0.16708663
834.6875,68,0.15199564,68,0.1688886
858.4625,69,0.1499206,69,0.16765786
882.2375,70,0.14354744,70,0.16074363
906.0125,71,0.13578875,71,0.15281728
929.7875,72,0.12977423,72,0.14733056
953.5625,73,0.12745751,73,0.14456909
977.3375,74,0.1316487,74,0.15056447
1001.1125,75,0.17315895,75,0.18996984
