,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.038949568,,
0.000312205,,,1.0,-0.030531495
0.00075015,2.0,-0.043332540999999995,2.0,-0.033993052999999995
0.00105225,3.0,-0.05178395400000001,3.0,-0.040735636
0.001476,4.0,-0.059891667999999995,4.0,-0.047233352
0.0020704,5.0,-0.067668254,5.0,-0.053503957000000005
0.00290415,6.0,-0.075125564,6.0,-0.059560737
0.0040737,7.0,-0.082241462,7.0,-0.065374657
0.00571425,8.0,-0.08901012300000001,8.0,-0.070952389
0.00801545,9.0,-0.095438605,9.0,-0.076272338
0.01124335,10.0,-0.10154912,10.0,-0.081357057
0.01577115,11.0,-0.10748776,11.0,-0.086184065
0.02212235,12.0,-0.11327107,12.0,-0.090789952
0.03103125,13.0,-0.11906382,13.0,-0.095185525
0.04352785,14.0,-0.12480938,14.0,-0.099254636
0.061057,15.0,-0.12677395,15.0,-0.10056551
0.0856453,16.0,-0.11765782,16.0,-0.094329778
0.1201355,17.0,-0.069658455,17.0,-0.057572422000000005
0.1685155,18.0,0.032691242,18.0,0.026137591
0.2363785,19.0,0.19957491,19.0,0.16948797
0.3315485,20.0,0.44306236,20.0,0.38782046
0.4651,21.0,0.77621912,21.0,0.69732767
0.6524,22.0,1.2185323000000001,22.0,1.1140653
0.9151,23.0,1.7338095000000002,23.0,1.6099661
1.28365,24.0,1.9955151000000002,24.0,1.9133116000000001
1.8006,25.0,1.7925423999999999,25.0,1.7828419999999998
2.5257,26.0,1.4387805,26.0,1.4354280000000001
3.5428,27.0,1.0647432,27.0,1.0562359
4.96955,28.0,0.74778509,28.0,0.75582969
6.97085,29.0,0.5258249,29.0,0.55683863
9.7781,30.0,0.35604586,30.0,0.4007865
13.71585,31.0,0.18365257,31.0,0.22446392
19.23935,32.0,0.015206747,32.0,0.0391865
26.98725,33.0,-0.10296087,33.0,-0.095874117
37.8553,34.0,-0.18596776,34.0,-0.1948971
53.10005,35.0,-0.25555536,35.0,-0.28225044
73.8875,36.0,-0.27764713,36.0,-0.31844812
97.6625,37.0,-0.24600261,37.0,-0.28655301
121.4375,38.0,-0.21308133,38.0,-0.24633009
145.2125,39.0,-0.19815948,39.0,-0.2231162
168.9875,40.0,-0.17725296,40.0,-0.19315681
192.7625,41.0,-0.14179944,41.0,-0.15082612
216.5375,42.0,-0.11220139,42.0,-0.11765801
240.3125,43.0,-0.09192205199999999,43.0,-0.09518747699999999
264.0875,44.0,-0.073205521,44.0,-0.07488043900000001
287.8625,45.0,-0.05841389599999999,45.0,-0.059109392999999996
311.6375,46.0,-0.04855161400000001,46.0,-0.048643110999999996
335.4125,47.0,-0.040153842,47.0,-0.039831927
359.1875,48.0,-0.032376237,48.0,-0.031801204
382.9625,49.0,-0.025688949,49.0,-0.024982108
406.7375,50.0,-0.019950041,50.0,-0.019192921
430.5125,51.0,-0.014679303000000001,51.0,-0.01393469
454.2875,52.0,-0.009864726400000001,52.0,-0.0091744956
478.0625,53.0,-0.0054789468000000004,53.0,-0.0048699762
501.8375,54.0,-0.0015091294,54.0,-0.00099307484
525.6125,55.0,0.0022041682,55.0,0.0026049296
549.3875,56.0,0.0057838391,56.0,0.0060600191
573.1625,57.0,0.0093090984,57.0,0.0094531674
596.9375,58.0,0.013101814,58.0,0.013082503999999998
620.7125,59.0,0.017022383999999998,59.0,0.016841722
644.4875,60.0,0.02107475,60.0,0.02071194
668.2625,61.0,0.025293227999999997,61.0,0.02472452
692.0375,62.0,0.029658489,62.0,0.028897233999999997
715.8125,63.0,0.034232277,63.0,0.03332283
739.5875,64.0,0.039059616,64.0,0.038099315
763.3625,65.0,0.044113625999999996,65.0,0.043241938
787.1375,66.0,0.049363182,66.0,0.04878663
810.9125,67.0,0.054840327,67.0,0.054747725
834.6875,68.0,0.060374588,68.0,0.061038319
858.4625,69.0,0.065612417,69.0,0.067324837
882.2375,70.0,0.070441675,70.0,0.07346054
906.0125,71.0,0.07501791599999999,71.0,0.079515011
929.7875,72.0,0.079601817,72.0,0.085648702
953.5625,73.0,0.084382455,73.0,0.091962411
977.3375,74.0,0.089586703,74.0,0.098602806
1001.1125,75.0,0.095657806,75.0,0.10578199
