,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-22.783978,0.0,-22.783978,,,
1e-08,1,,,,-22.39074,1.8474578e-06,-22.390739
0.0006244,2,-22.783983,1.4343725e-06,-22.783981,-22.390744,2.8598244999999996e-06,-22.390741000000002
0.0008759,3,-22.783985,2.0876368e-06,-22.783983,-22.390745000000003,3.3206077e-06,-22.390742000000003
0.0012286,4,-22.783988,3.2212327e-06,-22.783985,-22.390748000000002,4.1205885e-06,-22.390744
0.0017234,5,-22.783993,5.130616e-06,-22.783988,-22.390752,5.4696468e-06,-22.390746
0.0024174,6,-22.784001999999997,8.2736088e-06,-22.783994,-22.390757999999998,7.6926269e-06,-22.390751
0.0033909,7,-22.784016,1.3360876e-05,-22.784001999999997,-22.390769,1.129392e-05,-22.390757999999998
0.0047565,8,-22.784036999999998,2.1484882e-05,-22.784016,-22.390785,1.7049848e-05,-22.390767999999998
0.006672,9,-22.78407,3.431746e-05,-22.784035999999997,-22.390810000000002,2.6147975000000003e-05,-22.390784
0.0093589,10,-22.784121,5.4408283e-05,-22.784066,-22.390849,4.0402452e-05,-22.390809
0.0131278,11,-22.784197,8.5619321e-05,-22.784112,-22.390907000000002,6.2564277e-05,-22.390845000000002
0.0184145,12,-22.784313,0.00013373458,-22.784179,-22.390995999999998,9.6809197e-05,-22.390898999999997
0.0258302,13,-22.784485999999998,0.00020743822,-22.784278,-22.391128,0.00014942168,-22.390979
0.0362323,14,-22.784745,0.00031964343999999997,-22.784425,-22.391326,0.00022987477000000001,-22.391095999999997
0.0508234,15,-22.78513,0.00048963395,-22.784641,-22.39162,0.00035249082000000004,-22.391268
0.0712906,16,-22.785711,0.00076323421,-22.784948,-22.392063,0.00055153983,-22.391510999999998
0.1,17,-22.786656,0.0013077682,-22.785348000000003,-22.392785,0.0009528404099999999,-22.391832
0.140271,18,-22.788183,0.0025025741,-22.785681,-22.393956,0.0018493755999999999,-22.392107
0.19676,19,-22.790448,0.0049859763,-22.785462,-22.395688,0.0037564901,-22.391932
0.275997,20,-22.793501000000003,0.0099123549,-22.783589000000003,-22.397988,0.007647054300000001,-22.390341
0.3871,21,-22.797060000000002,0.019302865,-22.777758,-22.400544,0.015307999,-22.385236
0.5431,22,-22.799985,0.036571885,-22.763414,-22.402264000000002,0.029915567999999997,-22.372349
0.7617,23,-22.799035,0.06717453,-22.73186,-22.400264,0.056766675999999995,-22.343497
1.0685,24,-22.787973,0.1191243,-22.668848999999998,-22.3892,0.10421853,-22.284981
1.4988,25,-22.762966,0.19583318,-22.567133,-22.365557,0.17811171,-22.187445
2.1024,26,-22.7274,0.28843505,-22.438965,-22.331751999999998,0.27179412,-22.059957999999998
2.949,27,-22.683899,0.38922324,-22.294676000000003,-22.289893,0.37390328,-21.91599
4.1366,28,-22.637804,0.49291565,-22.144888,-22.244988,0.47760487,-21.767383
5.8025,29,-22.597356,0.60003439,-21.997322,-22.205126999999997,0.5869128,-21.618214000000002
8.1392,30,-22.570207,0.71843271,-21.851774,-22.177668,0.71360228,-21.464066
11.417,31,-22.567724,0.85419469,-21.713529,-22.173733,0.86529997,-21.308432999999997
16.0147,32,-22.612992000000002,0.99948548,-21.613506,-22.216547,1.0303761,-21.186170999999998
22.464,33,-22.739856,1.1379666000000002,-21.601889,-22.341016,1.1847854,-21.156229999999997
31.5105,34,-22.983786,1.2715617000000001,-21.712224,-22.586794,1.3278124,-21.258982
44.2001,35,-23.399662,1.4078956,-21.991766000000002,-23.018818,1.4668415000000001,-21.551976
62.0,36,-24.058651,1.5280399,-22.530610999999997,-23.734034,1.5868636999999999,-22.147170000000003
85.775,37,-24.924027,1.6114733,-23.312553,-24.715547,1.6714331999999998,-23.044114
