,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.20162062981617002,1,-0.16037541
0.00075015,2,-0.19374862035721102,2,-0.15448721
0.00105225,3,-0.173303047525597,3,-0.14090521
0.001476,4,-0.15029111567836,4,-0.12538158
0.0020704,5,-0.12486526607125,5,-0.10772914
0.00290415,6,-0.09693467888325999,6,-0.08788491699999999
0.0040737,7,-0.06649326846719998,7,-0.065655527
0.00571425,8,-0.033552945040219995,8,-0.040666242000000005
0.00801545,9,0.001777314062561,9,-0.013026325
0.01124335,10,0.0393019875933,10,0.01740647
0.01577115,11,0.07872012935957,11,0.050731846
0.02212235,12,0.11969705663308,12,0.086949632
0.03103125,13,0.16165182238196998,13,0.12574521
0.04352785,14,0.19593379734231,14,0.16085247
0.061057,15,0.2134246996427,15,0.18552081
0.0856453,16,0.2204088469214,16,0.20309214
0.1201355,17,0.2239831204599,17,0.21728121
0.1685155,18,0.2251828161847,18,0.22759965
0.2363785,19,0.22596129939909998,19,0.23413736
0.3315485,20,0.23058507682459997,20,0.24006894
0.4651,21,0.2454972493056,21,0.24828807
0.6524,22,0.2069238448828,22,0.20457204
0.9151,23,0.11713784556759999,23,0.11228075
1.28365,24,0.05729110282949,24,0.052235435999999996
1.8006,25,0.02939054559075,25,0.029110082000000002
2.5257,26,0.016001840498882,26,0.019200253
3.5428,27,0.008655475944130001,27,0.01161795
4.96955,28,0.0060102203396799996,28,0.0071263513
6.97085,29,0.006508817208349999,29,0.0064905985999999995
9.7781,30,0.0067188358095,30,0.0067753015
13.71585,31,0.005864427046200001,31,0.0065816684
19.23935,32,0.0043192569701,32,0.0053215654000000005
26.98725,33,0.003963664505,33,0.0049652988
37.8553,34,0.005126877597,34,0.0063134264
53.10005,35,0.0061346676907999996,35,0.007311582
73.8875,36,0.0070559294792,36,0.0075325819
97.6625,37,0.0078315107446,37,0.0075772658
121.4375,38,0.007722779593,38,0.007360017900000001
145.2125,39,0.00933553961063,39,0.0095010787
168.9875,40,0.010314351364803,40,0.012048895
192.7625,41,0.01058620696213501,41,0.01418651
216.5375,42,0.0093958258524525,42,0.01388353
240.3125,43,0.0073273666617000004,43,0.011320471
264.0875,44,0.0038509131265000007,44,0.0061204798
287.8625,45,-0.0025970610900000004,45,-0.0029987557
311.6375,46,-0.0060690985780000005,46,-0.0089100659
335.4125,47,3.749598799999976e-05,47,-0.0040426319
359.1875,48,0.010977874514099999,48,0.0068129742
382.9625,49,0.026120345625099996,49,0.01940667
406.7375,50,0.044860694348599996,50,0.032979182999999995
430.5125,51,0.0621431904929,51,0.050034632999999995
454.2875,52,0.0764778011808,52,0.069939742
478.0625,53,0.0869833979526,53,0.08682582900000001
501.8375,54,0.09352777428230001,54,0.09456638099999999
525.6125,55,0.09645219147157,55,0.09585729300000001
549.3875,56,0.0963439399398,56,0.09503555
573.1625,57,0.0940249287649,57,0.095690229
596.9375,58,0.09011069535170002,58,0.09730375599999999
620.7125,59,0.0850628981328,59,0.095588379
644.4875,60,0.0791996171845,60,0.092949009
668.2625,61,0.07280029988299999,61,0.08506858
692.0375,62,0.0661839325238,62,0.075015078
715.8125,63,0.059720753579199995,63,0.06442200099999999
739.5875,64,0.0539608487431,64,0.054974219000000005
763.3625,65,0.049573960946199994,65,0.048021743
787.1375,66,0.0474787518057,66,0.044749487000000004
810.9125,67,0.04918791151,67,0.046659636
834.6875,68,0.05618183195799999,68,0.05530727
858.4625,69,0.066289342058,69,0.06412861
882.2375,70,0.070442797591,70,0.07123295
906.0125,71,0.060544197095,71,0.061715767000000005
929.7875,72,0.041658732204,72,0.04049927
953.5625,73,0.023895378291800003,73,0.024230857
977.3375,74,0.0098472014977,74,0.006173530500000001
1001.1125,75,-0.015040733538,75,-0.017120938
