,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-18.78764,0.0,-18.78764,,,
1e-08,1,,,,-18.803282,1.2831124e-06,-18.803281
0.0006244,2,-18.78764,4.4519394e-09,-18.78764,-18.803282,1.285027e-06,-18.803281
0.0008759,3,-18.78764,6.370098e-09,-18.78764,-18.803282,1.2858972e-06,-18.803281
0.0012286,4,-18.78764,9.4505187e-09,-18.78764,-18.803282,1.2873081e-06,-18.803281
0.0017234,5,-18.78764,1.4402858000000001e-08,-18.78764,-18.803282,1.2894997e-06,-18.803281
0.0024174,6,-18.78764,2.2355398e-08,-18.78764,-18.803282,1.2929148e-06,-18.803281
0.0033909,7,-18.78764,3.5113382e-08,-18.78764,-18.803282,1.2982474e-06,-18.803281
0.0047565,8,-18.78764,5.555993e-08,-18.78764,-18.803282,1.3067631000000001e-06,-18.803281
0.006672,9,-18.78764,8.829335699999999e-08,-18.78764,-18.803282,1.3204926e-06,-18.803281
0.0093589,10,-18.78764,1.4064519e-07,-18.78764,-18.803282,1.3425241e-06,-18.803281
0.0131278,11,-18.78764,2.2428929999999998e-07,-18.78764,-18.803282,1.3776955000000001e-06,-18.803281
0.0184145,12,-18.78764,3.5779988000000003e-07,-18.787639000000002,-18.803282,1.4336811e-06,-18.803281
0.0258302,13,-18.78764,5.706941e-07,-18.787639000000002,-18.803282,1.5226926e-06,-18.803281
0.0362323,14,-18.78764,9.096482500000001e-07,-18.787639000000002,-18.803282,1.6639917e-06,-18.803281
0.0508234,15,-18.78764,1.4409988999999999e-06,-18.787638,-18.803282,1.8848807e-06,-18.803279999999997
0.0712906,16,-18.78764,2.2526202999999998e-06,-18.787637,-18.803282,2.2218934e-06,-18.803279999999997
0.1,17,-18.787639000000002,3.4775005e-06,-18.787636,-18.803282,2.7301896e-06,-18.803279
0.140271,18,-18.787639000000002,5.3248540000000005e-06,-18.787634,-18.803282,3.4954185000000002e-06,-18.803279
0.19676,19,-18.787638,8.1100756e-06,-18.78763,-18.803282,4.6442792000000005e-06,-18.803276999999998
0.275997,20,-18.787637,1.2307747e-05,-18.787625,-18.803282,6.364304900000001e-06,-18.803275
0.3871,21,-18.787636,1.8629260999999998e-05,-18.787617,-18.803281,8.9334248e-06,-18.803272
0.5431,22,-18.787633,2.807851e-05,-18.787605,-18.803281,1.2769707000000002e-05,-18.803268
0.7617,23,-18.787629000000003,4.0647496e-05,-18.787589,-18.803279999999997,1.795347e-05,-18.803262
1.0685,24,-18.787626,5.4949438000000003e-05,-18.787571,-18.803279,2.3964877000000002e-05,-18.803255
1.4988,25,-18.787623999999997,7.038117199999999e-05,-18.787554,-18.803279999999997,3.0560691e-05,-18.803248999999997
2.1024,26,-18.787623999999997,8.6919902e-05,-18.787537,-18.803281,3.7763054000000005e-05,-18.803243
2.949,27,-18.787626,0.00010458418,-18.787520999999998,-18.803283,4.5622921e-05,-18.803237
4.1366,28,-18.78763,0.00012338633999999998,-18.787507,-18.803287,5.4202333e-05,-18.803233
5.8025,29,-18.787638,0.00014412076999999998,-18.787494,-18.803293,6.3928231e-05,-18.803229
8.1392,30,-18.787651,0.0001686027,-18.787482,-18.803302,7.571040699999999e-05,-18.803226000000002
11.417,31,-18.787669,0.00019860913,-18.787471,-18.803314999999998,9.0536001e-05,-18.803224
16.0147,32,-18.787696,0.0002358834,-18.78746,-18.803333,0.00010945888,-18.803223000000003
22.464,33,-18.787734,0.00028315731,-18.787451,-18.803359,0.00013415148,-18.803225
31.5105,34,-18.787789,0.00034786056000000006,-18.787441,-18.803397,0.00016876615000000001,-18.803228
44.2001,35,-18.787867000000002,0.0004437352099999999,-18.787423,-18.803451000000003,0.0002209302,-18.80323
