,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-4.7730797e-06,,
0.000312205,,,1.0,-6.464412099999999e-05
0.00075015,2.0,-4.2838367e-06,2.0,-0.00017285203000000002
0.00105225,3.0,-3.0830342000000004e-06,3.0,-1.9874175000000002e-05
0.001476,4.0,-1.5236946e-06,4.0,-1.2982431999999999e-05
0.0020704,5.0,4.4132483e-07,5.0,-9.578589400000001e-06
0.00290415,6.0,2.8882675e-06,6.0,-6.3940256e-06
0.0040737,7.0,5.90232e-06,7.0,-3.7158807e-06
0.00571425,8.0,9.582776e-06,8.0,-1.0626137e-06
0.00801545,9.0,1.4044597000000001e-05,9.0,1.6420937000000001e-06
0.01124335,10.0,1.9420568e-05,10.0,4.623691799999999e-06
0.01577115,11.0,2.5862227e-05,11.0,7.8712281e-06
0.02212235,12.0,3.3545332e-05,12.0,1.1636776e-05
0.03103125,13.0,4.2624565e-05,13.0,1.7478408e-05
0.04352785,14.0,5.2019644e-05,14.0,2.2369290999999998e-05
0.061057,15.0,6.0257420000000005e-05,15.0,2.4785115000000002e-05
0.0856453,16.0,6.813618e-05,16.0,2.7633456000000002e-05
0.1201355,17.0,7.6752017e-05,17.0,3.1436805e-05
0.1685155,18.0,8.6201777e-05,18.0,3.5470075e-05
0.2363785,19.0,9.655762500000001e-05,19.0,3.9696385e-05
0.3315485,20.0,0.00010788356000000002,20.0,4.4225445e-05
0.4651,21.0,0.00011896218999999999,21.0,4.9868247e-05
0.6524,22.0,0.00011022379999999999,22.0,4.6782839e-05
0.9151,23.0,7.9743163e-05,23.0,3.3047462e-05
1.28365,24.0,5.1696243999999995e-05,24.0,2.0642979e-05
1.8006,25.0,3.1735753e-05,25.0,1.1926604e-05
2.5257,26.0,1.7776552e-05,26.0,5.872344400000001e-06
3.5428,27.0,8.2369962e-06,27.0,1.7359346000000001e-06
4.96955,28.0,2.5582559e-06,28.0,-6.9535649e-07
6.97085,29.0,-3.924401e-07,29.0,-1.9398981e-06
9.7781,30.0,-2.1997224e-06,30.0,-2.7190732e-06
13.71585,31.0,-3.5437804e-06,31.0,-3.3179411e-06
19.23935,32.0,-4.4629891e-06,32.0,-3.7616989999999997e-06
26.98725,33.0,-4.7274863e-06,33.0,-3.9192847e-06
37.8553,34.0,-4.40525e-06,34.0,-3.7941485e-06
53.10005,35.0,-3.9153091e-06,35.0,-3.7286727e-06
73.8875,36.0,-3.3780879e-06,36.0,-3.6478162000000004e-06
97.6625,37.0,-2.9597595e-06,37.0,-3.5262774e-06
121.4375,38.0,-2.8907642000000005e-06,38.0,-3.5588185e-06
145.2125,39.0,-4.1444958e-06,39.0,-5.0144943e-06
168.9875,40.0,-5.6536252e-06,40.0,-6.713888099999999e-06
192.7625,41.0,-7.5149252e-06,41.0,-8.7946211e-06
216.5375,42.0,-9.1672959e-06,42.0,-1.0708622e-05
240.3125,43.0,-1.0914093e-05,43.0,-1.2781667999999999e-05
264.0875,44.0,-1.3020498e-05,44.0,-1.5219103e-05
287.8625,45.0,-1.5132315e-05,45.0,-1.778936e-05
311.6375,46.0,-1.431798e-05,46.0,-1.8529589e-05
335.4125,47.0,-6.277209299999999e-06,47.0,-1.4289502e-05
359.1875,48.0,1.0854537e-05,48.0,-3.8988240000000005e-06
382.9625,49.0,4.8407621e-05,49.0,1.7616837000000002e-05
406.7375,50.0,0.0001335205,50.0,7.0625698e-05
430.5125,51.0,0.00029218103,51.0,0.00017631321
454.2875,52.0,0.00055622433,52.0,0.00036246765
478.0625,53.0,0.0009577297800000001,53.0,0.00066041
501.8375,54.0,0.0015257801999999999,54.0,0.0011018876
525.6125,55.0,0.0022812772,55.0,0.0016943397
549.3875,56.0,0.0032309632,56.0,0.0024663670999999997
573.1625,57.0,0.0043679632,57.0,0.0034254819
596.9375,58.0,0.0056660473,58.0,0.0045619981
620.7125,59.0,0.0070859569999999995,59.0,0.005851879
644.4875,60.0,0.008578446,60.0,0.0072225334999999995
668.2625,61.0,0.010091154,61.0,0.0086235069
692.0375,62.0,0.011576371,62.0,0.010035619
715.8125,63.0,0.012992415,63.0,0.011414795
739.5875,64.0,0.014310257,64.0,0.01272649
763.3625,65.0,0.015514702,65.0,0.013947488000000001
787.1375,66.0,0.01658794,66.0,0.015051868999999999
810.9125,67.0,0.017512285,67.0,0.015974555
834.6875,68.0,0.018243335,68.0,0.016693491
858.4625,69.0,0.018657886999999998,69.0,0.017116866
882.2375,70.0,0.018633908,70.0,0.017145428
906.0125,71.0,0.017987037,71.0,0.016614968
929.7875,72.0,0.016822958,72.0,0.015610329
953.5625,73.0,0.015561914,73.0,0.014505466000000002
977.3375,74.0,0.014334215,74.0,0.013416941000000002
1001.1125,75.0,0.013186801000000001,75.0,0.012388511999999999
