,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.0012219638,1,0.09834581699999999
0.00075015,2,-0.15625705,2,-0.13174445
0.00105225,3,-0.11308632,3,-0.094380649
0.001476,4,-0.091350822,4,-0.078506862
0.0020704,5,-0.074332078,5,-0.07659485099999999
0.00290415,6,-0.057946607000000004,6,-0.08017141700000001
0.0040737,7,-0.041303247,7,-0.08234992
0.00571425,8,-0.024417637000000002,8,-0.072044627
0.00801545,9,-0.007761586700000001,9,-0.053148704000000005
0.01124335,10,0.008256269200000001,10,-0.026692787000000003
0.01577115,11,0.023562801,11,0.0054818801
0.02212235,12,0.03915046,12,0.04228143
0.03103125,13,0.060654661,13,0.086772609
0.04352785,14,0.07617462400000001,14,0.1222842
0.061057,15,0.073413072,15,0.1327707
0.0856453,16,0.068762325,16,0.12832343
0.1201355,17,0.070392333,17,0.1165077
0.1685155,18,0.075294767,18,0.098853717
0.2363785,19,0.083673864,19,0.081264821
0.3315485,20,0.098614387,20,0.076522235
0.4651,21,0.13444537,21,0.10738794
0.6524,22,0.12146292,22,0.097394257
0.9151,23,0.063170214,23,0.05153994
1.28365,24,0.030823322,24,0.035189812
1.8006,25,0.016823134,25,0.027778976
2.5257,26,0.0090288214,26,0.019522009
3.5428,27,0.0039255685,27,0.010562523
4.96955,28,0.0016563473000000002,28,0.0033280965
6.97085,29,0.0014175856,29,0.0004387475
9.7781,30,0.0011981199,30,0.00073894884
13.71585,31,0.00061833471,31,0.0013985285999999998
19.23935,32,-0.00010871518,32,0.00089098706
26.98725,33,-0.00025822507999999995,33,0.0004342517
37.8553,34,4.6957115999999995e-05,34,0.00031808998
53.10005,35,0.00013349664,35,2.4899815e-05
73.8875,36,0.00016007595,36,-9.0821115e-05
97.6625,37,0.00018339015,37,-4.7359079e-05
121.4375,38,4.2021826e-05,38,-0.00017717578
145.2125,39,-0.00014439294,39,-0.00036346112999999995
168.9875,40,-0.0002567525,40,-0.00046025622
192.7625,41,-0.00036542432999999997,41,-0.0005703834
216.5375,42,-0.0004832715,42,-0.0007017660400000001
240.3125,43,-0.00062289585,43,-0.0008537661
264.0875,44,-0.0008396498199999999,44,-0.0010775996
287.8625,45,-0.0013033024,45,-0.0015822289999999999
311.6375,46,-0.0016205375,46,-0.0019245233
335.4125,47,-0.0014188341,47,-0.0017437981
359.1875,48,-0.0011162407000000001,48,-0.0014703407000000001
382.9625,49,-0.00094260254,49,-0.0013479542999999998
406.7375,50,-0.00074875849,50,-0.0011859739
430.5125,51,-0.00050734125,51,-0.0009210741699999999
454.2875,52,-0.00020526861000000002,52,-0.0006036360099999999
478.0625,53,0.00016871541000000002,53,-0.0001576424
501.8375,54,0.00062233298,54,0.00025824708
525.6125,55,0.0011591709,55,0.00068603892
549.3875,56,0.0017737283,56,0.0011661305
573.1625,57,0.0024556074,57,0.0017665062
596.9375,58,0.0031825415000000003,58,0.0025302203
620.7125,59,0.0039243588000000005,59,0.0033149308
644.4875,60,0.004649298499999999,60,0.0043138312
668.2625,61,0.005331565,61,0.0051963437
692.0375,62,0.0059582846,62,0.0060355215
715.8125,63,0.006531354200000001,63,0.0068007119999999996
739.5875,64,0.007073554100000001,64,0.0075019656
763.3625,65,0.0076247429,65,0.0081732551
787.1375,66,0.0082385723,66,0.008865124200000001
810.9125,67,0.008989457099999999,67,0.0096594651
834.6875,68,0.0099174604,68,0.01060716
858.4625,69,0.01081702,69,0.011225916
882.2375,70,0.011108753,70,0.011489603999999999
906.0125,71,0.01027168,71,0.010454134
929.7875,72,0.0086183154,72,0.0084283162
953.5625,73,0.006870736,73,0.00657306
977.3375,74,0.0052803788,74,0.004526005
1001.1125,75,0.0032682625,75,0.002487555
