,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-1.1649417,0.0,-1.1649417,-1.1460638,8.3794831e-09,-1.1460638
0.0006244,2,-1.1649573999999998,1.5664009000000002e-05,-1.1649417,-1.1460866000000003,3.0136697e-05,-1.1460565
0.0008759,3,-1.1649655,1.9100519e-05,-1.1649464,-1.1460981000000001,3.7658993e-05,-1.1460603999999999
0.0012286,4,-1.1649764,2.5265764e-05,-1.1649511000000001,-1.1461131000000002,4.8741387000000005e-05,-1.1460643999999998
0.0017234,5,-1.1649909,3.4458198e-05,-1.1649565,-1.1461328000000002,6.380974400000001e-05,-1.146069
0.0024174,6,-1.1650103,4.7673211e-05,-1.1649626,-1.1461583,8.307932699999999e-05,-1.1460753000000001
0.0033909,7,-1.1650358,6.6519174e-05,-1.1649693,-1.1461914,0.00010689758,-1.1460845
0.0047565,8,-1.1650693,9.334001899999999e-05,-1.164976,-1.1462344,0.00013659301999999999,-1.1460978000000002
0.006672,9,-1.1651129,0.0001314249,-1.1649815000000001,-1.1462898000000001,0.00017565885,-1.1461142
0.0093589,10,-1.1651692,0.00018525753,-1.164984,-1.1463603999999998,0.00022934726000000002,-1.1461311
0.0131278,11,-1.1652411,0.00026077825,-1.1649803,-1.1464492,0.0003061664,-1.1461430000000001
0.0184145,12,-1.1653312,0.00036572745000000004,-1.1649655,-1.1465589,0.00041934666,-1.1461396000000001
0.0258302,13,-1.1654414,0.00051025221,-1.1649311000000002,-1.1466913,0.0005888749099999999,-1.1461024
0.0362323,14,-1.165564,0.0007076514599999999,-1.1648564,-1.146839,0.00084352493,-1.1459955
0.0508234,15,-1.1656876,0.00096291504,-1.1647246999999998,-1.1469931,0.0012090010000000001,-1.1457841
0.0712906,16,-1.1658177,0.0012709494,-1.1645466999999998,-1.1471607,0.0016985301,-1.1454621999999999
0.1,17,-1.1659614999999999,0.0016486327,-1.1643128999999999,-1.1473497,0.0023239145,-1.1450257
0.140271,18,-1.1661111000000002,0.0021340419,-1.1639771,-1.1475543,0.0030843537,-1.1444698999999998
0.19676,19,-1.1662458,0.0027725917,-1.1634733,-1.1477589,0.0039505727,-1.1438083000000001
0.275997,20,-1.1663166999999999,0.0036288287,-1.1626878999999999,-1.1479306,0.00488509,-1.1430455
0.3871,21,-1.1661848999999997,0.0047948683,-1.16139,-1.1479403000000001,0.0059020048,-1.1420383
0.5431,22,-1.1652668,0.006361219499999999,-1.1589056,-1.1471228999999998,0.0070692878,-1.1400536000000001
0.7617,23,-1.1634423,0.0076819759,-1.1557603,-1.1452944999999999,0.00776313,-1.1375313999999999
1.0685,24,-1.1615367,0.008072149,-1.1534645000000001,-1.1433738000000002,0.0077157177,-1.1356581000000001
1.4988,25,-1.1598499,0.007956469300000001,-1.1518933999999998,-1.1416566000000001,0.0077924351,-1.1338641999999999
2.1024,26,-1.1583608,0.0076702227,-1.1506905,-1.1400909,0.008213101700000001,-1.1318778
2.949,27,-1.1570707,0.0072856601,-1.1497851000000001,-1.1386690000000002,0.0087491922,-1.1299198000000001
4.1366,28,-1.156061,0.0068281459,-1.1492328,-1.1374728,0.009039050600000001,-1.1284337
5.8025,29,-1.1553377,0.0064317202,-1.148906,-1.1365488000000001,0.0087719018,-1.1277768999999997
8.1392,30,-1.154754,0.006240457099999999,-1.1485136,-1.1357461000000002,0.0080906733,-1.1276553999999999
11.417,31,-1.1542421999999999,0.0061938518000000005,-1.1480483999999997,-1.1349895,0.0076209878,-1.1273685
16.0147,32,-1.153887,0.0061753974,-1.1477116000000003,-1.1344199,0.0078132062,-1.1266067
22.464,33,-1.1539788999999998,0.0061842691000000005,-1.1477947,-1.1344446000000001,0.008518648699999999,-1.125926
