,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-16.337494,0.0,-16.337494,,,
1e-08,1,,,,-16.241721,1.2831124e-06,-16.24172
0.0006244,2,-16.337526,3.5692694e-05,-16.33749,-16.241749,2.6496669999999998e-05,-16.241723
0.0008759,3,-16.337538000000002,5.0684925e-05,-16.337488,-16.241761,3.7204185000000004e-05,-16.241723
0.0012286,4,-16.337556,7.3994533e-05,-16.337482,-16.241776,5.3936598e-05,-16.241722
0.0017234,5,-16.337579,0.0001101481,-16.337469,-16.241798,8.0047441e-05,-16.241718
0.0024174,6,-16.337612,0.00016589311,-16.337446,-16.241827,0.00012065038999999999,-16.241706
0.0033909,7,-16.337654,0.00025130788,-16.337403,-16.241866,0.00018356941000000003,-16.241682
0.0047565,8,-16.337711,0.00038111004,-16.337329999999998,-16.241918,0.00028121967,-16.241637
0.006672,9,-16.337785,0.0005763483599999999,-16.337209,-16.241985999999997,0.00043243685,-16.241554
0.0093589,10,-16.337879,0.0008664517300000001,-16.337013,-16.242075,0.00066496727,-16.241410000000002
0.0131278,11,-16.337998000000002,0.0012911091,-16.336706,-16.242186,0.0010193257,-16.241167
0.0184145,12,-16.338141,0.0019015429,-16.336239000000003,-16.242321,0.0015532109,-16.240768
0.0258302,13,-16.338307999999998,0.0027602878999999996,-16.335547000000002,-16.242479,0.002345626,-16.240133
0.0362323,14,-16.338486,0.0039379703,-16.334548,-16.24265,0.0034972938,-16.239152
0.0508234,15,-16.338665,0.0054860005,-16.333179,-16.242822,0.0051039899,-16.237718
0.0712906,16,-16.338842,0.0074115604,-16.331431,-16.242994,0.0072125856999999995,-16.235781
0.1,17,-16.339015,0.0097198139,-16.329295000000002,-16.243159,0.0098149603,-16.233344
0.140271,18,-16.339153,0.012442286,-16.326711,-16.243287,0.012836463999999999,-16.230451000000002
0.19676,19,-16.339198,0.015632081000000003,-16.323566,-16.243322,0.016133658999999998,-16.227188
0.275997,20,-16.339032999999997,0.019389794,-16.319643,-16.243153,0.019607178,-16.223546
0.3871,21,-16.338389000000003,0.023906844,-16.314482,-16.242515,0.02340711,-16.219108
0.5431,22,-16.336412,0.029480672000000003,-16.306932,-16.240526000000003,0.02804626,-16.21248
0.7617,23,-16.332806,0.035338563999999996,-16.297467,-16.236804,0.033137035,-16.203667000000003
1.0685,24,-16.328615,0.040497259,-16.288117,-16.23239,0.0379929,-16.194397
1.4988,25,-16.32433,0.045640520999999996,-16.27869,-16.227798,0.043268914000000006,-16.184529
2.1024,26,-16.319972,0.051536255999999996,-16.268435999999998,-16.223041000000002,0.049421139,-16.173619
2.949,27,-16.315642999999998,0.058468545,-16.257175,-16.218226,0.05652099,-16.161704999999998
4.1366,28,-16.311799,0.066575652,-16.245223,-16.21376,0.06495155400000001,-16.148809
5.8025,29,-16.308809,0.076630959,-16.232178,-16.209947,0.075903253,-16.134044
8.1392,30,-16.306398,0.090150652,-16.216248,-16.20644,0.091447229,-16.114993
11.417,31,-16.304562,0.10808063,-16.196482,-16.203227,0.11234876,-16.090879
16.0147,32,-16.304237,0.1309254,-16.173310999999998,-16.201370999999998,0.13786698,-16.063504000000002
22.464,33,-16.307938,0.15986844,-16.14807,-16.203729,0.16694718,-16.036781
31.5105,34,-16.317472,0.20004815,-16.117424,-16.212293,0.20273426,-16.009558
44.2001,35,-16.332376999999997,0.25934755,-16.07303,-16.226055,0.25175183,-15.974302999999999
62.0,36,-16.353986,0.34345734,-16.010528,-16.246441,0.32413309,-15.922308
85.775,37,-16.383177,0.45533915,-15.927838000000001,-16.274728,0.43299348,-15.841735
109.55,38,-16.412615,0.56640296,-15.846212,-16.304041,0.55052126,-15.753520000000002
