,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.00015480226999999998,,
0.000312205,,,1.0,-0.0002633043
0.00075015,2.0,-0.00012613889999999999,2.0,-0.00035383254
0.00105225,3.0,-5.2512355e-05,3.0,-0.00015389136999999998
0.001476,4.0,4.7525712000000004e-05,4.0,-8.3097236e-05
0.0020704,5.0,0.00017875229,5.0,2.2907896e-06
0.00290415,6.0,0.00034766807,6.0,0.00010731518
0.0040737,7.0,0.00056183147,7.0,0.00024381598999999998
0.00571425,8.0,0.0008298221000000001,8.0,0.00042570009000000007
0.00801545,9.0,0.0011618716,9.0,0.00065404393
0.01124335,10.0,0.0015698273,10.0,0.0009324555800000001
0.01577115,11.0,0.0020673351,11.0,0.0012688786
0.02212235,12.0,0.0026697192999999998,12.0,0.0016752447
0.03103125,13.0,0.0033911542,13.0,0.0021624183
0.04352785,14.0,0.0041462749,14.0,0.0026694214
0.061057,15.0,0.0048146896,15.0,0.0031199213
0.0856453,16.0,0.0054475089,16.0,0.0035550866999999996
0.1201355,17.0,0.006138462,17.0,0.0040255812
0.1685155,18.0,0.006890162900000001,18.0,0.0045235889
0.2363785,19.0,0.0077106574,19.0,0.0050454158
0.3315485,20.0,0.0086000973,20.0,0.0055924719
0.4651,21.0,0.0094573755,21.0,0.0061688576
0.6524,22.0,0.0086761614,22.0,0.0057937358
0.9151,23.0,0.0061414571999999995,23.0,0.004174671
1.28365,24.0,0.0038636456,24.0,0.0026494189
1.8006,25.0,0.0022913907999999998,25.0,0.0015710306
2.5257,26.0,0.0012366493,26.0,0.0008375943300000001
3.5428,27.0,0.0005541103400000001,27.0,0.00035297876000000005
4.96955,28.0,0.00017337657,28.0,7.7473144e-05
6.97085,29.0,-1.2214579e-05,29.0,-6.192378099999999e-05
9.7781,30.0,-0.00011972301,30.0,-0.00014604302
13.71585,31.0,-0.00019492387999999998,31.0,-0.00020669263999999998
19.23935,32.0,-0.00024554637999999997,32.0,-0.0002482081
26.98725,33.0,-0.00026483961,33.0,-0.00026396501
37.8553,34.0,-0.00026071662999999995,34.0,-0.00025759884
53.10005,35.0,-0.0002529832,35.0,-0.00026210338
73.8875,36.0,-0.00024717647999999997,36.0,-0.00026661034
97.6625,37.0,-0.0002469701,37.0,-0.00026351828
121.4375,38.0,-0.00025945411,38.0,-0.00026487900000000004
145.2125,39.0,-0.00027947525000000003,39.0,-0.00026771372000000004
168.9875,40.0,-0.00029759371,40.0,-0.00027058808999999996
192.7625,41.0,-0.00031416939999999997,41.0,-0.00027502543
216.5375,42.0,-0.00032904684,42.0,-0.00028586226
240.3125,43.0,-0.00034284497000000005,43.0,-0.00029872972
264.0875,44.0,-0.0003559333,44.0,-0.00030976019
287.8625,45.0,-0.00036460787,45.0,-0.00031581033999999997
311.6375,46.0,-0.00034246383000000004,46.0,-0.00029357887
335.4125,47.0,-0.00026019075,47.0,-0.00021332822
359.1875,48.0,-0.00012022723,48.0,-8.5323746e-05
382.9625,49.0,7.6007508e-05,49.0,8.637268e-05
406.7375,50.0,0.00035478522000000003,50.0,0.00032230904
430.5125,51.0,0.00074247765,51.0,0.00064016397
454.2875,52.0,0.0012707349,52.0,0.0010729611
478.0625,53.0,0.00197076,53.0,0.0016544235
501.8375,54.0,0.0028697113,54.0,0.0024156945
525.6125,55.0,0.0039852142,55.0,0.0033347283
549.3875,56.0,0.0053194485,56.0,0.0044620577
573.1625,57.0,0.006859381899999999,57.0,0.005801614
596.9375,58.0,0.0085712676,58.0,0.0073382426
620.7125,59.0,0.010407984,59.0,0.0090411104
644.4875,60.0,0.012312141,60.0,0.01080845
668.2625,61.0,0.014224967,61.0,0.012586391
692.0375,62.0,0.016095407,62.0,0.014369445
715.8125,63.0,0.017880098,63.0,0.016111223
739.5875,64.0,0.019550263999999998,64.0,0.017777109
763.3625,65.0,0.021091937999999998,65.0,0.019344384
787.1375,66.0,0.022487764,66.0,0.020786794
810.9125,67.0,0.023716526,67.0,0.022016317
834.6875,68.0,0.024719616,68.0,0.023006687
858.4625,69.0,0.025338972999999997,69.0,0.02364134
882.2375,70.0,0.025401184,70.0,0.023772827000000003
906.0125,71.0,0.024693218,71.0,0.023207445
929.7875,72.0,0.023345841000000003,72.0,0.022050972999999998
953.5625,73.0,0.021834654,73.0,0.020726563
977.3375,74.0,0.020334691000000002,74.0,0.019392512
1001.1125,75.0,0.018915187,75.0,0.018113277
