,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,0.20093939,,
0.000312205,,,1.0,0.12683189
0.00075015,2.0,0.22872283,2.0,0.15295232
0.00105225,3.0,0.309656,3.0,0.21395393
0.001476,4.0,0.39892919,4.0,0.28228391
0.0020704,5.0,0.49475146,5.0,0.35717465
0.00290415,6.0,0.59543225,6.0,0.43832506
0.0040737,7.0,0.69839718,7.0,0.52811368
0.00571425,8.0,0.80012595,8.0,0.62505651
0.00801545,9.0,0.89630816,9.0,0.72524816
0.01124335,10.0,0.98162152,10.0,0.82521292
0.01577115,11.0,1.0502755,11.0,0.92019339
0.02212235,12.0,1.0970212,12.0,1.0037178
0.03103125,13.0,1.1184686000000001,13.0,1.0664287000000001
0.04352785,14.0,1.0904610000000001,14.0,1.0789748
0.061057,15.0,0.99887544,15.0,1.0172237
0.0856453,16.0,0.88226444,16.0,0.9017166
0.1201355,17.0,0.77470021,17.0,0.76338234
0.1685155,18.0,0.68661797,18.0,0.62971202
0.2363785,19.0,0.62512757,19.0,0.53298215
0.3315485,20.0,0.59693099,20.0,0.49653902
0.4651,21.0,0.61552481,21.0,0.53038799
0.6524,22.0,0.55920625,22.0,0.51280254
0.9151,23.0,0.41794701,23.0,0.41116487
1.28365,24.0,0.31279163,24.0,0.3222321
1.8006,25.0,0.24570881,25.0,0.25640561
2.5257,26.0,0.19479238,26.0,0.2039196
3.5428,27.0,0.15108835,27.0,0.1634793
4.96955,28.0,0.12019497,28.0,0.13791893
6.97085,29.0,0.10458508,29.0,0.12737809
9.7781,30.0,0.092568427,30.0,0.11574693
13.71585,31.0,0.078716656,31.0,0.09659024699999999
19.23935,32.0,0.06391448200000001,32.0,0.07279744
26.98725,33.0,0.057151420999999994,33.0,0.057860444000000004
37.8553,34.0,0.058664720999999996,34.0,0.054564111
53.10005,35.0,0.059094278,35.0,0.056817784
73.8875,36.0,0.05847332,36.0,0.062717832
97.6625,37.0,0.057145857,37.0,0.065310806
121.4375,38.0,0.052768647,38.0,0.061140399000000005
145.2125,39.0,0.047673228,39.0,0.054255202
168.9875,40.0,0.043314621,40.0,0.047834141
192.7625,41.0,0.03900873,41.0,0.041737727999999995
216.5375,42.0,0.034125531,42.0,0.035582703
240.3125,43.0,0.02856121,43.0,0.028873209
264.0875,44.0,0.021656044,44.0,0.020856879
287.8625,45.0,0.01262859,45.0,0.010922899
311.6375,46.0,0.01039493,46.0,0.0081662138
335.4125,47.0,0.020522975,47.0,0.018162649
359.1875,48.0,0.034016765,48.0,0.03164001
382.9625,49.0,0.049133717,49.0,0.046076442
406.7375,50.0,0.06666281,50.0,0.062227921
430.5125,51.0,0.084601662,51.0,0.07874537
454.2875,52.0,0.10216401,52.0,0.095343806
478.0625,53.0,0.11880498,53.0,0.11139437
501.8375,54.0,0.13431311,54.0,0.12585588
525.6125,55.0,0.14860713,55.0,0.13826417
549.3875,56.0,0.16156735,56.0,0.14952157
573.1625,57.0,0.17312141,57.0,0.16041947
596.9375,58.0,0.18302869,58.0,0.17079769
620.7125,59.0,0.19106452,59.0,0.17970614
644.4875,60.0,0.19703409,60.0,0.18645098
668.2625,61.0,0.20087048,61.0,0.19068647
692.0375,62.0,0.20271669,62.0,0.1927116
715.8125,63.0,0.20284556,63.0,0.19301821
739.5875,64.0,0.20172737,64.0,0.19228208
763.3625,65.0,0.19996601,65.0,0.19111929
787.1375,66.0,0.19815013,66.0,0.19000492
810.9125,67.0,0.19687242,67.0,0.18961724
834.6875,68.0,0.19619865,68.0,0.18977838
858.4625,69.0,0.19432414,69.0,0.18852873
882.2375,70.0,0.18756869,70.0,0.18246279
906.0125,71.0,0.17247344,71.0,0.16840306
929.7875,72.0,0.15113972,72.0,0.14835326
953.5625,73.0,0.12905669,73.0,0.1274584
977.3375,74.0,0.10806105,74.0,0.10751567
1001.1125,75.0,0.085914209,75.0,0.086524437
