,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.704359,0.0,-19.704359,-19.778942999999998,4.5232068999999996e-08,-19.778942999999998
0.0006244,2,-19.704394,4.9973595999999994e-05,-19.704344,-19.778971,3.7623159000000004e-05,-19.778934
0.0008759,3,-19.704407999999997,7.089536299999999e-05,-19.704337,-19.778982,5.3472965999999995e-05,-19.778929
0.0012286,4,-19.704428,0.00010317163000000001,-19.704325,-19.778998,7.7904251e-05,-19.77892
0.0017234,5,-19.704454000000002,0.00015283969999999999,-19.704301,-19.779019,0.00011550552,-19.778904
0.0024174,6,-19.704489000000002,0.00022888584,-19.70426,-19.779047,0.00017318263,-19.778874
0.0033909,7,-19.704535999999997,0.00034462267,-19.704192000000003,-19.779085000000002,0.0002613448,-19.778824
0.0047565,8,-19.704598,0.0005194239599999999,-19.704079,-19.779134,0.00039628925,-19.778738
0.006672,9,-19.704678,0.00078089533,-19.703897,-19.779199,0.00060236369,-19.778596
0.0093589,10,-19.70478,0.0011675434,-19.703612,-19.77928,0.00091477148,-19.778366000000002
0.0131278,11,-19.704905,0.0017312764,-19.703174,-19.779381,0.0013838842000000002,-19.777997
0.0184145,12,-19.705054999999998,0.0025392609,-19.702516,-19.779501,0.0020797755,-19.777421
0.0258302,13,-19.705226,0.0036739292,-19.701552,-19.779635,0.0030956395,-19.776539
0.0362323,14,-19.705404,0.0052295972999999996,-19.700174,-19.779771,0.0045458145,-19.775225
0.0508234,15,-19.70557,0.007280609300000001,-19.698289000000003,-19.779892999999998,0.006533194799999999,-19.77336
0.0712906,16,-19.70572,0.009852758199999999,-19.695868,-19.779995,0.0091009574,-19.770894000000002
0.1,17,-19.705842,0.01297487,-19.692867,-19.780059,0.012232168,-19.767827
0.140271,18,-19.705889000000003,0.016717748,-19.689172,-19.780042,0.015857108,-19.764185
0.19676,19,-19.705778,0.021201084,-19.684576999999997,-19.779866000000002,0.019895183,-19.759971
0.275997,20,-19.70535,0.026640471000000002,-19.678709,-19.779391,0.024422192000000002,-19.754969
0.3871,21,-19.704261,0.033408027,-19.670853,-19.778317,0.029882593,-19.748434
0.5431,22,-19.701519,0.04203996,-19.659479,-19.775760000000002,0.037126598999999996,-19.738633
0.7617,23,-19.696762,0.051764008,-19.644998,-19.771335999999998,0.045981058,-19.725355
1.0685,24,-19.691157999999998,0.061348539,-19.629808999999998,-19.766023,0.055608037,-19.710415
1.4988,25,-19.685283,0.07141793099999999,-19.613865,-19.760329000000002,0.06633782099999999,-19.693991
2.1024,26,-19.679195999999997,0.082899307,-19.596297,-19.754303,0.078644457,-19.675659
2.949,27,-19.673094,0.09633217699999999,-19.576762,-19.748141,0.09293163900000001,-19.655209
4.1366,28,-19.667661,0.11215429,-19.555507000000002,-19.742425,0.11021118,-19.632214
5.8025,29,-19.663487,0.13169858,-19.531788,-19.737652999999998,0.13264717,-19.605006
8.1392,30,-19.660313000000002,0.15747346,-19.502839,-19.733538,0.16378768,-19.56975
11.417,31,-19.658307,0.19141,-19.466897,-19.730282,0.20547687,-19.524804999999997
16.0147,32,-19.659022,0.23499652,-19.424025,-19.729585,0.25737964,-19.472205
22.464,33,-19.666156,0.29095928,-19.375197,-19.73547,0.31886623,-19.416604
31.5105,34,-19.682185,0.36823326,-19.313952,-19.750645000000002,0.39605401,-19.354591
44.2001,35,-19.706317000000002,0.4805479,-19.225769,-19.773935,0.50136528,-19.27257
62.0,36,-19.740216,0.63904935,-19.101167,-19.807247,0.65448309,-19.152764
85.775,37,-19.78456,0.84807276,-18.936488,-19.851661,0.87548114,-18.97618
109.55,38,-19.827966,1.0524189,-18.775547,-19.895703,1.1034217,-18.792282
