,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.704359,0.0,-19.704359,,,
1e-08,1,,,,-19.778776999999998,1.8878816000000001e-06,-19.778775
0.0006244,2,-19.704394,4.9973595999999994e-05,-19.704344,-19.778805,3.9469822e-05,-19.778766
0.0008759,3,-19.704407999999997,7.089536299999999e-05,-19.704337,-19.778817,5.532138e-05,-19.778761
0.0012286,4,-19.704428,0.00010317163000000001,-19.704325,-19.778832,7.9755553e-05,-19.778753
0.0017234,5,-19.704454000000002,0.00015283969999999999,-19.704301,-19.778853,0.000117363,-19.778736
0.0024174,6,-19.704489000000002,0.00022888584,-19.70426,-19.778882,0.0001750477,-19.778707
0.0033909,7,-19.704535999999997,0.00034462267,-19.704192000000003,-19.778919000000002,0.00026322199,-19.778655999999998
0.0047565,8,-19.704598,0.0005194239599999999,-19.704079,-19.778969,0.00039819311,-19.778571
0.006672,9,-19.704678,0.00078089533,-19.703897,-19.779033,0.0006043024400000001,-19.778429
0.0093589,10,-19.70478,0.0011675434,-19.703612,-19.779115,0.0009167561800000001,-19.778198
0.0131278,11,-19.704905,0.0017312764,-19.703174,-19.779215,0.0013859379000000002,-19.777829
0.0184145,12,-19.705054999999998,0.0025392609,-19.702516,-19.779335,0.0020819294,-19.777252999999998
0.0258302,13,-19.705226,0.0036739292,-19.701552,-19.779469,0.0030979329999999998,-19.776370999999997
0.0362323,14,-19.705404,0.0052295972999999996,-19.700174,-19.779605,0.0045482903000000005,-19.775057
0.0508234,15,-19.70557,0.007280609300000001,-19.698289000000003,-19.779728,0.0065359268,-19.773192
0.0712906,16,-19.70572,0.009852758199999999,-19.695868,-19.779829,0.0091039588,-19.770726
0.1,17,-19.705842,0.01297487,-19.692867,-19.779894,0.012235282,-19.767659
0.140271,18,-19.705889000000003,0.016717748,-19.689172,-19.779877,0.015860244,-19.764017000000003
0.19676,19,-19.705778,0.021201084,-19.684576999999997,-19.779701,0.019898311000000002,-19.759802
0.275997,20,-19.70535,0.026640471000000002,-19.678709,-19.779225,0.024425874,-19.754799
0.3871,21,-19.704261,0.033408027,-19.670853,-19.778151,0.029886929,-19.748264000000002
0.5431,22,-19.701519,0.04203996,-19.659479,-19.775593,0.037132066,-19.738460999999997
0.7617,23,-19.696762,0.051764008,-19.644998,-19.77117,0.045988365999999996,-19.725181
1.0685,24,-19.691157999999998,0.061348539,-19.629808999999998,-19.765855,0.055618299,-19.710237
1.4988,25,-19.685283,0.07141793099999999,-19.613865,-19.76016,0.066349984,-19.69381
2.1024,26,-19.679195999999997,0.082899307,-19.596297,-19.754134,0.078658509,-19.675475
2.949,27,-19.673094,0.09633217699999999,-19.576762,-19.747971,0.09294826699999999,-19.655023
4.1366,28,-19.667661,0.11215429,-19.555507000000002,-19.742255,0.11023253,-19.632022
5.8025,29,-19.663487,0.13169858,-19.531788,-19.737478,0.13267564,-19.604803
8.1392,30,-19.660313000000002,0.15747346,-19.502839,-19.733362,0.16382063,-19.569541
11.417,31,-19.658307,0.19141,-19.466897,-19.730109,0.20551418,-19.524594
16.0147,32,-19.659022,0.23499652,-19.424025,-19.729409,0.25742652,-19.471982999999998
22.464,33,-19.666156,0.29095928,-19.375197,-19.735287,0.31892448,-19.416362
31.5105,34,-19.682185,0.36823326,-19.313952,-19.750464,0.3961128,-19.354351
44.2001,35,-19.706317000000002,0.4805479,-19.225769,-19.773759,0.50143541,-19.272323999999998
62.0,36,-19.740216,0.63904935,-19.101167,-19.807089,0.65457905,-19.15251
85.775,37,-19.78456,0.84807276,-18.936488,-19.851497,0.87563944,-18.975858
109.55,38,-19.827966,1.0524189,-18.775547,-19.895525,1.1036223,-18.791903
