,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.704359,0.0,-19.704359,,,
1e-08,1,,,,-19.975005,2.1628761999999998e-07,-19.975005
0.0006244,2,-19.704394,4.9973595999999994e-05,-19.704344,-19.979553,0.010586578000000001,-19.968966
0.0008759,3,-19.704407999999997,7.089536299999999e-05,-19.704337,-19.990115,0.035694124,-19.954421
0.0012286,4,-19.704428,0.00010317163000000001,-19.704325,-20.003687,0.070685703,-19.933001
0.0017234,5,-19.704454000000002,0.00015283969999999999,-19.704301,-20.020966,0.11875874,-19.902207
0.0024174,6,-19.704489000000002,0.00022888584,-19.70426,-20.042778,0.18374472,-19.859033
0.0033909,7,-19.704535999999997,0.00034462267,-19.704192000000003,-20.070052,0.2702335,-19.799819
0.0047565,8,-19.704598,0.0005194239599999999,-19.704079,-20.103803,0.38386299,-19.71994
0.006672,9,-19.704678,0.00078089533,-19.703897,-20.145073,0.53191838,-19.613154
0.0093589,10,-19.70478,0.0011675434,-19.703612,-20.194825,0.72416769,-19.470657
0.0131278,11,-19.704905,0.0017312764,-19.703174,-20.253733,0.97342662,-19.280306
0.0184145,12,-19.705054999999998,0.0025392609,-19.702516,-20.321799,1.2948145,-19.026985
0.0258302,13,-19.705226,0.0036739292,-19.701552,-20.397498000000002,1.7036641,-18.693834
0.0362323,14,-19.705404,0.0052295972999999996,-19.700174,-20.47508,2.2144633,-18.260617
0.0508234,15,-19.70557,0.007280609300000001,-19.698289000000003,-20.548863,2.8372971000000002,-17.711566
0.0712906,16,-19.70572,0.009852758199999999,-19.695868,-20.621215,3.5811674,-17.040047
0.1,17,-19.705842,0.01297487,-19.692867,-20.693075,4.4696672,-16.223408
0.140271,18,-19.705889000000003,0.016717748,-19.689172,-20.756164000000002,5.5309745999999995,-15.22519
0.19676,19,-19.705778,0.021201084,-19.684576999999997,-20.794866,6.776776400000001,-14.018089999999999
0.275997,20,-19.70535,0.026640471000000002,-19.678709,-20.778893,8.2044944,-12.574399
0.3871,21,-19.704261,0.033408027,-19.670853,-20.637504999999997,9.8213163,-10.816189
0.5431,22,-19.701519,0.04203996,-19.659479,-20.136865,11.642352,-8.4945133
0.7617,23,-19.696762,0.051764008,-19.644998,-19.194536,13.380002,-5.8145348
1.0685,24,-19.691157999999998,0.061348539,-19.629808999999998,-18.091878,14.654459,-3.4374195
1.4988,25,-19.685283,0.07141793099999999,-19.613865,-16.972711,15.485313,-1.4873983
2.1024,26,-19.679195999999997,0.082899307,-19.596297,-15.858707999999998,15.883833,0.02512521
2.949,27,-19.673094,0.09633217699999999,-19.576762,-14.785175,15.795841000000001,1.0106667999999999
4.1366,28,-19.667661,0.11215429,-19.555507000000002,-13.874579999999998,15.224545999999998,1.3499659
5.8025,29,-19.663487,0.13169858,-19.531788,-13.208785,14.375388000000001,1.1666034
8.1392,30,-19.660313000000002,0.15747346,-19.502839,-12.675396000000001,13.558176999999999,0.88278118
11.417,31,-19.658307,0.19141,-19.466897,-12.189269,12.863689,0.67442043
16.0147,32,-19.659022,0.23499652,-19.424025,-11.786469,12.270052,0.48358212
22.464,33,-19.666156,0.29095928,-19.375197,-11.676905,11.806483,0.12957787
31.5105,34,-19.682185,0.36823326,-19.313952,-11.885191,11.676363,-0.20882882
44.2001,35,-19.706317000000002,0.4805479,-19.225769,-12.169648,11.884045,-0.28560234
62.0,36,-19.740216,0.63904935,-19.101167,-12.455469,12.169466,-0.28600299
85.775,37,-19.78456,0.84807276,-18.936488,-12.673511999999999,12.455457000000001,-0.21805492
109.55,38,-19.827966,1.0524189,-18.775547,-12.753534,12.673511999999999,-0.08002182
133.325,39,-19.873644,1.2467108,-18.626932999999998,-12.756621,12.753534,-0.0030875056
