,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.704359,0.0,-19.704359,,,
1e-08,1,,,,-19.778778,1.8878805e-06,-19.778776
0.0006244,2,-19.704394,4.9973595999999994e-05,-19.704344,-19.778806,3.94698e-05,-19.778767000000002
0.0008759,3,-19.704407999999997,7.089536299999999e-05,-19.704337,-19.778817999999998,5.5321348e-05,-19.778762
0.0012286,4,-19.704428,0.00010317163000000001,-19.704325,-19.778833,7.9755508e-05,-19.778753
0.0017234,5,-19.704454000000002,0.00015283969999999999,-19.704301,-19.778854,0.00011736293,-19.778737
0.0024174,6,-19.704489000000002,0.00022888584,-19.70426,-19.778882,0.00017504761000000004,-19.778707
0.0033909,7,-19.704535999999997,0.00034462267,-19.704192000000003,-19.77892,0.00026322186000000004,-19.778657
0.0047565,8,-19.704598,0.0005194239599999999,-19.704079,-19.77897,0.00039819290999999995,-19.778571
0.006672,9,-19.704678,0.00078089533,-19.703897,-19.779034,0.0006043021299999999,-19.778429
0.0093589,10,-19.70478,0.0011675434,-19.703612,-19.779115,0.00091675573,-19.778199
0.0131278,11,-19.704905,0.0017312764,-19.703174,-19.779216,0.0013859375,-19.777829999999998
0.0184145,12,-19.705054999999998,0.0025392609,-19.702516,-19.779335999999997,0.0020819281,-19.777254
0.0258302,13,-19.705226,0.0036739292,-19.701552,-19.77947,0.0030979313,-19.776372
0.0362323,14,-19.705404,0.0052295972999999996,-19.700174,-19.779606,0.0045482885,-19.775057999999998
0.0508234,15,-19.70557,0.007280609300000001,-19.698289000000003,-19.779729,0.0065359247,-19.773193
0.0712906,16,-19.70572,0.009852758199999999,-19.695868,-19.77983,0.0091039576,-19.770726
0.1,17,-19.705842,0.01297487,-19.692867,-19.779895,0.012235282,-19.767659
0.140271,18,-19.705889000000003,0.016717748,-19.689172,-19.779878,0.015860242,-19.764017000000003
0.19676,19,-19.705778,0.021201084,-19.684576999999997,-19.779701,0.019898309,-19.759803
0.275997,20,-19.70535,0.026640471000000002,-19.678709,-19.779226,0.024425872,-19.7548
0.3871,21,-19.704261,0.033408027,-19.670853,-19.778151,0.02988693,-19.748264000000002
0.5431,22,-19.701519,0.04203996,-19.659479,-19.775594,0.037132066,-19.738462
0.7617,23,-19.696762,0.051764008,-19.644998,-19.77117,0.045988364000000004,-19.725182
1.0685,24,-19.691157999999998,0.061348539,-19.629808999999998,-19.765856,0.055618295,-19.710238
1.4988,25,-19.685283,0.07141793099999999,-19.613865,-19.760161,0.066349978,-19.693811
2.1024,26,-19.679195999999997,0.082899307,-19.596297,-19.754134,0.078658505,-19.675476
2.949,27,-19.673094,0.09633217699999999,-19.576762,-19.747972,0.092948268,-19.655023999999997
4.1366,28,-19.667661,0.11215429,-19.555507000000002,-19.742256,0.11023254,-19.632023
5.8025,29,-19.663487,0.13169858,-19.531788,-19.737479,0.13267565,-19.604804
8.1392,30,-19.660313000000002,0.15747346,-19.502839,-19.733362,0.16382063,-19.569542000000002
11.417,31,-19.658307,0.19141,-19.466897,-19.730109,0.20551418,-19.524595
16.0147,32,-19.659022,0.23499652,-19.424025,-19.72941,0.2574265,-19.471984
22.464,33,-19.666156,0.29095928,-19.375197,-19.735288,0.31892448,-19.416363
31.5105,34,-19.682185,0.36823326,-19.313952,-19.750465,0.39611279,-19.354352
44.2001,35,-19.706317000000002,0.4805479,-19.225769,-19.77376,0.50143533,-19.272323999999998
62.0,36,-19.740216,0.63904935,-19.101167,-19.807089,0.65457912,-19.15251
85.775,37,-19.78456,0.84807276,-18.936488,-19.851498,0.87563952,-18.975859
109.55,38,-19.827966,1.0524189,-18.775547,-19.895526,1.1036224,-18.791904000000002
