,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,0.20093939,,
0.000312205,,,1.0,0.0
0.00075015,2.0,0.22872283,2.0,0.0
0.00105225,3.0,0.309656,3.0,0.0
0.001476,4.0,0.39892919,4.0,0.0
0.0020704,5.0,0.49475146,5.0,0.0
0.00290415,6.0,0.59543225,6.0,0.0
0.0040737,7.0,0.69839718,7.0,0.0
0.00571425,8.0,0.80012595,8.0,0.0
0.00801545,9.0,0.89630816,9.0,0.0
0.01124335,10.0,0.98162152,10.0,0.0
0.01577115,11.0,1.0502755,11.0,0.0
0.02212235,12.0,1.0970212,12.0,0.0
0.03103125,13.0,1.1184686000000001,13.0,0.0
0.04352785,14.0,1.0904610000000001,14.0,0.0
0.061057,15.0,0.99887544,15.0,0.0
0.0856453,16.0,0.88226444,16.0,0.0
0.1201355,17.0,0.77470021,17.0,0.0
0.1685155,18.0,0.68661797,18.0,0.0
0.2363785,19.0,0.62512757,19.0,0.0
0.3315485,20.0,0.59693099,20.0,0.0
0.4651,21.0,0.61552481,21.0,0.0
0.6524,22.0,0.55920625,22.0,0.0
0.9151,23.0,0.41794701,23.0,0.0
1.28365,24.0,0.31279163,24.0,0.0
1.8006,25.0,0.24570881,25.0,0.0
2.5257,26.0,0.19479238,26.0,0.0
3.5428,27.0,0.15108835,27.0,0.0
4.96955,28.0,0.12019497,28.0,0.0
6.97085,29.0,0.10458508,29.0,0.0
9.7781,30.0,0.092568427,30.0,0.0
13.71585,31.0,0.078716656,31.0,0.0
19.23935,32.0,0.06391448200000001,32.0,0.0
26.98725,33.0,0.057151420999999994,33.0,0.0
37.8553,34.0,0.058664720999999996,34.0,0.0
53.10005,35.0,0.059094278,35.0,0.0
73.8875,36.0,0.05847332,36.0,0.0
97.6625,37.0,0.057145857,37.0,0.0
121.4375,38.0,0.052768647,38.0,0.0
145.2125,39.0,0.047673228,39.0,0.0
168.9875,40.0,0.043314621,40.0,0.0
192.7625,41.0,0.03900873,41.0,0.0
216.5375,42.0,0.034125531,42.0,0.0
240.3125,43.0,0.02856121,43.0,0.0
264.0875,44.0,0.021656044,44.0,0.0
287.8625,45.0,0.01262859,45.0,0.0
311.6375,46.0,0.01039493,46.0,0.0
335.4125,47.0,0.020522975,47.0,0.0
359.1875,48.0,0.034016765,48.0,0.0
382.9625,49.0,0.049133717,49.0,0.0
406.7375,50.0,0.06666281,50.0,0.0
430.5125,51.0,0.084601662,51.0,0.0
454.2875,52.0,0.10216401,52.0,0.0
478.0625,53.0,0.11880498,53.0,0.0
501.8375,54.0,0.13431311,54.0,0.0
525.6125,55.0,0.14860713,55.0,0.0
549.3875,56.0,0.16156735,56.0,0.0
573.1625,57.0,0.17312141,57.0,0.0
596.9375,58.0,0.18302869,58.0,0.0
620.7125,59.0,0.19106452,59.0,0.0
644.4875,60.0,0.19703409,60.0,0.0
668.2625,61.0,0.20087048,61.0,0.0
692.0375,62.0,0.20271669,62.0,0.0
715.8125,63.0,0.20284556,63.0,0.0
739.5875,64.0,0.20172737,64.0,0.0
763.3625,65.0,0.19996601,65.0,0.0
787.1375,66.0,0.19815013,66.0,0.0
810.9125,67.0,0.19687242,67.0,0.0
834.6875,68.0,0.19619865,68.0,0.0
858.4625,69.0,0.19432414,69.0,0.0
882.2375,70.0,0.18756869,70.0,0.0
906.0125,71.0,0.17247344,71.0,0.0
929.7875,72.0,0.15113972,72.0,0.0
953.5625,73.0,0.12905669,73.0,0.0
977.3375,74.0,0.10806105,74.0,0.0
1001.1125,75.0,0.085914209,75.0,0.0
