,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,0.20093939,,
0.000312205,,,1.0,2.4932711
0.00075015,2.0,0.22872283,2.0,3.9491917
0.00105225,3.0,0.309656,3.0,4.178224500000001
0.001476,4.0,0.39892919,4.0,4.4308835
0.0020704,5.0,0.49475146,5.0,4.6936765
0.00290415,6.0,0.59543225,6.0,4.955458599999999
0.0040737,7.0,0.69839718,7.0,5.2318676
0.00571425,8.0,0.80012595,8.0,5.508299
0.00801545,9.0,0.89630816,9.0,5.7618925
0.01124335,10.0,0.98162152,10.0,5.9818762
0.01577115,11.0,1.0502755,11.0,6.158550099999999
0.02212235,12.0,1.0970212,12.0,6.2791171
0.03103125,13.0,1.1184686000000001,13.0,6.3247333
0.04352785,14.0,1.0904610000000001,14.0,6.2482394999999995
0.061057,15.0,0.99887544,15.0,6.0099052
0.0856453,16.0,0.88226444,16.0,5.6266232
0.1201355,17.0,0.77470021,17.0,5.1329763
0.1685155,18.0,0.68661797,18.0,4.5705932
0.2363785,19.0,0.62512757,19.0,3.9988127999999996
0.3315485,20.0,0.59693099,20.0,3.4770199
0.4651,21.0,0.61552481,21.0,3.0301793999999997
0.6524,22.0,0.55920625,22.0,2.5641254
0.9151,23.0,0.41794701,23.0,2.0635749
1.28365,24.0,0.31279163,24.0,1.6334596000000001
1.8006,25.0,0.24570881,25.0,1.2895632
2.5257,26.0,0.19479238,26.0,1.0160528
3.5428,27.0,0.15108835,27.0,0.80356975
4.96955,28.0,0.12019497,28.0,0.64721769
6.97085,29.0,0.10458508,29.0,0.53779969
9.7781,30.0,0.092568427,30.0,0.4544115
13.71585,31.0,0.078716656,31.0,0.38218124
19.23935,32.0,0.06391448200000001,32.0,0.31763983
26.98725,33.0,0.057151420999999994,33.0,0.26764676
37.8553,34.0,0.058664720999999996,34.0,0.23323122
53.10005,35.0,0.059094278,35.0,0.20791265
73.8875,36.0,0.05847332,36.0,0.19523541
97.6625,37.0,0.057145857,37.0,0.23043162
121.4375,38.0,0.052768647,38.0,0.24707561
145.2125,39.0,0.047673228,39.0,0.24465957
168.9875,40.0,0.043314621,40.0,0.22660625
192.7625,41.0,0.03900873,41.0,0.19556861
216.5375,42.0,0.034125531,42.0,0.1548369
240.3125,43.0,0.02856121,43.0,0.10835971
264.0875,44.0,0.021656044,44.0,0.060843378
287.8625,45.0,0.01262859,45.0,0.018569881
311.6375,46.0,0.01039493,46.0,-0.0086708756
335.4125,47.0,0.020522975,47.0,-0.015164539
359.1875,48.0,0.034016765,48.0,-0.006193693
382.9625,49.0,0.049133717,49.0,0.0090851148
406.7375,50.0,0.06666281,50.0,0.028668755
430.5125,51.0,0.084601662,51.0,0.051017433
454.2875,52.0,0.10216401,52.0,0.073215484
478.0625,53.0,0.11880498,53.0,0.09326995800000001
501.8375,54.0,0.13431311,54.0,0.10956542
525.6125,55.0,0.14860713,55.0,0.12135473
549.3875,56.0,0.16156735,56.0,0.12817905
573.1625,57.0,0.17312141,57.0,0.13036029
596.9375,58.0,0.18302869,58.0,0.12847263
620.7125,59.0,0.19106452,59.0,0.12313804
644.4875,60.0,0.19703409,60.0,0.11518253
668.2625,61.0,0.20087048,61.0,0.10550515
692.0375,62.0,0.20271669,62.0,0.09528842900000001
715.8125,63.0,0.20284556,63.0,0.08581304
739.5875,64.0,0.20172737,64.0,0.078589033
763.3625,65.0,0.19996601,65.0,0.075159486
787.1375,66.0,0.19815013,66.0,0.076800912
810.9125,67.0,0.19687242,67.0,0.083873474
834.6875,68.0,0.19619865,68.0,0.094700865
858.4625,69.0,0.19432414,69.0,0.10417534
882.2375,70.0,0.18756869,70.0,0.10487413
906.0125,71.0,0.17247344,71.0,0.091595798
929.7875,72.0,0.15113972,72.0,0.065905482
953.5625,73.0,0.12905669,73.0,0.034063646
977.3375,74.0,0.10806105,74.0,0.0017289567
1001.1125,75.0,0.085914209,75.0,-0.026761362
