,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.20093939,1,2.4684107
0.00075015,2,0.22872283,2,3.8876617999999996
0.00105225,3,0.309656,3,4.134445700000001
0.001476,4,0.39892919,4,4.3997781
0.0020704,5,0.49475146,5,4.6716042
0.00290415,6,0.59543225,6,4.9398325
0.0040737,7,0.69839718,7,5.2208413
0.00571425,8,0.80012595,8,5.5005553
0.00801545,9,0.89630816,9,5.756492400000001
0.01124335,10,0.98162152,10,5.9781486
0.01577115,11,1.0502755,11,6.156015
0.02212235,12,1.0970212,12,6.2774295
0.03103125,13,1.1184686000000001,13,6.323643799999999
0.04352785,14,1.0904610000000001,14,6.2475657
0.061057,15,0.99887544,15,6.009511900000001
0.0856453,16,0.88226444,16,5.6264102
0.1201355,17,0.77470021,17,5.1328709
0.1685155,18,0.68661797,18,4.570545200000001
0.2363785,19,0.62512757,19,3.9987915000000003
0.3315485,20,0.59693099,20,3.4770095999999997
0.4651,21,0.61552481,21,3.0301737999999996
0.6524,22,0.55920625,22,2.5641225
0.9151,23,0.41794701,23,2.0635736000000002
1.28365,24,0.31279163,24,1.6334594
1.8006,25,0.24570881,25,1.2895636000000001
2.5257,26,0.19479238,26,1.0160536
3.5428,27,0.15108835,27,0.80357067
4.96955,28,0.12019497,28,0.64721867
6.97085,29,0.10458508,29,0.53780069
9.7781,30,0.092568427,30,0.45441249
13.71585,31,0.078716656,31,0.3821822
19.23935,32,0.06391448200000001,32,0.31764071
26.98725,33,0.057151420999999994,33,0.26764755
37.8553,34,0.058664720999999996,34,0.23323191
53.10005,35,0.059094278,35,0.20791326
73.8875,36,0.05847332,36,0.19523599
97.6625,37,0.057145857,37,0.23043229
121.4375,38,0.052768647,38,0.24707633
145.2125,39,0.047673228,39,0.24466032
168.9875,40,0.043314621,40,0.22660699
192.7625,41,0.03900873,41,0.19556931
216.5375,42,0.034125531,42,0.15483756
240.3125,43,0.02856121,43,0.1083603
264.0875,44,0.021656044,44,0.0608439
287.8625,45,0.01262859,45,0.018570331000000002
311.6375,46,0.01039493,46,-0.008670494300000001
335.4125,47,0.020522975,47,-0.015164223000000001
359.1875,48,0.034016765,48,-0.0061934347
382.9625,49,0.049133717,49,0.009085322
406.7375,50,0.06666281,50,0.028668918999999998
430.5125,51,0.084601662,51,0.05101756
454.2875,52,0.10216401,52,0.07321558
478.0625,53,0.11880498,53,0.093270029
501.8375,54,0.13431311,54,0.10956547
525.6125,55,0.14860713,55,0.12135477
549.3875,56,0.16156735,56,0.12817908
573.1625,57,0.17312141,57,0.1303603
596.9375,58,0.18302869,58,0.12847263
620.7125,59,0.19106452,59,0.12313804
644.4875,60,0.19703409,60,0.11518253
668.2625,61,0.20087048,61,0.10550515
692.0375,62,0.20271669,62,0.09528842900000001
715.8125,63,0.20284556,63,0.08581304
739.5875,64,0.20172737,64,0.078589033
763.3625,65,0.19996601,65,0.075159486
787.1375,66,0.19815013,66,0.076800913
810.9125,67,0.19687242,67,0.083873474
834.6875,68,0.19619865,68,0.094700865
858.4625,69,0.19432414,69,0.10417534
882.2375,70,0.18756869,70,0.10487413
906.0125,71,0.17247344,71,0.091595798
929.7875,72,0.15113972,72,0.065905482
953.5625,73,0.12905669,73,0.034063646
977.3375,74,0.10806105,74,0.0017289567
1001.1125,75,0.085914209,75,-0.026761362
