,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.704359,0.0,-19.704359,-13.215995999999999,4.5232239000000004e-08,-13.215995999999999
0.0006244,2,-19.704394,4.9973595999999994e-05,-19.704344,-13.215851,3.7679022e-05,-13.215814000000002
0.0008759,3,-19.704407999999997,7.089536299999999e-05,-19.704337,-13.215789000000001,9.1166917e-05,-13.215698000000001
0.0012286,4,-19.704428,0.00010317163000000001,-19.704325,-13.215694000000001,0.00016909255,-13.215525
0.0017234,5,-19.704454000000002,0.00015283969999999999,-19.704301,-13.215551999999999,0.00028463049,-13.215267
0.0024174,6,-19.704489000000002,0.00022888584,-19.70426,-13.215341,0.00045785940000000005,-13.214882999999999
0.0033909,7,-19.704535999999997,0.00034462267,-19.704192000000003,-13.215032999999998,0.00071926991,-13.214314000000002
0.0047565,8,-19.704598,0.0005194239599999999,-19.704079,-13.214585000000001,0.0011156582000000001,-13.213469
0.006672,9,-19.704678,0.00078089533,-19.703897,-13.213939000000002,0.0017181563,-13.212221
0.0093589,10,-19.70478,0.0011675434,-19.703612,-13.213021,0.0026330892,-13.210388
0.0131278,11,-19.704905,0.0017312764,-19.703174,-13.211735999999998,0.0040171325,-13.207719
0.0184145,12,-19.705054999999998,0.0025392609,-19.702516,-13.20996,0.0060969712,-13.203863
0.0258302,13,-19.705226,0.0036739292,-19.701552,-13.207541,0.0091923383,-13.198348999999999
0.0362323,14,-19.705404,0.0052295972999999996,-19.700174,-13.204293,0.013736998,-13.190555999999999
0.0508234,15,-19.70557,0.007280609300000001,-19.698289000000003,-13.200023000000002,0.020267058,-13.179756
0.0712906,16,-19.70572,0.009852758199999999,-19.695868,-13.194545000000002,0.029360773,-13.165185000000001
0.1,17,-19.705842,0.01297487,-19.692867,-13.187626000000002,0.041577843999999996,-13.146048
0.140271,18,-19.705889000000003,0.016717748,-19.689172,-13.178966,0.057406455999999995,-13.12156
0.19676,19,-19.705778,0.021201084,-19.684576999999997,-13.168225,0.077252058,-13.090973
0.275997,20,-19.70535,0.026640471000000002,-19.678709,-13.155029,0.10159354,-13.053436
0.3871,21,-19.704261,0.033408027,-19.670853,-13.139018,0.13134832,-13.00767
0.5431,22,-19.701519,0.04203996,-19.659479,-13.119942000000002,0.16827299,-12.951669
0.7617,23,-19.696762,0.051764008,-19.644998,-13.099197,0.21393195,-12.885264999999999
1.0685,24,-19.691157999999998,0.061348539,-19.629808999999998,-13.079286999999999,0.26902576,-12.810261
1.4988,25,-19.685283,0.07141793099999999,-19.613865,-13.061537,0.33454535,-12.726992
2.1024,26,-19.679195999999997,0.082899307,-19.596297,-13.046675,0.4118971,-12.634777
2.949,27,-19.673094,0.09633217699999999,-19.576762,-13.035668,0.50279668,-12.532871
4.1366,28,-19.667661,0.11215429,-19.555507000000002,-13.029622,0.60980866,-12.419813000000001
5.8025,29,-19.663487,0.13169858,-19.531788,-13.029453,0.73737328,-12.29208
8.1392,30,-19.660313000000002,0.15747346,-19.502839,-13.03616,0.892958,-12.143202
11.417,31,-19.658307,0.19141,-19.466897,-13.051841,1.0850969,-11.966745
16.0147,32,-19.659022,0.23499652,-19.424025,-13.079514,1.3209391000000001,-11.758575
22.464,33,-19.666156,0.29095928,-19.375197,-13.121561999999999,1.605679,-11.515883
31.5105,34,-19.682185,0.36823326,-19.313952,-13.177739,1.9487025000000002,-11.229037
44.2001,35,-19.706317000000002,0.4805479,-19.225769,-13.246866,2.3684534,-10.878411999999999
62.0,36,-19.740216,0.63904935,-19.101167,-13.334975,2.8949984,-10.439977
85.775,37,-19.78456,0.84807276,-18.936488,-13.454818,3.564745,-9.8900732
109.55,38,-19.827966,1.0524189,-18.775547,-13.594460999999999,4.3534259,-9.241035400000001
