,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.02842376,1,-0.016485432
0.00075015,2,-0.029896336000000003,2,-0.01692235
0.00105225,3,-0.029746867000000003,3,-0.015780521999999998
0.001476,4,-0.024955551,4,-0.011246761999999999
0.0020704,5,-0.014955265,5,-0.0029025263
0.00290415,6,0.0009533203699999999,6,0.009764120500000001
0.0040737,7,0.023541911000000002,7,0.02732391
0.00571425,8,0.053632770999999996,8,0.050519968
0.00801545,9,0.09204428099999999,9,0.079975667
0.01124335,10,0.13947131,10,0.11642595
0.01577115,11,0.19700409,11,0.16085672
0.02212235,12,0.26531948,12,0.2139789
0.03103125,13,0.34492051,13,0.27646347
0.04352785,14,0.46488127,14,0.37259452
0.061057,15,0.64306709,15,0.51924101
0.0856453,16,0.84859144,16,0.69501001
0.1201355,17,1.0664878999999998,17,0.89128162
0.1685155,18,1.2898100000000001,18,1.1061161
0.2363785,19,1.5112582,19,1.3351853
0.3315485,20,1.7272838,20,1.5735823
0.4651,21,1.9300008999999998,21,1.8022957
0.6524,22,1.9763264999999999,22,1.9050424
0.9151,23,1.6649823000000001,23,1.6756453000000002
1.28365,24,1.2527541000000002,24,1.2841503
1.8006,25,0.9282811,25,0.93751928
2.5257,26,0.64957562,26,0.65228328
3.5428,27,0.42638953,27,0.43645838
4.96955,28,0.28500983,28,0.2998703
6.97085,29,0.21098739,29,0.23201939
9.7781,30,0.15811217,30,0.17914883
13.71585,31,0.11238294,31,0.12898878
19.23935,32,0.065524546,32,0.076461185
26.98725,33,0.036419131,33,0.042428667999999996
37.8553,34,0.023294961,34,0.024722192999999996
53.10005,35,-0.00047876807,35,-0.0019815757
73.8875,36,-0.030745664,36,-0.035908325
97.6625,37,-0.056523343,37,-0.067219588
121.4375,38,-0.07536842099999999,38,-0.090857657
145.2125,39,-0.090190359,39,-0.10854868
168.9875,40,-0.1027511,40,-0.12164846
192.7625,41,-0.10263975,41,-0.11753783
216.5375,42,-0.092822845,42,-0.10170939
240.3125,43,-0.08253366599999999,43,-0.086146435
264.0875,44,-0.06962955,44,-0.069193303
287.8625,45,-0.056022367,45,-0.05321275599999999
311.6375,46,-0.041172339,46,-0.037820196
335.4125,47,-0.028417664,47,-0.025568799
359.1875,48,-0.020628852,48,-0.018246078
382.9625,49,-0.015015673,49,-0.013022896
406.7375,50,-0.010343401,50,-0.0087457734
430.5125,51,-0.0064777234,51,-0.0052787272
454.2875,52,-0.0036101109000000004,52,-0.0027385141999999997
478.0625,53,-0.0013997464999999998,53,-0.0007578082899999999
501.8375,54,0.00063467561,54,0.0010668945
525.6125,55,0.0025580931,55,0.0027802895
549.3875,56,0.0043883286,56,0.0044127878
573.1625,57,0.006118148,57,0.005961448100000001
596.9375,58,0.007748455400000001,58,0.0074322858
620.7125,59,0.0092824941,59,0.0088290353
644.4875,60,0.010698814,60,0.010123462
668.2625,61,0.011978778,61,0.011287246
692.0375,62,0.013149272,62,0.012364681
715.8125,63,0.01422082,63,0.013365365
739.5875,64,0.015172062,64,0.014266817
763.3625,65,0.016012435,65,0.01507456
787.1375,66,0.016814766999999998,66,0.015853975
810.9125,67,0.017584203,67,0.016584914
834.6875,68,0.018216322,68,0.017181731999999998
858.4625,69,0.018588221000000002,69,0.017542794
882.2375,70,0.018562422,70,0.017569759
906.0125,71,0.018040844,71,0.017163565
929.7875,72,0.017123394,72,0.016405303
953.5625,73,0.016037146000000002,73,0.015500152
977.3375,74,0.014920567,74,0.014550091999999999
1001.1125,75,0.01383884,75,0.01363012
