,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-10.944362,0.0,-10.944362,-10.659395,-5.5508828e-08,-10.659395
0.0006244,2,-10.944366,2.2679055e-06,-10.944364,-10.659398,1.549868e-06,-10.659397
0.0008759,3,-10.944367999999999,3.3755694e-06,-10.944365,-10.659399,2.3327676e-06,-10.659397
0.0012286,4,-10.944372,5.545779e-06,-10.944366,-10.659402,3.8715792e-06,-10.659398
0.0017234,5,-10.944377000000001,9.610460500000001e-06,-10.944367999999999,-10.659405,6.7672219000000004e-06,-10.659398
0.0024174,6,-10.944386,1.6981504e-05,-10.944369,-10.659411,1.2041425999999999e-05,-10.659399
0.0033909,7,-10.944399,3.004346e-05,-10.944369,-10.659419,2.1425021000000003e-05,-10.659398
0.0047565,8,-10.944417999999999,5.2775937000000005e-05,-10.944365,-10.659431,3.7806267e-05,-10.659393
0.006672,9,-10.944445,9.176948e-05,-10.944353,-10.659448,6.5991841e-05,-10.659382
0.0093589,10,-10.944481,0.00015786467,-10.944324,-10.659469999999999,0.00011391866000000002,-10.659355999999999
0.0131278,11,-10.94453,0.00026863707,-10.944261000000001,-10.659499,0.00019458102,-10.659303999999999
0.0184145,12,-10.944591,0.00045272053,-10.944138,-10.659533,0.00032930263,-10.659203
0.0258302,13,-10.944661,0.0007558839200000001,-10.943905,-10.659568,0.0005525104,-10.659016000000001
0.0362323,14,-10.944730999999999,0.0012507987,-10.943480000000001,-10.659594,0.00091954391,-10.658675
0.0508234,15,-10.944789,0.0021130677,-10.942675999999999,-10.659596,0.0015647892,-10.658031
0.0712906,16,-10.944814,0.0036971468,-10.941117,-10.659537,0.0027651577,-10.656772
0.1,17,-10.944736,0.0065051386999999995,-10.938231,-10.659339,0.0049313368,-10.654408
0.140271,18,-10.944397,0.011252983999999999,-10.933144,-10.658839,0.0086835253,-10.650155999999999
0.19676,19,-10.943483,0.018969726,-10.924513000000001,-10.657727000000001,0.014973433000000001,-10.642752999999999
0.275997,20,-10.941392,0.031063774,-10.910328,-10.655424,0.025203977000000002,-10.63022
0.3871,21,-10.936946,0.0493507,-10.887595,-10.650843,0.041335372,-10.609508
0.5431,22,-10.927846,0.075915782,-10.85193,-10.642019,0.06582001,-10.576199
0.7617,23,-10.912307,0.11155366,-10.800754,-10.627353999999999,0.10049054,-10.526863
1.0685,24,-10.891922000000001,0.15167807,-10.740244,-10.607983,0.14202303,-10.46596
1.4988,25,-10.868108,0.19171936,-10.676388000000001,-10.584983,0.18448546,-10.400497
2.1024,26,-10.841072,0.23105663,-10.610016,-10.558433,0.22497653,-10.333457000000001
2.949,27,-10.81374,0.26886791,-10.544872,-10.531279,0.26324335,-10.268035000000001
4.1366,28,-10.791267,0.30637863,-10.484888,-10.508554,0.30192571,-10.206628
5.8025,29,-10.777289999999999,0.34864521,-10.428645,-10.493841,0.3463946,-10.147446
8.1392,30,-10.771044999999999,0.40080149,-10.370244,-10.486412,0.40319525,-10.083217
11.417,31,-10.773417,0.46456458,-10.308852,-10.487302,0.47365208,-10.01365
16.0147,32,-10.792003999999999,0.54435843,-10.247645,-10.50434,0.56094856,-9.9433917
22.464,33,-10.845464999999999,0.64787794,-10.197587,-10.556399,0.67142747,-9.884972
31.5105,34,-10.952024,0.79346498,-10.158559,-10.66264,0.82314024,-9.8394998
44.2001,35,-11.118585000000001,0.9950427,-10.123543,-10.831911999999999,1.0295778,-9.802334199999999
62.0,36,-11.364229,1.2396768999999999,-10.124552,-11.088632,1.2821188000000001,-9.806512800000002
85.775,37,-11.70815,1.497008,-10.211142,-11.461847,1.5541943999999999,-9.9076525
109.55,38,-12.05283,1.6825006,-10.370330000000001,-11.8513,1.7543165,-10.096983999999999
