,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.02842376,,
0.000312205,,,1.0,-0.016489484
0.00075015,2.0,-0.029896336000000003,2.0,-0.016926754
0.00105225,3.0,-0.029746867000000003,3.0,-0.01578591
0.001476,4.0,-0.024955551,4.0,-0.011238043
0.0020704,5.0,-0.014955265,5.0,-0.0029106416999999996
0.00290415,6.0,0.0009533203699999999,6.0,0.0097547001
0.0040737,7.0,0.023541911000000002,7.0,0.02735982
0.00571425,8.0,0.053632770999999996,8.0,0.050531913
0.00801545,9.0,0.09204428099999999,9.0,0.07996197599999999
0.01124335,10.0,0.13947131,10.0,0.11641084
0.01577115,11.0,0.19700409,11.0,0.16084012
0.02212235,12.0,0.26531948,12.0,0.21396086
0.03103125,13.0,0.34492051,13.0,0.27644397
0.04352785,14.0,0.46488127,14.0,0.37262813
0.061057,15.0,0.64306709,15.0,0.51929947
0.0856453,16.0,0.84859144,16.0,0.6949736
0.1201355,17.0,1.0664878999999998,17.0,0.89123757
0.1685155,18.0,1.2898100000000001,18.0,1.1060638999999999
0.2363785,19.0,1.5112582,19.0,1.3354162
0.3315485,20.0,1.7272838,20.0,1.5736647
0.4651,21.0,1.9300008999999998,21.0,1.8022141
0.6524,22.0,1.9763264999999999,22.0,1.9049387999999998
0.9151,23.0,1.6649823000000001,23.0,1.6760308999999998
1.28365,24.0,1.2527541000000002,24.0,1.2841871999999999
1.8006,25.0,0.9282811,25.0,0.93738029
2.5257,26.0,0.64957562,26.0,0.65217916
3.5428,27.0,0.42638953,27.0,0.43663469
4.96955,28.0,0.28500983,28.0,0.3002344
6.97085,29.0,0.21098739,29.0,0.23198201
9.7781,30.0,0.15811217,30.0,0.17904392
13.71585,31.0,0.11238294,31.0,0.12906232
19.23935,32.0,0.065524546,32.0,0.076609597
26.98725,33.0,0.036419131,33.0,0.042370375999999994
37.8553,34.0,0.023294961,34.0,0.024693347999999997
53.10005,35.0,-0.00047876807,35.0,-0.0020323342000000003
73.8875,36.0,-0.030745664,36.0,-0.035822365
97.6625,37.0,-0.056523343,37.0,-0.06716912400000001
121.4375,38.0,-0.07536842099999999,38.0,-0.090883392
145.2125,39.0,-0.090190359,39.0,-0.10856134
168.9875,40.0,-0.1027511,40.0,-0.12165715
192.7625,41.0,-0.10263975,41.0,-0.11754417
216.5375,42.0,-0.092822845,42.0,-0.10171408
240.3125,43.0,-0.08253366599999999,43.0,-0.086150091
264.0875,44.0,-0.06962955,44.0,-0.069196117
287.8625,45.0,-0.056022367,45.0,-0.053214905
311.6375,46.0,-0.041172339,46.0,-0.037821818
335.4125,47.0,-0.028417664,47.0,-0.02555652
359.1875,48.0,-0.020628852,48.0,-0.01823566
382.9625,49.0,-0.015015673,49.0,-0.013016187
406.7375,50.0,-0.010343401,50.0,-0.0087449045
430.5125,51.0,-0.0064777234,51.0,-0.005279336
454.2875,52.0,-0.0036101109000000004,52.0,-0.0027363492
478.0625,53.0,-0.0013997464999999998,53.0,-0.0007582196899999999
501.8375,54.0,0.00063467561,54.0,0.0010665649
525.6125,55.0,0.0025580931,55.0,0.0027800453
549.3875,56.0,0.0043883286,56.0,0.0044126326
573.1625,57.0,0.006118148,57.0,0.005961386700000001
596.9375,58.0,0.007748455400000001,58.0,0.0074323211
620.7125,59.0,0.0092824941,59.0,0.0088319847
644.4875,60.0,0.010698814,60.0,0.010123691
668.2625,61.0,0.011978778,61.0,0.01128808
692.0375,62.0,0.013149272,62.0,0.012369197
715.8125,63.0,0.01422082,63.0,0.013371933
739.5875,64.0,0.015172062,64.0,0.01427396
763.3625,65.0,0.016012435,65.0,0.015081043999999998
787.1375,66.0,0.016814766999999998,66.0,0.015858647
810.9125,67.0,0.017584203,67.0,0.016586563000000002
834.6875,68.0,0.018216322,68.0,0.017182648000000002
858.4625,69.0,0.018588221000000002,69.0,0.017548327
882.2375,70.0,0.018562422,70.0,0.01757077
906.0125,71.0,0.018040844,71.0,0.017164575
929.7875,72.0,0.017123394,72.0,0.016410543
953.5625,73.0,0.016037146000000002,73.0,0.015501082
977.3375,74.0,0.014920567,74.0,0.014556096999999999
1001.1125,75.0,0.01383884,75.0,0.013630938
