,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-10.944362,0.0,-10.944362,,,
1e-08,1,,,,-10.659582,1.9299526e-06,-10.65958
0.0006244,2,-10.944366,2.2679055e-06,-10.944364,-10.659585,3.5352839e-06,-10.659581
0.0008759,3,-10.944367999999999,3.3755694e-06,-10.944365,-10.659586000000001,4.3181621e-06,-10.659582
0.0012286,4,-10.944372,5.545779e-06,-10.944366,-10.659588000000001,5.8569346e-06,-10.659582
0.0017234,5,-10.944377000000001,9.610460500000001e-06,-10.944367999999999,-10.659592,8.752969000000001e-06,-10.659583
0.0024174,6,-10.944386,1.6981504e-05,-10.944369,-10.659597,1.4027072e-05,-10.659583
0.0033909,7,-10.944399,3.004346e-05,-10.944369,-10.659606,2.3410486e-05,-10.659582
0.0047565,8,-10.944417999999999,5.2775937000000005e-05,-10.944365,-10.659618,3.9795230000000004e-05,-10.659578
0.006672,9,-10.944445,9.176948e-05,-10.944353,-10.659634,6.798312e-05,-10.659566
0.0093589,10,-10.944481,0.00015786467,-10.944324,-10.659657000000001,0.00011590926000000001,-10.659541
0.0131278,11,-10.94453,0.00026863707,-10.944261000000001,-10.659685000000001,0.00019657057,-10.659489
0.0184145,12,-10.944591,0.00045272053,-10.944138,-10.659719,0.00033129059,-10.659388
0.0258302,13,-10.944661,0.0007558839200000001,-10.943905,-10.659755,0.00055449598,-10.6592
0.0362323,14,-10.944730999999999,0.0012507987,-10.943480000000001,-10.659781,0.0009215259800000002,-10.658859
0.0508234,15,-10.944789,0.0021130677,-10.942675999999999,-10.659782,0.0015668143,-10.658215
0.0712906,16,-10.944814,0.0036971468,-10.941117,-10.659723,0.0027672781,-10.656956
0.1,17,-10.944736,0.0065051386999999995,-10.938231,-10.659526,0.0049334379,-10.654592
0.140271,18,-10.944397,0.011252983999999999,-10.933144,-10.659025999999999,0.0086855943,-10.65034
0.19676,19,-10.943483,0.018969726,-10.924513000000001,-10.657914,0.014975452,-10.642938000000001
0.275997,20,-10.941392,0.031063774,-10.910328,-10.655610000000001,0.025207261,-10.630403
0.3871,21,-10.936946,0.0493507,-10.887595,-10.651029,0.041339432999999995,-10.609689999999999
0.5431,22,-10.927846,0.075915782,-10.85193,-10.642206,0.06582370900000001,-10.576383
0.7617,23,-10.912307,0.11155366,-10.800754,-10.627543,0.10049374,-10.52705
1.0685,24,-10.891922000000001,0.15167807,-10.740244,-10.608166,0.14203398,-10.466132
1.4988,25,-10.868108,0.19171936,-10.676388000000001,-10.585164,0.18449697,-10.400667
2.1024,26,-10.841072,0.23105663,-10.610016,-10.558621,0.22498415,-10.333637
2.949,27,-10.81374,0.26886791,-10.544872,-10.531479,0.26325265,-10.268226
4.1366,28,-10.791267,0.30637863,-10.484888,-10.508751,0.30195721,-10.206794
5.8025,29,-10.777289999999999,0.34864521,-10.428645,-10.494,0.34645927,-10.14754
8.1392,30,-10.771044999999999,0.40080149,-10.370244,-10.486564999999999,0.40324414,-10.083321
11.417,31,-10.773417,0.46456458,-10.308852,-10.48748,0.47368475,-10.013795
16.0147,32,-10.792003999999999,0.54435843,-10.247645,-10.50451,0.56101353,-9.943496699999999
22.464,33,-10.845464999999999,0.64787794,-10.197587,-10.556502,0.67153814,-9.8849635
31.5105,34,-10.952024,0.79346498,-10.158559,-10.662753,0.82319877,-9.839553800000001
44.2001,35,-11.118585000000001,0.9950427,-10.123543,-10.832049000000001,1.0296177,-9.802431599999998
62.0,36,-11.364229,1.2396768999999999,-10.124552,-11.088865,1.282148,-9.8067172
85.775,37,-11.70815,1.497008,-10.211142,-11.461988,1.5543735,-9.9076148
109.55,38,-12.05283,1.6825006,-10.370330000000001,-11.851335,1.7545313000000002,-10.096803999999999
