,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-1.1405604999999999,0.0,-1.1405604999999999,-1.1182761,9.1294884e-09,-1.1182761
0.0006244,2,-1.1405809,2.083367e-05,-1.14056,-1.1183039,4.2196818000000005e-05,-1.1182617
0.0008759,3,-1.1405915,2.5392080000000002e-05,-1.1405661,-1.1183191000000001,4.9200042999999994e-05,-1.1182698999999998
0.0012286,4,-1.1406058000000001,3.3675154e-05,-1.1405721000000002,-1.1183391000000003,6.0883763e-05,-1.1182782
0.0017234,5,-1.1406249,4.6031947e-05,-1.1405788000000001,-1.1183653999999998,7.712118099999999e-05,-1.1182883
0.0024174,6,-1.1406502,6.393602399999999e-05,-1.1405863,-1.1183996999999999,9.8340207e-05,-1.1183013000000002
0.0033909,7,-1.1406836,8.9636368e-05,-1.1405938999999998,-1.118444,0.00012618973,-1.1183178
0.0047565,8,-1.1407273999999998,0.00012625341000000001,-1.1406011,-1.1185015,0.00016417693,-1.1183372999999999
0.006672,9,-1.1407843999999998,0.00017794956,-1.1406063999999998,-1.1185753,0.00021873084,-1.1183566
0.0093589,10,-1.140858,0.0002501653,-1.1406078000000002,-1.1186691,0.00029904342000000003,-1.1183701000000001
0.0131278,11,-1.140952,0.00034999455000000004,-1.1406020000000001,-1.1187868,0.00041930342000000005,-1.1183675
0.0184145,12,-1.1410703000000002,0.00048688677,-1.1405834,-1.1189316,0.0006004317299999999,-1.1183312
0.0258302,13,-1.1412152,0.00067384538,-1.1405413,-1.1191042,0.00087154341,-1.1182326999999999
0.0362323,14,-1.1413768999999998,0.00092870474,-1.1404482,-1.1192927,0.0012689241,-1.1180237
0.0508234,15,-1.1415402,0.0012589549000000002,-1.1402812,-1.1194819,0.0018109833999999999,-1.1176708999999998
0.0712906,16,-1.1417127,0.0016600310999999998,-1.1400527,-1.1196791000000001,0.0024737461,-1.1172053999999998
0.1,17,-1.1419052,0.0021570962,-1.1397481000000003,-1.1198927,0.0032167552,-1.116676
0.140271,18,-1.1421082,0.0028025868,-1.1393056000000001,-1.120111,0.0040055278,-1.1161054
0.19676,19,-1.1422961,0.0036583672999999997,-1.1386377,-1.1203077,0.0048330616,-1.1154747
0.275997,20,-1.1424059,0.0048108126000000005,-1.1375950000000001,-1.1204383999999998,0.0057634547,-1.114675
0.3871,21,-1.1422534,0.0063816079,-1.1358718,-1.1203541000000001,0.0069571223,-1.113397
0.5431,22,-1.1410457,0.008492264499999999,-1.1325534,-1.1191815,0.0086043527,-1.1105771999999998
0.7617,23,-1.138599,0.010274109,-1.1283249,-1.1167493999999998,0.010043231,-1.1067062
1.0685,24,-1.1360251000000001,0.010806455,-1.1252186000000002,-1.1141796999999998,0.010872395,-1.1033073
1.4988,25,-1.1337362,0.010665915,-1.1230703000000002,-1.1118222,0.011738778,-1.1000834
2.1024,26,-1.1317093,0.010285292,-1.121424,-1.1096229,0.012624898999999998,-1.096998
2.949,27,-1.1299515,0.0097385214,-1.120213,-1.1076034,0.012974438999999999,-1.0946288999999998
4.1366,28,-1.1285809,0.009048789599999999,-1.1195321000000003,-1.1059083,0.012182687,-1.0937256000000002
5.8025,29,-1.1276104999999998,0.008400439,-1.11921,-1.1046323999999998,0.010494136000000001,-1.0941383
8.1392,30,-1.1268379,0.0079923058,-1.1188456,-1.1035559,0.0093746444,-1.0941812
11.417,31,-1.1261651000000001,0.0077386368,-1.1184264,-1.1025714,0.0094572864,-1.0931142
16.0147,32,-1.1256925,0.007498713000000001,-1.1181938,-1.1018268,0.010055614000000001,-1.0917712
22.464,33,-1.1257806000000001,0.0073233933,-1.1184572,-1.1017688,0.010578147,-1.0911906
31.5105,34,-1.12658,0.0076967669,-1.1188832,-1.102583,0.011117745,-1.0914652
