,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,103.11421,1,61.102394999999994
0.00075015,2,35.448611,2,43.824362
0.00105225,3,33.863281,3,42.492908
0.001476,4,30.439658,4,38.732224
0.0020704,5,26.875647999999998,5,32.955375
0.00290415,6,23.797446,6,26.421538
0.0040737,7,21.333807,7,20.858446
0.00571425,8,19.41915,8,17.585303
0.00801545,9,17.91094,9,16.490188
0.01124335,10,16.650048,10,16.524072
0.01577115,11,15.513231,11,16.646410999999997
0.02212235,12,14.460524,12,16.279381
0.03103125,13,13.65487,13,15.386054000000001
0.04352785,14,12.577798,14,13.592951999999999
0.061057,15,10.980414999999999,15,11.09142
0.0856453,16,9.6316413,16,9.192465400000001
0.1201355,17,8.820961500000001,17,8.481754400000002
0.1685155,18,8.3912377,18,8.5829341
0.2363785,19,8.2670572,19,8.9676064
0.3315485,20,8.458176,20,9.3710258
0.4651,21,9.302119300000001,21,9.9800262
0.6524,22,8.8723615,22,8.960152800000001
0.9151,23,6.864890700000001,23,6.3560612999999995
1.28365,24,5.2580031,24,4.6416527
1.8006,25,4.1961103,25,4.1010268
2.5257,26,3.3743411,26,3.7055480000000003
3.5428,27,2.6472361,27,2.9586648999999996
4.96955,28,2.1293118,28,2.1391209
6.97085,29,1.8815990000000002,29,1.8531799999999998
9.7781,30,1.664621,30,1.8817633000000002
13.71585,31,1.3785409,31,1.7274299
19.23935,32,1.0316404000000001,32,1.2137418
26.98725,33,0.8063537,33,0.79336739
37.8553,34,0.70517533,34,0.73699306
53.10005,35,0.55293605,35,0.67683095
73.8875,36,0.401556,36,0.46028687
97.6625,37,0.30271879,37,0.25245248
121.4375,38,0.21493015,38,0.13175464
145.2125,39,0.14389663,39,0.07472536
168.9875,40,0.10706429,40,0.064109045
192.7625,41,0.080845632,41,0.059261133
216.5375,42,0.059400215,42,0.053032958
240.3125,43,0.038822592,43,0.043210269
264.0875,44,0.0062701002,44,0.019041329
287.8625,45,-0.07823644099999999,45,-0.065591493
311.6375,46,-0.11504464,46,-0.10462057
335.4125,47,-0.042183787,47,-0.032947854
359.1875,48,0.015581791999999999,48,0.019212609
382.9625,49,0.029886586,49,0.027711583999999997
406.7375,50,0.035463464,50,0.030991134
430.5125,51,0.03819363,51,0.033010503
454.2875,52,0.039506595,52,0.032813287999999996
478.0625,53,0.040131538,53,0.033363015
501.8375,54,0.040414713,54,0.032640655
525.6125,55,0.040633159,55,0.032126549
549.3875,56,0.040745955,56,0.031610303
573.1625,57,0.040717527999999996,57,0.031145283
596.9375,58,0.04035364,58,0.030781568999999998
620.7125,59,0.039364611,59,0.029014075
644.4875,60,0.037617422000000005,60,0.028191782000000002
668.2625,61,0.035131182000000004,61,0.025656906
692.0375,62,0.032106456,62,0.022855421
715.8125,63,0.028852068999999998,63,0.019917989
739.5875,64,0.025888687999999997,64,0.017343641
763.3625,65,0.02383785,65,0.015742374
787.1375,66,0.023661721,66,0.016056839
810.9125,67,0.027156151,67,0.020137264
834.6875,68,0.036438629,68,0.030428652999999996
858.4625,69,0.049657812999999995,69,0.04343855
882.2375,70,0.056523892,70,0.05195761
906.0125,71,0.048009155,71,0.044055525
929.7875,72,0.030238432000000003,72,0.025984256
953.5625,73,0.014577338,73,0.012030341000000002
977.3375,74,0.003978903,74,0.0010212505
1001.1125,75,-0.023187305,75,-0.024918443999999998
