,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.062822,0.0,-19.062822,-19.092795000000002,4.581341200000001e-08,-19.092795000000002
0.0006244,2,-19.062882000000002,9.7367733e-05,-19.062785,-19.092845,7.3727402e-05,-19.092772
0.0008759,3,-19.062905999999998,0.00013770997,-19.062769,-19.092865,0.00010473951,-19.092761
0.0012286,4,-19.062939,0.00019965741999999998,-19.062739,-19.092893,0.00015249941000000002,-19.09274
0.0017234,5,-19.062983,0.00029435592,-19.062689000000002,-19.09293,0.00022588167000000002,-19.092704
0.0024174,6,-19.063043,0.0004380033,-19.062604999999998,-19.092979999999997,0.00033812454,-19.092641
0.0033909,7,-19.063121,0.0006539289,-19.062467,-19.093045,0.0005089229599999999,-19.092536
0.0047565,8,-19.063223,0.00097476585,-19.062248,-19.09313,0.0007685805499999999,-19.092361999999998
0.006672,9,-19.063353,0.0014446703,-19.061908,-19.093239999999998,0.0011610749,-19.092079000000002
0.0093589,10,-19.063517,0.002121225,-19.061396,-19.093379000000002,0.0017471237,-19.091632
0.0131278,11,-19.063717999999998,0.0030755098,-19.060643,-19.093548000000002,0.002607775,-19.090941
0.0184145,12,-19.063958,0.0043897338,-19.059568,-19.093748,0.0038441816999999997,-19.089904
0.0258302,13,-19.064229,0.0061518114,-19.058076999999997,-19.093970000000002,0.0055688915,-19.088401
0.0362323,14,-19.064508,0.008447864499999999,-19.056060000000002,-19.094193,0.007880974,-19.086312
0.0508234,15,-19.064764,0.01131722,-19.053447,-19.094389000000003,0.010791988,-19.083597
0.0712906,16,-19.064995,0.014734943,-19.05026,-19.094551,0.014169796,-19.080381
0.1,17,-19.065188,0.018729869,-19.046457999999998,-19.09466,0.017849713,-19.076810000000002
0.140271,18,-19.065279,0.023448295,-19.041831,-19.094654000000002,0.021818873,-19.072836
0.19676,19,-19.065154999999997,0.029146322000000002,-19.036009,-19.094424,0.026382995,-19.068041
0.275997,20,-19.064598,0.036240165,-19.028357999999997,-19.093772,0.03223158,-19.06154
0.3871,21,-19.063137,0.045362163,-19.017775,-19.092292,0.040305832,-19.051986
0.5431,22,-19.059339,0.057337785,-19.002001999999997,-19.088714000000003,0.051632134,-19.037082
0.7617,23,-19.052670000000003,0.071090577,-18.981579,-19.082535,0.065465934,-19.017069
1.0685,24,-19.044757999999998,0.084854667,-18.959903,-19.075101,0.079959402,-18.995142
1.4988,25,-19.0364,0.099382341,-18.937018,-19.067087,0.095120033,-18.971967000000003
2.1024,26,-19.027657,0.11579425,-18.911863,-19.05852,0.11198941,-18.946531
2.949,27,-19.01879,0.13464823,-18.884142,-19.04965,0.13192475,-18.917726000000002
4.1366,28,-19.010758,0.1563756,-18.854382,-19.041313,0.15667492,-18.884638
5.8025,29,-19.004375,0.18270787,-18.821667,-19.034275,0.18828356,-18.845992000000003
8.1392,30,-18.999185,0.21699132,-18.782194,-19.028057,0.2295307,-18.798526000000003
11.417,31,-18.995264000000002,0.26163934,-18.733624,-19.022756,0.28085762,-18.741898000000003
16.0147,32,-18.994567,0.31840047,-18.676167,-19.020482,0.34189234,-18.678589000000002
22.464,33,-19.002012,0.39086249,-18.611148999999997,-19.026826,0.41333393,-18.613492
31.5105,34,-19.020637,0.49132935,-18.529308,-19.045335,0.50764944,-18.537685
44.2001,35,-19.048648999999997,0.63851265,-18.410135999999998,-19.073685,0.65193278,-18.421751999999998
62.0,36,-19.087311,0.84737069,-18.23994,-19.113681,0.87519018,-18.238491
85.775,37,-19.136457,1.1236338,-18.012823,-19.166031,1.1846442,-17.981386999999998
109.55,38,-19.18294,1.3930439,-17.789896,-19.216463,1.4826013,-17.733862
