,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.50991021,1,0.32429381
0.00075015,2,0.54896689,2,0.37380105
0.00105225,3,0.7023656,3,0.49506201
0.001476,4,0.86682809,4,0.62914088
0.0020704,5,1.0363813,5,0.7738193
0.00290415,6,1.2056280000000001,6,0.92684478
0.0040737,7,1.3667181000000002,7,1.0908822
0.00571425,8,1.5102148000000002,8,1.2602278
0.00801545,9,1.6258713,9,1.4225615
0.01124335,10,1.7032438,10,1.565569
0.01577115,11,1.7343941000000003,11,1.6739865000000003
0.02212235,12,1.7171241999999998,12,1.7303379
0.03103125,13,1.6587613,13,1.7171807000000001
0.04352785,14,1.5346238,14,1.5933043
0.061057,15,1.3383328,15,1.3499106
0.0856453,16,1.1428538000000001,16,1.0743143999999998
0.1201355,17,0.99544913,17,0.85850253
0.1685155,18,0.89640044,18,0.74271083
0.2363785,19,0.84211986,19,0.71961065
0.3315485,20,0.83171421,20,0.75387105
0.4651,21,0.88167475,21,0.83522306
0.6524,22,0.81535438,22,0.80085175
0.9151,23,0.61937072,23,0.6287093
1.28365,24,0.46775127,24,0.47689205
1.8006,25,0.36688917,25,0.37499536
2.5257,26,0.28832319,26,0.30357573
3.5428,27,0.22078782,27,0.24873263
4.96955,28,0.17315467,28,0.20694511
6.97085,29,0.14896408,29,0.18068929
9.7781,30,0.13077649,30,0.15339352
13.71585,31,0.11050827,31,0.12217987
19.23935,32,0.089387916,32,0.089684267
26.98725,33,0.080227282,33,0.074272967
37.8553,34,0.083025705,34,0.080253615
53.10005,35,0.084254889,35,0.089807797
73.8875,36,0.083842065,36,0.094023132
97.6625,37,0.081972582,37,0.090472404
121.4375,38,0.075346625,38,0.080545199
145.2125,39,0.06719207,39,0.06955282900000001
168.9875,40,0.060108228,40,0.060816543
192.7625,41,0.053167839,41,0.053007539000000006
216.5375,42,0.04564276900000001,42,0.04527159099999999
240.3125,43,0.037279076,43,0.036726174
264.0875,44,0.02705465,44,0.026157142999999997
287.8625,45,0.013612821,45,0.012278688000000001
311.6375,46,0.0093507935,46,0.008208093199999999
335.4125,47,0.021940366,47,0.021773857999999997
359.1875,48,0.038395282,48,0.039175017
382.9625,49,0.05486823,49,0.055445475
406.7375,50,0.072734958,50,0.072265285
430.5125,51,0.09036329900000001,51,0.088789583
454.2875,52,0.10716052,52,0.10483642
478.0625,53,0.12272956,53,0.12002602
501.8375,54,0.13695513,54,0.13326524
525.6125,55,0.14981455,55,0.14417368
549.3875,56,0.161221,56,0.15366005
573.1625,57,0.17111428,57,0.16242941
596.9375,58,0.17927131,58,0.17037792
620.7125,59,0.18548542,59,0.17662087
644.4875,60,0.18960185,60,0.180849
668.2625,61,0.191609,61,0.18262585
692.0375,62,0.19171407,62,0.18241393
715.8125,63,0.19026506,63,0.1808364
739.5875,64,0.18780057,64,0.17859247
763.3625,65,0.18499167,65,0.17633422
787.1375,66,0.18250832,66,0.17458644
810.9125,67,0.18104033,67,0.17405097
834.6875,68,0.18071965,68,0.17457397
858.4625,69,0.1796011,69,0.17393576
882.2375,70,0.1734415,70,0.16866062
906.0125,71,0.15839626,71,0.15479604
929.7875,72,0.13679862,72,0.13453498
953.5625,73,0.11448901,73,0.11373394
977.3375,74,0.093429736,74,0.09369032199999999
1001.1125,75,0.070578107,75,0.072310725
