,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.017599901,1,0.002040974
0.00075015,2,-0.015990743999999998,2,0.0028374531
0.00105225,3,-0.012460482,3,0.0050391418
0.001476,4,-0.0085104167,4,0.0073112614000000005
0.0020704,5,-0.0041496183,5,0.0098333575
0.00290415,6,0.00065765458,6,0.0126115
0.0040737,7,0.0059214289,7,0.015662996999999998
0.00571425,8,0.011686658,8,0.019048395
0.00801545,9,0.017991317,9,0.022769302
0.01124335,10,0.024867924,10,0.026856087999999997
0.01577115,11,0.032347816,11,0.031338396
0.02212235,12,0.040466705,12,0.036250677
0.03103125,13,0.049210681,13,0.041608402
0.04352785,14,0.057411902,14,0.046749279000000005
0.061057,15,0.063819168,15,0.051001305
0.0856453,16,0.069294968,16,0.054889545
0.1201355,17,0.074747091,17,0.05896433400000001
0.1685155,18,0.08018319900000001,18,0.063251248
0.2363785,19,0.085622815,19,0.067735765
0.3315485,20,0.091169696,20,0.07245334
0.4651,21,0.096297837,21,0.07691490200000001
0.6524,22,0.08843844699999999,22,0.073383166
0.9151,23,0.065685621,23,0.060077545999999996
1.28365,24,0.043782273,24,0.045996845
1.8006,25,0.027670031,25,0.03412933
2.5257,26,0.016390928,26,0.024176597999999997
3.5428,27,0.0088388413,27,0.015935686
4.96955,28,0.0048599672,28,0.0099652331
6.97085,29,0.0036039795,29,0.0062602168
9.7781,30,0.0030734471999999996,30,0.0036924167
13.71585,31,0.0023560973000000002,31,0.0016330782000000001
19.23935,32,0.0014241705,32,7.155453400000001e-05
26.98725,33,0.0010882450999999999,33,-0.00051229517
37.8553,34,0.001453627,34,-0.00030828371
53.10005,35,0.0016854124,35,-0.0001844451
73.8875,36,0.0017062756,36,-0.00038777326
97.6625,37,0.0014928876,37,-0.00092888041
121.4375,38,0.00078272224,38,-0.0018735082000000001
145.2125,39,-0.00010478449,39,-0.0028858706
168.9875,40,-0.0010514408000000001,40,-0.0039330262
192.7625,41,-0.0021107932,41,-0.005025371
216.5375,42,-0.0033729486,42,-0.0062087995
240.3125,43,-0.0048504901,43,-0.0074378861
264.0875,44,-0.006624846899999999,44,-0.0087389971
287.8625,45,-0.0086485039,45,-0.010035571
311.6375,46,-0.009491363000000001,46,-0.010289611
335.4125,47,-0.008077096899999999,47,-0.0087321244
359.1875,48,-0.0054534480000000005,48,-0.0060873926
382.9625,49,-0.0020203949,49,-0.0026491461
406.7375,50,0.0024144851999999997,50,0.0018071889000000002
430.5125,51,0.0074752276,51,0.0069695213
454.2875,52,0.013045083,52,0.012375757
478.0625,53,0.019025295,53,0.017984036999999998
501.8375,54,0.025342947999999997,54,0.024093146
525.6125,55,0.031903692000000004,55,0.030911435
549.3875,56,0.038557116,56,0.037903748
573.1625,57,0.045140045999999996,57,0.044407872
596.9375,58,0.051426387000000004,58,0.050190301
620.7125,59,0.057201379000000004,59,0.055272508
644.4875,60,0.06227695900000001,60,0.06026272
668.2625,61,0.06653872200000001,61,0.06482025599999999
692.0375,62,0.069979627,62,0.06896015700000001
715.8125,63,0.07268849299999999,63,0.072504733
739.5875,64,0.074873862,64,0.075405478
763.3625,65,0.076831915,65,0.077794232
787.1375,66,0.07887034400000001,66,0.07991113400000001
810.9125,67,0.08129665400000001,67,0.08211533900000001
834.6875,68,0.08409601,68,0.084442266
858.4625,69,0.086104344,69,0.085507808
882.2375,70,0.08491525300000001,70,0.084089336
906.0125,71,0.078347279,71,0.07755126799999999
929.7875,72,0.06771151,72,0.067122919
953.5625,73,0.056346842,73,0.05659263900000001
977.3375,74,0.045481649000000006,74,0.04606158900000001
1001.1125,75,0.033846067,75,0.035473734
