,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-7.8412102,0.0,-7.8412102,-7.887774,9.398557000000001e-08,-7.8877739
0.0006244,2,-7.841212599999999,1.1017438e-06,-7.841211500000001,-7.8877745,7.248268799999999e-07,-7.887773700000001
0.0008759,3,-7.841213499999999,1.5704181e-06,-7.841212,-7.8877747000000005,9.9829452e-07,-7.887773700000001
0.0012286,4,-7.8412148,2.3037229e-06,-7.8412125,-7.887774900000001,1.4295565e-06,-7.8877735
0.0017234,5,-7.8412164,3.451819e-06,-7.841213000000001,-7.887775099999999,2.0997608e-06,-7.887772999999999
0.0024174,6,-7.8412186,5.2469742999999994e-06,-7.8412133,-7.8877754,3.1424755e-06,-7.887772200000001
0.0033909,7,-7.8412213,8.0508997e-06,-7.8412133,-7.8877755,4.7650728e-06,-7.8877708
0.0047565,8,-7.841224700000001,1.2420215000000001e-05,-7.8412123,-7.8877755,7.2899025999999996e-06,-7.8877682
0.006672,9,-7.841228900000001,1.9215077000000002e-05,-7.841209700000001,-7.887775099999999,1.1220318e-05,-7.887763900000001
0.0093589,10,-7.8412337,2.9765035e-05,-7.8412039,-7.887774,1.7333907e-05,-7.8877567
0.0131278,11,-7.841238900000001,4.6114309999999994e-05,-7.8411928,-7.8877714999999995,2.6834768e-05,-7.8877447
0.0184145,12,-7.8412440000000005,7.1396036e-05,-7.841172599999999,-7.8877666,4.1584889000000006e-05,-7.887725
0.0258302,13,-7.8412474,0.00011039888999999999,-7.841137,-7.887757700000001,6.4460649e-05,-7.8876932
0.0362323,14,-7.8412467999999995,0.00017037965,-7.841076400000001,-7.887741800000001,9.988591e-05,-7.887641900000001
0.0508234,15,-7.841238400000001,0.00026125515,-7.840977099999999,-7.887715200000001,0.00015405203000000002,-7.887561099999999
0.0712906,16,-7.8412181,0.00039564113,-7.8408224,-7.887672599999999,0.00023519006,-7.887437400000001
0.1,17,-7.8411783999999995,0.00059164687,-7.8405868000000005,-7.8876063,0.00035556296000000004,-7.8872507
0.140271,18,-7.8411061,0.00087592352,-7.8402302,-7.8875034,0.00053395777,-7.8869694
0.19676,19,-7.8409792000000005,0.0012855671,-7.8396936,-7.887344199999999,0.00079807439,-7.8865460999999994
0.275997,20,-7.8407613,0.0018713259,-7.838889999999999,-7.8870987999999995,0.0011884629,-7.8859103
0.3871,21,-7.840391,0.0027009039,-7.8376901,-7.8867209,0.0017642694,-7.884956599999999
0.5431,22,-7.839767500000001,0.0038569709000000002,-7.8359106,-7.8861433000000005,0.0026081823000000002,-7.8835352
0.7617,23,-7.8388932,0.0052727173,-7.8336205,-7.885366800000001,0.0037320936,-7.881634700000001
1.0685,24,-7.8379323,0.0066990054,-7.8312333,-7.8844943,0.0050431459000000005,-7.8794511
1.4988,25,-7.8369796,0.0079779414,-7.829001600000001,-7.8835913,0.0064849708,-7.8771062999999995
2.1024,26,-7.8360689,0.0090457133,-7.8270232,-7.8826947,0.0080288438,-7.8746658
2.949,27,-7.8352512999999995,0.009871892299999999,-7.825379400000001,-7.881862400000001,0.0096214246,-7.872241000000001
4.1366,28,-7.834618099999999,0.010482119,-7.824136,-7.8811841000000005,0.011185215,-7.869998900000001
5.8025,29,-7.8342287,0.011051801000000002,-7.8231769,-7.880726299999999,0.012694051999999999,-7.8680322
8.1392,30,-7.8340648,0.011885443,-7.8221793,-7.8805197,0.014220482,-7.8662992
11.417,31,-7.8341989000000005,0.013212939,-7.820986,-7.880702900000001,0.015837527,-7.864865400000001
16.0147,32,-7.8349074000000005,0.0152046,-7.819702799999999,-7.8816288,0.01765297,-7.863975900000001
22.464,33,-7.8367421,0.018127314,-7.8186148,-7.8838881999999995,0.019966964,-7.8639212
