,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.017599901,,
0.000312205,,,1.0,0.002038334
0.00075015,2.0,-0.015990743999999998,2.0,0.0028350179
0.00105225,3.0,-0.012460482,3.0,0.0050364419
0.001476,4.0,-0.0085104167,4.0,0.007317050699999999
0.0020704,5.0,-0.0041496183,5.0,0.009832255500000001
0.00290415,6.0,0.00065765458,6.0,0.012610938
0.0040737,7.0,0.0059214289,7.0,0.015676347
0.00571425,8.0,0.011686658,8.0,0.019055575
0.00801545,9.0,0.017991317,9.0,0.022771717
0.01124335,10.0,0.024867924,10.0,0.026859596
0.01577115,11.0,0.032347816,11.0,0.031342995
0.02212235,12.0,0.040466705,12.0,0.036256439
0.03103125,13.0,0.049210681,13.0,0.041615427
0.04352785,14.0,0.057411902,14.0,0.046765457
0.061057,15.0,0.063819168,15.0,0.051020519
0.0856453,16.0,0.069294968,16.0,0.054899722000000005
0.1201355,17.0,0.074747091,17.0,0.058975451
0.1685155,18.0,0.08018319900000001,18.0,0.063263335
0.2363785,19.0,0.085622815,19.0,0.067766495
0.3315485,20.0,0.091169696,20.0,0.072475755
0.4651,21.0,0.096297837,21.0,0.076930018
0.6524,22.0,0.08843844699999999,22.0,0.07339738700000001
0.9151,23.0,0.065685621,23.0,0.060105814
1.28365,24.0,0.043782273,24.0,0.046009298
1.8006,25.0,0.027670031,25.0,0.034134206
2.5257,26.0,0.016390928,26.0,0.024180847999999998
3.5428,27.0,0.0088388413,27.0,0.01594554
4.96955,28.0,0.0048599672,28.0,0.0099775176
6.97085,29.0,0.0036039795,29.0,0.006261048199999999
9.7781,30.0,0.0030734471999999996,30.0,0.0036901126
13.71585,31.0,0.0023560973000000002,31.0,0.0016356825
19.23935,32.0,0.0014241705,32.0,7.5891352e-05
26.98725,33.0,0.0010882450999999999,33.0,-0.000513821
37.8553,34.0,0.001453627,34.0,-0.00030931285
53.10005,35.0,0.0016854124,35.0,-0.00018536398
73.8875,36.0,0.0017062756,36.0,-0.00038301703
97.6625,37.0,0.0014928876,37.0,-0.00092513612
121.4375,38.0,0.00078272224,38.0,-0.0018747376
145.2125,39.0,-0.00010478449,39.0,-0.0028874079999999997
168.9875,40.0,-0.0010514408000000001,40.0,-0.0039349415000000006
192.7625,41.0,-0.0021107932,41.0,-0.0050277199
216.5375,42.0,-0.0033729486,42.0,-0.0062116233
240.3125,43.0,-0.0048504901,43.0,-0.007441263399999999
264.0875,44.0,-0.006624846899999999,44.0,-0.008743075500000001
287.8625,45.0,-0.0086485039,45.0,-0.01004063
311.6375,46.0,-0.009491363000000001,46.0,-0.010296275
335.4125,47.0,-0.008077096899999999,47.0,-0.0087193467
359.1875,48.0,-0.0054534480000000005,48.0,-0.006073226899999999
382.9625,49.0,-0.0020203949,49.0,-0.0026367003999999998
406.7375,50.0,0.0024144851999999997,50.0,0.0018049042999999999
430.5125,51.0,0.0074752276,51.0,0.0069598677000000005
454.2875,52.0,0.013045083,52.0,0.012391403
478.0625,53.0,0.019025295,53.0,0.017974391
501.8375,54.0,0.025342947999999997,54.0,0.024086299
525.6125,55.0,0.031903692000000004,55.0,0.030904444
549.3875,56.0,0.038557116,56.0,0.037895398999999996
573.1625,57.0,0.045140045999999996,57.0,0.044396655
596.9375,58.0,0.051426387000000004,58.0,0.050163615
620.7125,59.0,0.057201379000000004,59.0,0.055325810999999996
644.4875,60.0,0.06227695900000001,60.0,0.060219264
668.2625,61.0,0.06653872200000001,61.0,0.064773626
692.0375,62.0,0.069979627,62.0,0.06900361099999999
715.8125,63.0,0.07268849299999999,63.0,0.072583732
739.5875,64.0,0.074873862,64.0,0.075494475
763.3625,65.0,0.076831915,65.0,0.077873
787.1375,66.0,0.07887034400000001,66.0,0.07995698700000001
810.9125,67.0,0.08129665400000001,67.0,0.082066696
834.6875,68.0,0.08409601,68.0,0.08435415
858.4625,69.0,0.086104344,69.0,0.085664354
882.2375,70.0,0.08491525300000001,70.0,0.08401212699999999
906.0125,71.0,0.078347279,71.0,0.077475233
929.7875,72.0,0.06771151,72.0,0.06727511900000001
953.5625,73.0,0.056346842,73.0,0.056470448
977.3375,74.0,0.045481649000000006,74.0,0.046264199000000006
1001.1125,75.0,0.033846067,75.0,0.035400466
