,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-7.8412102,0.0,-7.8412102,,,
1e-08,1,,,,-7.8879768,9.4179907e-08,-7.8879767
0.0006244,2,-7.841212599999999,1.1017438e-06,-7.841211500000001,-7.8879773,7.2518692e-07,-7.8879765
0.0008759,3,-7.841213499999999,1.5704181e-06,-7.841212,-7.887977499999999,9.9872496e-07,-7.8879765
0.0012286,4,-7.8412148,2.3037229e-06,-7.8412125,-7.8879777,1.4300968000000001e-06,-7.887976200000001
0.0017234,5,-7.8412164,3.451819e-06,-7.841213000000001,-7.887977900000001,2.1006815e-06,-7.8879758
0.0024174,6,-7.8412186,5.2469742999999994e-06,-7.8412133,-7.887978200000001,3.1436306000000003e-06,-7.887975
0.0033909,7,-7.8412213,8.0508997e-06,-7.8412133,-7.887978299999999,4.7666438e-06,-7.887973599999999
0.0047565,8,-7.841224700000001,1.2420215000000001e-05,-7.8412123,-7.887978299999999,7.2931534e-06,-7.887971
0.006672,9,-7.841228900000001,1.9215077000000002e-05,-7.841209700000001,-7.887977900000001,1.1225173e-05,-7.8879667
0.0093589,10,-7.8412337,2.9765035e-05,-7.8412039,-7.8879768,1.7340287000000002e-05,-7.8879594
0.0131278,11,-7.841238900000001,4.6114309999999994e-05,-7.8411928,-7.887974300000001,2.6843555000000002e-05,-7.887947500000001
0.0184145,12,-7.8412440000000005,7.1396036e-05,-7.841172599999999,-7.8879694,4.1597397e-05,-7.887927799999999
0.0258302,13,-7.8412474,0.00011039888999999999,-7.841137,-7.887960400000001,6.447888700000001e-05,-7.8878960000000005
0.0362323,14,-7.8412467999999995,0.00017037965,-7.841076400000001,-7.8879446,9.9912992e-05,-7.8878447
0.0508234,15,-7.841238400000001,0.00026125515,-7.840977099999999,-7.887917900000001,0.00015409942,-7.887763799999999
0.0712906,16,-7.8412181,0.00039564113,-7.8408224,-7.8878754,0.00023526952,-7.8876401
0.1,17,-7.8411783999999995,0.00059164687,-7.8405868000000005,-7.8878091,0.00035567197,-7.8874534
0.140271,18,-7.8411061,0.00087592352,-7.8402302,-7.8877062,0.0005341103500000001,-7.8871720000000005
0.19676,19,-7.8409792000000005,0.0012855671,-7.8396936,-7.8875470000000005,0.0007982910799999999,-7.886748700000001
0.275997,20,-7.8407613,0.0018713259,-7.838889999999999,-7.887301400000001,0.0011888561,-7.8861125
0.3871,21,-7.840391,0.0027009039,-7.8376901,-7.8869234,0.0017648531,-7.8851586
0.5431,22,-7.839767500000001,0.0038569709000000002,-7.8359106,-7.8863458,0.0026089626,-7.8837368
0.7617,23,-7.8388932,0.0052727173,-7.8336205,-7.8855692,0.0037331314000000003,-7.881836
1.0685,24,-7.8379323,0.0066990054,-7.8312333,-7.8846962,0.0050447853,-7.879651400000001
1.4988,25,-7.8369796,0.0079779414,-7.829001600000001,-7.883792999999999,0.0064870269,-7.877306
2.1024,26,-7.8360689,0.0090457133,-7.8270232,-7.8828963000000005,0.0080311872,-7.8748651
2.949,27,-7.8352512999999995,0.009871892299999999,-7.825379400000001,-7.882064,0.009624107,-7.8724398
4.1366,28,-7.834618099999999,0.010482119,-7.824136,-7.881385099999999,0.011188706000000001,-7.870196400000001
5.8025,29,-7.8342287,0.011051801000000002,-7.8231769,-7.880926,0.012698791000000001,-7.8682273
8.1392,30,-7.8340648,0.011885443,-7.8221793,-7.8807193,0.014225286,-7.866494
11.417,31,-7.8341989000000005,0.013212939,-7.820986,-7.880903,0.015841875,-7.865061099999999
16.0147,32,-7.8349074000000005,0.0152046,-7.819702799999999,-7.881828200000001,0.017658088,-7.8641702
22.464,33,-7.8367421,0.018127314,-7.8186148,-7.8840859,0.019973754,-7.8641122
