,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.066328311,1,-0.005924144
0.00075015,2,-0.060460741,2,-0.0024280662
0.00105225,3,-0.04763069,3,0.0056677848
0.001476,4,-0.03337982,4,0.014483757
0.0020704,5,-0.017776298,5,0.024240188
0.00290415,6,-0.0007296191599999999,6,0.034956119
0.0040737,7,0.01781936,7,0.04667005
0.00571425,8,0.037991451,8,0.05958832
0.00801545,9,0.059864695,9,0.07372085099999999
0.01124335,10,0.08353110799999999,10,0.08916737599999999
0.01577115,11,0.10905779,11,0.10602682
0.02212235,12,0.13650237,12,0.12440264
0.03103125,13,0.16579249,13,0.14431484
0.04352785,14,0.19293621,14,0.16329147
0.061057,15,0.21379013,15,0.17886017
0.0856453,16,0.23129303,16,0.19296705
0.1201355,17,0.24847936,17,0.20762357
0.1685155,18,0.2653547,18,0.22289575
0.2363785,19,0.28195602,19,0.23870213
0.3315485,20,0.29867651,20,0.25516775
0.4651,21,0.31396632,21,0.27039933
0.6524,22,0.28732057,22,0.25647079
0.9151,23,0.21234584,23,0.20700669
1.28365,24,0.14009205,24,0.15442259
1.8006,25,0.087034355,25,0.10993344
2.5257,26,0.050196610999999995,26,0.072917364
3.5428,27,0.025894222999999997,27,0.043080717000000004
4.96955,28,0.01351221,28,0.022856185
6.97085,29,0.010055567,29,0.012453002
9.7781,30,0.0089074638,30,0.0072228123
13.71585,31,0.0072611309,31,0.0041281559
19.23935,32,0.0050187507000000004,32,0.0021925893
26.98725,33,0.0045212666,33,0.0026188984
37.8553,34,0.005972604499999999,34,0.0047507634
53.10005,35,0.0069147882999999995,35,0.0061164483
73.8875,36,0.0072569436,36,0.006542018100000001
97.6625,37,0.0069903990000000004,37,0.0060592576
121.4375,38,0.005345440600000001,38,0.0041600329
145.2125,39,0.0030227749,39,0.0014922170000000001
168.9875,40,0.0007023808099999999,40,-0.0013712867999999998
192.7625,41,-0.0018003778,41,-0.0045064898
216.5375,42,-0.004669208,42,-0.0080251258
240.3125,43,-0.0080439309,43,-0.011937475
264.0875,44,-0.012243603999999998,44,-0.016381118
287.8625,45,-0.017332908,45,-0.021103475
311.6375,46,-0.019732361,46,-0.023088331
335.4125,47,-0.016985221,47,-0.020465476
359.1875,48,-0.012150723,48,-0.015610925
382.9625,49,-0.0069335788,49,-0.010144281
406.7375,50,-0.0010165717,50,-0.0039297355
430.5125,51,0.005343310600000001,51,0.0027963102000000003
454.2875,52,0.012052577,52,0.009609842
478.0625,53,0.0190068,53,0.016556551
501.8375,54,0.026126572999999997,54,0.023800507000000002
525.6125,55,0.033321517,55,0.031555995
549.3875,56,0.040446394,56,0.039353342
573.1625,57,0.047340390999999996,57,0.046605926
596.9375,58,0.053781422,58,0.053074928
620.7125,59,0.059557220999999994,59,0.058677149000000005
644.4875,60,0.06449530099999999,60,0.064047485
668.2625,61,0.068513916,61,0.068745914
692.0375,62,0.07165585099999999,62,0.072887462
715.8125,63,0.074078104,63,0.076415139
739.5875,64,0.076068843,64,0.079406017
763.3625,65,0.07800584099999999,65,0.08209349099999999
787.1375,66,0.080283769,66,0.08479192699999999
810.9125,67,0.083271514,67,0.08787760900000001
834.6875,68,0.08691548699999999,68,0.091287459
858.4625,69,0.089768485,69,0.09327130900000001
882.2375,70,0.088822106,70,0.092174545
906.0125,71,0.081546808,71,0.084940709
929.7875,72,0.069461417,72,0.07297368
953.5625,73,0.05628243,73,0.0605143
977.3375,74,0.043527452,74,0.04784941
1001.1125,75,0.029807636000000002,75,0.035135358
