,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.066328311,,
0.000312205,,,1.0,-0.0059612038
0.00075015,2.0,-0.060460741,2.0,-0.0024622652
0.00105225,3.0,-0.04763069,3.0,0.005638853599999999
0.001476,4.0,-0.03337982,4.0,0.014487008999999999
0.0020704,5.0,-0.017776298,5.0,0.024225788999999998
0.00290415,6.0,-0.0007296191599999999,6.0,0.034949711
0.0040737,7.0,0.01781936,7.0,0.046720347
0.00571425,8.0,0.037991451,8.0,0.0596229
0.00801545,9.0,0.059864695,9.0,0.073744306
0.01124335,10.0,0.08353110799999999,10.0,0.089202585
0.01577115,11.0,0.10905779,11.0,0.10607472
0.02212235,12.0,0.13650237,12.0,0.1244643
0.03103125,13.0,0.16579249,13.0,0.14439135
0.04352785,14.0,0.19293621,14.0,0.16341215
0.061057,15.0,0.21379013,15.0,0.17899979
0.0856453,16.0,0.23129303,16.0,0.19307925
0.1201355,17.0,0.24847936,17.0,0.20774615
0.1685155,18.0,0.2653547,18.0,0.22302897
0.2363785,19.0,0.28195602,19.0,0.23891232
0.3315485,20.0,0.29867651,20.0,0.25535352
0.4651,21.0,0.31396632,21.0,0.27056374
0.6524,22.0,0.28732057,22.0,0.25662269
0.9151,23.0,0.21234584,23.0,0.20718442
1.28365,24.0,0.14009205,24.0,0.15451254
1.8006,25.0,0.087034355,25.0,0.10997148
2.5257,26.0,0.050196610999999995,26.0,0.072935231
3.5428,27.0,0.025894222999999997,27.0,0.043108503
4.96955,28.0,0.01351221,28.0,0.022889665
6.97085,29.0,0.010055567,29.0,0.012445163
9.7781,30.0,0.0089074638,30.0,0.007208504
13.71585,31.0,0.0072611309,31.0,0.0041373324
19.23935,32.0,0.0050187507000000004,32.0,0.0022114551000000002
26.98725,33.0,0.0045212666,33.0,0.0026177812
37.8553,34.0,0.005972604499999999,34.0,0.0047527288
53.10005,35.0,0.0069147882999999995,35.0,0.0061171209
73.8875,36.0,0.0072569436,36.0,0.0065621385
97.6625,37.0,0.0069903990000000004,37.0,0.006076682
121.4375,38.0,0.005345440600000001,38.0,0.004160835999999999
145.2125,39.0,0.0030227749,39.0,0.0014930287
168.9875,40.0,0.0007023808099999999,40.0,-0.0013716349
192.7625,41.0,-0.0018003778,41.0,-0.0045085112
216.5375,42.0,-0.004669208,42.0,-0.0080292589
240.3125,43.0,-0.0080439309,43.0,-0.011944293
264.0875,44.0,-0.012243603999999998,44.0,-0.016391548
287.8625,45.0,-0.017332908,45.0,-0.021118777999999998
311.6375,46.0,-0.019732361,46.0,-0.023108833999999998
335.4125,47.0,-0.016985221,47.0,-0.02043294
359.1875,48.0,-0.012150723,48.0,-0.015575038999999999
382.9625,49.0,-0.0069335788,49.0,-0.010116416
406.7375,50.0,-0.0010165717,50.0,-0.0039363651
430.5125,51.0,0.005343310600000001,51.0,0.0027765359000000004
454.2875,52.0,0.012052577,52.0,0.0096331588
478.0625,53.0,0.0190068,53.0,0.016538885
501.8375,54.0,0.026126572999999997,54.0,0.023786379
525.6125,55.0,0.033321517,55.0,0.031541823
549.3875,56.0,0.040446394,56.0,0.039337399
573.1625,57.0,0.047340390999999996,57.0,0.046586155
596.9375,58.0,0.053781422,58.0,0.053037879
620.7125,59.0,0.059557220999999994,59.0,0.058739984
644.4875,60.0,0.06449530099999999,60.0,0.063989426
668.2625,61.0,0.068513916,61.0,0.068685509
692.0375,62.0,0.07165585099999999,62.0,0.07294138
715.8125,63.0,0.074078104,63.0,0.076516363
739.5875,64.0,0.076068843,64.0,0.079519813
763.3625,65.0,0.07800584099999999,65.0,0.082192243
787.1375,66.0,0.080283769,66.0,0.084845904
810.9125,67.0,0.083271514,67.0,0.087816067
834.6875,68.0,0.08691548699999999,68.0,0.09118232400000001
858.4625,69.0,0.089768485,69.0,0.09345105699999999
882.2375,70.0,0.088822106,70.0,0.092084419
906.0125,71.0,0.081546808,71.0,0.084852353
929.7875,72.0,0.069461417,72.0,0.073150332
953.5625,73.0,0.05628243,73.0,0.06037788400000001
977.3375,74.0,0.043527452,74.0,0.048086107
1001.1125,75.0,0.029807636000000002,75.0,0.035049765
