,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-6.8873297,0.0,-6.8873297,,,
1e-08,1,,,,-6.854793400000001,9.420960800000002e-08,-6.854793300000001
0.0006244,2,-6.887338499999999,3.912795799999999e-06,-6.887334599999999,-6.8547963,2.5796429e-06,-6.8547937
0.0008759,3,-6.887341999999999,5.5755219999999996e-06,-6.887336400000001,-6.8547974,3.6410787999999995e-06,-6.8547937999999995
0.0012286,4,-6.8873465,8.171205499999999e-06,-6.887338400000001,-6.8547989000000005,5.3026316e-06,-6.8547936
0.0017234,5,-6.8873526,1.2224842000000002e-05,-6.887340299999999,-6.854800599999999,7.894361e-06,-6.8547927
0.0024174,6,-6.8873603,1.8544932e-05,-6.887341800000001,-6.8548026,1.1932834e-05,-6.854790700000001
0.0033909,7,-6.8873703,2.8383808e-05,-6.887341900000001,-6.8548048999999995,1.8221519e-05,-6.8547867
0.0047565,8,-6.887382700000001,4.3668333e-05,-6.887339,-6.8548070999999995,2.8003398e-05,-6.8547791
0.006672,9,-6.8873977,6.736526399999999e-05,-6.887330400000001,-6.854808800000001,4.3200136000000005e-05,-6.8547656
0.0093589,10,-6.887415400000001,0.0001040308,-6.8873112999999995,-6.854808900000001,6.678133300000001e-05,-6.8547421
0.0131278,11,-6.887434700000001,0.00016063935,-6.887274000000001,-6.8548056,0.00010333201,-6.8547023000000005
0.0184145,12,-6.887453599999999,0.0002478235,-6.8872057,-6.8547958,0.00015991065,-6.8546359
0.0258302,13,-6.8874675000000005,0.00038172522000000006,-6.8870857999999995,-6.8547739000000005,0.00024736889,-6.8545264999999995
0.0362323,14,-6.8874682,0.00058666128,-6.8868815,-6.854730900000001,0.00038230602999999994,-6.854348599999999
0.0508234,15,-6.8874437,0.00089564551,-6.8865481,-6.854653999999999,0.0005878822799999999,-6.854066099999999
0.0712906,16,-6.8873802,0.0013504677,-6.886029700000001,-6.8545267999999995,0.00089471134,-6.8536321
0.1,17,-6.8872538,0.002010683,-6.885243099999999,-6.854323399999999,0.0013480076999999998,-6.8529754
0.140271,18,-6.887021000000001,0.0029631790000000002,-6.884057799999999,-6.854000800000001,0.0020165359,-6.8519842
0.19676,19,-6.8866098,0.0043276183,-6.8822822,-6.8534921,0.0030004148999999997,-6.8504917
0.275997,20,-6.885901,0.0062653704,-6.879635700000001,-6.8526932,0.0044442365000000005,-6.848249000000001
0.3871,21,-6.8846929,0.008988115999999999,-6.875704799999999,-6.851441800000001,0.0065538204,-6.8448879
0.5431,22,-6.8826508,0.012747865,-6.869902900000001,-6.849495299999999,0.009607745,-6.839887599999999
0.7617,23,-6.8797695999999995,0.017306754,-6.862462799999999,-6.846851400000001,0.013609642,-6.8332417
1.0685,24,-6.8765734,0.021827762999999997,-6.854745599999999,-6.843871400000001,0.018160043,-6.8257113
1.4988,25,-6.8733661999999995,0.0257613,-6.8476049,-6.8407822,0.02294752,-6.817834700000001
2.1024,26,-6.8702508,0.028868991,-6.8413818,-6.8376925,0.027721709,-6.809970799999999
2.949,27,-6.8673789,0.031031035,-6.8363478,-6.8347717,0.032115975,-6.8026557
4.1366,28,-6.8650265,0.03232145,-6.832705000000001,-6.832285700000001,0.03569509,-6.7965906
5.8025,29,-6.863343400000001,0.033304823,-6.8300386,-6.8303864,0.038313243999999996,-6.7920731
8.1392,30,-6.8621734,0.03491818,-6.8272552,-6.828999900000001,0.040371949,-6.788627900000001
11.417,31,-6.8615848,0.03778818,-6.8237966,-6.8282892,0.042460435,-6.7858288
16.0147,32,-6.8621871,0.042345075999999995,-6.8198419999999995,-6.8289723,0.045397094000000006,-6.7835752000000005
22.464,33,-6.865325200000001,0.049317349,-6.8160077999999995,-6.8324195,0.050533945999999996,-6.7818856
