,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-6.553508,0.0,-6.553508,-6.5179292,9.4044948e-08,-6.5179291
0.0006244,2,-6.5535251,6.7238423e-06,-6.5535184,-6.517936799999999,4.4300186e-06,-6.5179324
0.0008759,3,-6.5535318,9.5803184e-06,-6.5535223,-6.5179398,6.277578599999999e-06,-6.5179335
0.0012286,4,-6.5535407999999995,1.4036573000000002e-05,-6.553526799999999,-6.517943700000001,9.1664406e-06,-6.517934599999999
0.0017234,5,-6.5535527,2.0987959999999997e-05,-6.553531700000001,-6.5179488,1.3673363999999998e-05,-6.5179351
0.0024174,6,-6.5535682,3.1809940000000005e-05,-6.5535364000000005,-6.5179551,2.0699531000000002e-05,-6.517934400000001
0.0033909,7,-6.5535883,4.8628256e-05,-6.553539700000001,-6.517963,3.1640514e-05,-6.5179314
0.0047565,8,-6.553613900000001,7.470723699999999e-05,-6.5535392,-6.5179725,4.8647843e-05,-6.5179238
0.006672,9,-6.5536459,0.00011505334,-6.5535309,-6.517983200000001,7.5063453e-05,-6.5179081
0.0093589,10,-6.5536849,0.00017731513,-6.5535076,-6.5179943,0.00011603442,-6.5178783
0.0131278,11,-6.5537304999999995,0.00027312417999999995,-6.5534574,-6.5180041,0.00017948847,-6.5178246
0.0184145,12,-6.5537809000000005,0.00042010299000000005,-6.5533608,-6.5180086,0.00027761309,-6.5177309999999995
0.0258302,13,-6.5538307,0.00064474768,-6.553186,-6.5180011,0.0004290962,-6.517572
0.0362323,14,-6.553869199999999,0.00098647599,-6.5528827000000005,-6.5179692000000005,0.0006624235,-6.5173068
0.0508234,15,-6.5538813,0.0014977845999999998,-6.5523834999999995,-6.517896,0.0010170754,-6.5168789
0.0712906,16,-6.553851,0.0022430593,-6.5516079000000005,-6.5177597,0.0015448426999999999,-6.5162149000000005
0.1,17,-6.553748700000001,0.0033116676,-6.5504370000000005,-6.517525099999999,0.0023215412,-6.5152035999999995
0.140271,18,-6.5535163,0.0048306276,-6.5486857,-6.5171307,0.003460783,-6.513669999999999
0.19676,19,-6.5530553,0.006967979399999999,-6.5460873,-6.5164782,0.0051249276,-6.5113533
0.275997,20,-6.5521958,0.0099395188,-6.542256299999999,-6.5154097,0.0075416239,-6.5078681
0.3871,21,-6.550636099999999,0.014011923,-6.536624099999999,-6.513667900000001,0.011024069,-6.5026437999999995
0.5431,22,-6.5478407999999995,0.019472272,-6.5283685,-6.5108537,0.015969073,-6.4948847
0.7617,23,-6.5437843,0.025771801,-6.5180125,-6.506964099999999,0.022238189,-6.484725900000001
1.0685,24,-6.5392957,0.031462984,-6.507832700000001,-6.5026116,0.028932139,-6.4736794
1.4988,25,-6.5348378,0.035781591,-6.499056200000001,-6.4981615,0.035273175,-6.4628883
2.1024,26,-6.5305363,0.038628877,-6.4919074,-6.493761699999999,0.040615707,-6.4531459
2.949,27,-6.526572799999999,0.040151082000000005,-6.4864217,-6.4896394,0.044290258,-6.4453492
4.1366,28,-6.5233172999999995,0.0407349,-6.4825824,-6.486179900000001,0.04590109,-6.4402788
5.8025,29,-6.520959400000001,0.041311937,-6.4796474,-6.4835895,0.046040581,-6.4375489
8.1392,30,-6.5192263,0.043104907000000005,-6.476121400000001,-6.481654,0.046414554000000004,-6.4352395
11.417,31,-6.5181305,0.046780159,-6.4713503,-6.480459400000001,0.048542005,-6.431917400000001
16.0147,32,-6.5183898000000005,0.052770015,-6.4656198,-6.4808385,0.053459362,-6.4273792
22.464,33,-6.5217148,0.061923640999999995,-6.4597910999999995,-6.484571,0.062341408,-6.4222296
31.5105,34,-6.5293892,0.077000447,-6.4523888,-6.4930469,0.078183503,-6.414863400000001
