,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.028372985,,
0.000312205,,,1.0,-0.016446987
0.00075015,2.0,-0.029880706,2.0,-0.016910839
0.00105225,3.0,-0.029819331,3.0,-0.01583563
0.001476,4.0,-0.025144855,4.0,-0.011371701000000001
0.0020704,5.0,-0.015295311,5.0,-0.0031478356
0.00290415,6.0,0.0004216808,6.0,0.0093921608
0.0040737,7.0,0.022769413,7.0,0.026826436000000002
0.00571425,8.0,0.052560859,8.0,0.049772594
0.00801545,9.0,0.09060298300000001,9.0,0.078926568
0.01124335,10.0,0.13757718,10.0,0.11504514
0.01577115,11.0,0.19455901,11.0,0.15907956
0.02212235,12.0,0.26220777,12.0,0.21172662
0.03103125,13.0,0.34101071,13.0,0.27364633
0.04352785,14.0,0.46013116,14.0,0.36924048
0.061057,15.0,0.63757264,15.0,0.5153791
0.0856453,16.0,0.84238391,16.0,0.69053723
0.1201355,17.0,1.0595059,17.0,0.88624547
0.1685155,18.0,1.2819831,18.0,1.1004843999999998
0.2363785,19.0,1.5025126,19.0,1.3292217
0.3315485,20.0,1.7175421999999998,20.0,1.5668256
0.4651,21.0,1.9192963,21.0,1.7946986
0.6524,22.0,1.966466,22.0,1.8978336
0.9151,23.0,1.6578911,23.0,1.6707541000000001
1.28365,24.0,1.2481223999999997,24.0,1.2806217
1.8006,25.0,0.92531229,25.0,0.93500592
2.5257,26.0,0.64771821,26.0,0.65062522
3.5428,27.0,0.42526073,27.0,0.43564456
4.96955,28.0,0.28429538,28.0,0.29958101
6.97085,29.0,0.21048703,29.0,0.23151773
9.7781,30.0,0.15773796,30.0,0.1786986
13.71585,31.0,0.11207478,31.0,0.12877908
19.23935,32.0,0.065229863,32.0,0.076334652
26.98725,33.0,0.036083683,33.0,0.042042147
37.8553,34.0,0.022899727,34.0,0.02427835
53.10005,35.0,-0.0009166889,35.0,-0.0025269101000000003
73.8875,36.0,-0.031217685,36.0,-0.036394217
97.6625,37.0,-0.056988053,37.0,-0.067762241
121.4375,38.0,-0.07578420400000001,38.0,-0.091426953
145.2125,39.0,-0.09057128699999999,39.0,-0.10905115
168.9875,40.0,-0.10312675,40.0,-0.12209927
192.7625,41.0,-0.10294008,41.0,-0.11784393
216.5375,42.0,-0.09299226,42.0,-0.10181505
240.3125,43.0,-0.08257627599999999,43.0,-0.086074234
264.0875,44.0,-0.069529274,44.0,-0.068958782
287.8625,45.0,-0.055780843,45.0,-0.052845449
311.6375,46.0,-0.040811745,46.0,-0.037359256
335.4125,47.0,-0.027996757,47.0,-0.025068184
359.1875,48.0,-0.020220323999999998,48.0,-0.017776647
382.9625,49.0,-0.014662628,49.0,-0.012621793000000001
406.7375,50.0,-0.010081175,50.0,-0.0084526884
430.5125,51.0,-0.006344155400000001,51.0,-0.0051273355
454.2875,52.0,-0.0036491058,52.0,-0.0027602037
478.0625,53.0,-0.0016535120000000002,53.0,-0.00099554595
501.8375,54.0,0.00013143552,54.0,0.00057994758
525.6125,55.0,0.0017736965,55.0,0.0020210357000000003
549.3875,56.0,0.0032947934999999996,56.0,0.0033532562
573.1625,57.0,0.0046927774,57.0,0.004576050999999999
596.9375,58.0,0.0059749974,58.0,0.0056999397
620.7125,59.0,0.0071524883999999995,59.0,0.0067376592
644.4875,60.0,0.0082108554,60.0,0.0076728418999999996
668.2625,61.0,0.0091380382,61.0,0.0084917741
692.0375,62.0,0.0099648025,62.0,0.0092309756
715.8125,63.0,0.010703843000000001,63.0,0.009898140500000001
739.5875,64.0,0.011333391000000002,64.0,0.01047099
763.3625,65.0,0.011861921999999999,65.0,0.010954991
787.1375,66.0,0.01236338,66.0,0.011416886000000001
810.9125,67.0,0.012847108000000001,67.0,0.011854755
834.6875,68.0,0.013222406,68.0,0.012192639
858.4625,69.0,0.013401343000000001,69.0,0.01235892
882.2375,70.0,0.013299603,70.0,0.012288563
906.0125,71.0,0.012850101000000001,71.0,0.011925865
929.7875,72.0,0.012126903999999999,72.0,0.011330618999999998
953.5625,73.0,0.011300358,73.0,0.010644978999999999
977.3375,74.0,0.010463548,74.0,0.0099471866
1001.1125,75.0,0.0096599356,75.0,0.0092724925
