,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-10.989699,0.0,-10.989699,,,
1e-08,1,,,,-10.701487,1.9299526e-06,-10.701485
0.0006244,2,-10.989703,2.2379917000000004e-06,-10.989701,-10.70149,3.5123118e-06,-10.701486000000001
0.0008759,3,-10.989705,3.3323874999999996e-06,-10.989702000000001,-10.701491,4.2850563e-06,-10.701487
0.0012286,4,-10.989708,5.4800317e-06,-10.989703,-10.701493,5.806863200000001e-06,-10.701487
0.0017234,5,-10.989714,9.5063191e-06,-10.989704,-10.701497,8.674651699999999e-06,-10.701488000000001
0.0024174,6,-10.989722,1.6812207e-05,-10.989706,-10.701502,1.3902070000000002e-05,-10.701488000000001
0.0033909,7,-10.989735000000001,2.9763843000000002e-05,-10.989706,-10.70151,2.3208792e-05,-10.701487
0.0047565,8,-10.989754,5.2309992000000004e-05,-10.989702000000001,-10.701522,3.9462656000000004e-05,-10.701483
0.006672,9,-10.989780999999999,9.0989666e-05,-10.98969,-10.701539,6.7424596e-05,-10.701471000000002
0.0093589,10,-10.989818,0.00015655736,-10.989661,-10.701561,0.00011496615,-10.701446
0.0131278,11,-10.989866000000001,0.00026644524,-10.9896,-10.70159,0.00019498107,-10.701395
0.0184145,12,-10.989927,0.0004490488099999999,-10.989478,-10.701624,0.00032862243999999996,-10.701295
0.0258302,13,-10.989997,0.00074974167,-10.989248,-10.701659,0.00055003417,-10.701108999999999
0.0362323,14,-10.990067999999999,0.0012405448,-10.988827,-10.701686,0.00091409196,-10.700772
0.0508234,15,-10.990128,0.0020961178,-10.988032,-10.701688,0.0015545603,-10.700134
0.0712906,16,-10.990155999999999,0.0036696888,-10.986486,-10.701632,0.0027474613,-10.698884
0.1,17,-10.990083,0.00646148,-10.983621000000001,-10.701438000000001,0.0049019434,-10.696536
0.140271,18,-10.989752000000001,0.011184427,-10.978567,-10.700944,0.008636131,-10.692307000000001
0.19676,19,-10.988852,0.018862993999999998,-10.969989,-10.699841000000001,0.014898479,-10.684942999999999
0.275997,20,-10.986785000000001,0.030898707,-10.955886,-10.697553,0.025088395,-10.672464999999999
0.3871,21,-10.982378,0.049096867999999995,-10.933281,-10.692999,0.041157086,-10.651842
0.5431,22,-10.973343,0.075528626,-10.897814,-10.684219,0.065545246,-10.618674
0.7617,23,-10.957889,0.11099607,-10.846893,-10.669611999999999,0.10008754,-10.569525
1.0685,24,-10.937586999999999,0.15094582,-10.786641,-10.650289,0.14148999,-10.508799
1.4988,25,-10.913845,0.1908234,-10.723022,-10.627332000000001,0.18381625,-10.443516
2.1024,26,-10.886872,0.23001116,-10.656861,-10.600826,0.22417012,-10.376656
2.949,27,-10.859594,0.26768959,-10.591904,-10.573711,0.26231042,-10.311401
4.1366,28,-10.837164,0.3050857,-10.532079,-10.551002,0.30089402,-10.250108
5.8025,29,-10.823226,0.34725004,-10.475976,-10.536261,0.34527795,-10.190983000000001
8.1392,30,-10.817017,0.39930282,-10.417714,-10.528830000000001,0.4019377,-10.126892999999999
11.417,31,-10.81942,0.46295227,-10.356468,-10.529741,0.47224027,-10.057501
16.0147,32,-10.838047999999999,0.54261995,-10.295428,-10.546775,0.55941881,-9.9873563
22.464,33,-10.891591,0.64599577,-10.245595,-10.598813999999999,0.66978045,-9.929033300000002
31.5105,34,-10.998317,0.79139068,-10.206927,-10.705219,0.82124399,-9.883975300000001
44.2001,35,-11.165171,0.99266664,-10.172504,-10.874864,1.0273866,-9.847477
62.0,36,-11.411265,1.2368277,-10.174437,-11.132288,1.2794826000000001,-9.8528056
85.775,37,-11.755827,1.4934705,-10.262356,-11.50637,1.5510563,-9.9553139
109.55,38,-12.101077,1.6782241999999998,-10.422853,-11.896685,1.7505113,-10.146174
